dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,82.93,5247.02,0.952946
contriever-768,10,89.37,5916.21,1.66621
contriever-768,20,93.87,7348.43,3.11233
contriever-768,30,95.48,8867.89,4.59611
contriever-768,40,96.18,10348.4,6.07036
contriever-768,50,96.72,11868.6,7.56374
contriever-768,60,97.14,13351.4,9.08985
contriever-768,70,97.38,14841.0,10.5812
contriever-768,80,97.63,16374.4,12.094
contriever-768,90,97.83,17985.9,13.6635
contriever-768,100,97.96,19544.7,15.2337
contriever-768,110,98.11,21124.1,16.808
contriever-768,120,98.22,22732.8,18.4085
contriever-768,130,98.33,24319.4,19.9919
contriever-768,140,98.39,25983.5,21.6115
contriever-768,150,98.45,27572.9,23.2244
contriever-768,160,98.52,29187.6,24.8162
contriever-768,170,98.57,30818.6,26.4836
contriever-768,180,98.65,32493.5,28.1761
contriever-768,190,98.68,34251.5,30.0377
contriever-768,200,98.74,35870.4,31.845
contriever-768,240,98.95,43059.8,39.5479
contriever-768,280,99.02,50073.0,47.1286
contriever-768,320,99.14,57007.7,54.1528
contriever-768,360,99.19,63864.9,61.1739
contriever-768,400,99.26,70614.4,66.3075
contriever-768,500,99.39,88712.3,86.8423
contriever-768,600,99.48,105605.0,104.469
contriever-768,700,99.54,122382.0,121.507
deep-image-96-angular,5,72.99,3350.44,2.92061
deep-image-96-angular,10,84.41,5437.0,5.71574
deep-image-96-angular,20,92.15,10375.5,10.7857
deep-image-96-angular,30,95.03,15323.4,15.6861
deep-image-96-angular,40,96.37,20377.8,20.8848
deep-image-96-angular,50,97.23,25471.1,26.3708
deep-image-96-angular,60,97.75,30568.8,32.0087
deep-image-96-angular,70,98.1,35508.6,35.8107
deep-image-96-angular,80,98.41,40518.4,41.1724
deep-image-96-angular,90,98.57,45702.3,46.7551
deep-image-96-angular,100,98.72,50854.9,52.3719
deep-image-96-angular,110,98.83,56146.6,57.957
deep-image-96-angular,120,98.92,61091.3,63.6149
deep-image-96-angular,130,99.02,66511.5,69.2028
