dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,82.74,1263.94,0.563929
contriever-768,10,88.85,1709.89,1.02479
contriever-768,20,92.97,2532.1,1.86591
contriever-768,30,94.46,3415.89,2.69961
contriever-768,40,95.04,4206.27,3.50542
contriever-768,50,95.52,5026.17,4.3241
contriever-768,60,95.81,5798.9,5.11067
contriever-768,70,95.97,6616.16,5.91581
contriever-768,80,96.16,7412.5,6.71495
contriever-768,90,96.32,8245.91,7.52061
contriever-768,100,96.4,9043.91,8.31952
contriever-768,110,96.47,9860.93,9.11407
contriever-768,120,96.55,10702.0,9.9019
contriever-768,130,96.64,11549.1,10.7333
contriever-768,140,96.66,12379.2,11.5341
contriever-768,150,96.7,13114.9,12.3255
contriever-768,160,96.76,13953.1,13.1195
contriever-768,170,96.79,14792.9,13.945
contriever-768,180,96.86,15599.8,14.7674
contriever-768,190,96.88,16432.6,15.7384
contriever-768,200,96.94,17280.9,16.6525
contriever-768,240,97.06,20645.4,20.6526
contriever-768,280,97.06,23978.8,24.4948
deep-image-96-angular,5,70.98,1029.05,0.89137
deep-image-96-angular,10,81.6,1659.6,1.78176
deep-image-96-angular,20,88.69,2980.57,3.2149
deep-image-96-angular,30,91.25,4266.26,4.45842
deep-image-96-angular,40,92.35,5461.46,5.77429
deep-image-96-angular,50,93.07,6625.09,7.38226
deep-image-96-angular,60,93.48,7977.64,8.86572
deep-image-96-angular,70,93.73,8870.21,8.97285
deep-image-96-angular,80,93.98,9938.72,10.3043
deep-image-96-angular,90,94.1,11112.3,11.8129
deep-image-96-angular,100,94.2,12258.7,13.3845
deep-image-96-angular,110,94.3,13177.3,14.9464
deep-image-96-angular,120,94.37,14176.0,16.4723
deep-image-96-angular,130,94.47,15485.8,17.9519
deep-image-96-angular,140,94.5,16220.5,17.0123
deep-image-96-angular,150,94.51,17188.4,17.1963
deep-image-96-angular,160,94.55,18235.5,18.3122
deep-image-96-angular,170,94.55,19130.1,19.5665
gist-960-euclidean,5,43.52,1593.82,0.593919
gist-960-euclidean,10,57.59,2031.62,1.07155
gist-960-euclidean,20,71.2,2942.34,1.98134
gist-960-euclidean,30,78.64,3833.36,2.874
gist-960-euclidean,40,83.66,4665.54,3.69308
gist-960-euclidean,50,87.0,5523.67,4.50311
gist-960-euclidean,60,89.22,6293.39,5.3102
gist-960-euclidean,70,91.27,7120.77,6.10601
gist-960-euclidean,80,92.66,7864.81,6.89266
gist-960-euclidean,90,93.93,8693.21,7.66651
gist-960-euclidean,100,94.66,9492.85,8.43474
gist-960-euclidean,110,95.41,10236.4,9.18808
gist-960-euclidean,120,95.89,11066.9,9.94307
gist-960-euclidean,130,96.45,11798.3,10.6815
gist-960-euclidean,140,96.88,12594.9,11.4568
gist-960-euclidean,150,97.21,13290.0,12.1959
gist-960-euclidean,160,97.48,14031.7,12.9172
gist-960-euclidean,170,97.74,14851.8,13.6747
gist-960-euclidean,180,98.04,15583.6,14.3622
gist-960-euclidean,190,98.18,16300.2,15.1103
gist-960-euclidean,200,98.24,17013.6,15.7944
gist-960-euclidean,240,98.82,19926.8,18.7856
gist-960-euclidean,280,99.24,22821.4,22.0514
gist-960-euclidean,320,99.41,25712.2,25.2828
gist-960-euclidean,360,99.52,28289.8,28.2269
glove-200-angular,5,35.4,1148.69,1.00332
glove-200-angular,10,43.64,2098.39,1.96331
glove-200-angular,20,53.85,3919.41,3.77844
glove-200-angular,30,61.37,5750.74,5.94343
glove-200-angular,40,67.31,7544.9,7.74311
glove-200-angular,50,71.3,9361.97,9.3758
glove-200-angular,60,74.8,11178.9,11.839
glove-200-angular,70,77.89,13075.2,14.09
glove-200-angular,80,79.85,14893.7,16.1267
glove-200-angular,90,81.75,16627.2,17.9886
glove-200-angular,100,82.91,18226.8,18.1329
glove-200-angular,110,83.85,20017.8,20.4139
glove-200-angular,120,84.77,21982.6,23.2685
glove-200-angular,130,85.6,23830.3,25.7758
glove-200-angular,140,86.55,25633.1,27.8971
glove-200-angular,150,87.05,26890.6,29.7945
glove-200-angular,160,87.58,28565.8,31.5436
glove-200-angular,170,88.01,30132.6,33.2521
glove-200-angular,180,88.35,31776.7,34.9019
glove-200-angular,190,88.54,33426.3,36.5218
glove-200-angular,200,88.75,34832.4,38.1171
glove-200-angular,240,89.29,40320.2,40.267
