dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,59.49,396.77,246267808
contriever-768,20,74.34,492.87,335388672
contriever-768,30,80.26,584.462,407393344
contriever-768,40,83.51,664.384,466042528
contriever-768,50,84.88,730.598,521549376
contriever-768,60,86.68,794.021,576736480
contriever-768,70,87.87,865.857,630267776
contriever-768,80,88.7,931.518,680952896
contriever-768,100,89.47,1064.19,780068640
contriever-768,200,91.97,1707.72,1248827264
contriever-768,300,92.78,2314.78,1683260672
contriever-768,400,93.26,2904.02,2095096480
contriever-768,500,93.73,3505.62,2482971648
contriever-768,600,93.96,4063.63,2851731328
contriever-768,700,94.12,4622.7,3204127552
contriever-768,800,94.28,5172.66,3542760480
deep-image-96-angular,10,57.85,105.952,34188240
deep-image-96-angular,20,70.91,209.971,48736128
deep-image-96-angular,30,77.72,277.819,61627080
deep-image-96-angular,40,82.02,329.009,73795824
deep-image-96-angular,50,84.83,409.089,85604016
deep-image-96-angular,60,86.72,418.487,96712800
deep-image-96-angular,70,88.26,488.393,107623632
deep-image-96-angular,80,89.35,535.493,118317744
deep-image-96-angular,100,91.12,511.772,139064304
deep-image-96-angular,200,94.43,873.112,233507904
deep-image-96-angular,300,95.48,1209.25,317623656
deep-image-96-angular,400,95.91,1761.4,395255568
deep-image-96-angular,500,96.16,2216.06,468092400
deep-image-96-angular,600,96.28,2603.53,537078504
deep-image-96-angular,700,96.4,2994.62,603065472
deep-image-96-angular,800,96.46,3381.79,666586344
gist-960-euclidean,50,74.17,576.081,171152416
gist-960-euclidean,100,85.06,730.921,236309888
gist-960-euclidean,150,89.45,889.362,290445248
gist-960-euclidean,200,92.1,1023.77,338765856
gist-960-euclidean,250,93.6,1156.02,383132896
gist-960-euclidean,300,94.66,1271.59,423890080
gist-960-euclidean,350,95.38,1397.7,462006336
gist-960-euclidean,400,95.93,1508.36,498311136
gist-960-euclidean,500,96.6,1735.3,565461216
gist-960-euclidean,600,97.22,1943.22,627326304
gist-960-euclidean,700,97.53,2154.31,685115456
gist-960-euclidean,800,97.75,2331.44,739474272
glove-200-angular,500,83.71,1646.41,1517496912
glove-200-angular,1000,86.17,3294.18,2655790272
glove-200-angular,1500,87.33,4852.77,3626577400
glove-200-angular,2000,87.98,6397.35,4477683208
glove-200-angular,2500,88.41,7828.72,5241939256
glove-200-angular,3000,88.67,9223.76,5937846632
glove-200-angular,3500,88.96,10531.0,6576910328
glove-200-angular,4000,89.12,11769.3,7171915192
glove-200-angular,5000,89.38,14408.6,8251366208
glove-200-angular,6000,89.62,16610.3,9215541152
glove-200-angular,7000,89.83,18745.6,10090124120
