dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,59.49,774.886,246267744
contriever-768,20,74.34,1001.47,335388576
contriever-768,30,80.26,1197.98,407393120
contriever-768,40,83.51,1366.88,466042368
contriever-768,50,84.88,1535.57,521549120
contriever-768,60,86.68,1674.99,576736192
contriever-768,70,87.87,1819.8,630274112
contriever-768,80,88.7,1984.44,680952512
deep-image-96-angular,10,57.85,139.825,34188216
deep-image-96-angular,20,70.91,201.781,48736104
deep-image-96-angular,30,77.72,257.278,61627056
deep-image-96-angular,40,82.02,309.3,73795824
deep-image-96-angular,50,84.83,367.604,85604016
deep-image-96-angular,60,86.72,414.533,96712800
deep-image-96-angular,70,88.26,464.412,107623608
deep-image-96-angular,80,89.35,502.761,118317720
deep-image-96-angular,100,91.12,635.19,139064280
deep-image-96-angular,200,94.43,1061.29,233509344
deep-image-96-angular,300,95.48,1512.34,317626104
deep-image-96-angular,400,95.91,1871.3,395255664
deep-image-96-angular,500,96.16,2277.5,468091752
deep-image-96-angular,600,96.28,2624.57,537079248
deep-image-96-angular,700,96.4,2998.16,603065448
deep-image-96-angular,800,96.46,3349.25,666586680
gist-960-euclidean,50,74.17,969.159,171150848
gist-960-euclidean,100,85.06,1246.19,236310592
gist-960-euclidean,150,89.45,1514.37,290443936
gist-960-euclidean,200,92.1,1737.71,338762432
gist-960-euclidean,250,93.6,1944.26,383133184
gist-960-euclidean,300,94.66,2153.21,423894208
gist-960-euclidean,350,95.38,2360.17,462004704
gist-960-euclidean,400,95.93,2532.24,498310176
gist-960-euclidean,500,96.6,2895.46,565459968
gist-960-euclidean,600,97.22,3227.42,627325664
gist-960-euclidean,700,97.53,3535.64,685114336
gist-960-euclidean,800,97.75,3846.0,739471584
glove-200-angular,500,83.71,3239.34,1517498480
glove-200-angular,1000,86.17,6315.5,2655789624
glove-200-angular,1500,87.33,9376.33,3626577648
glove-200-angular,2000,87.98,12219.5,4477683200
glove-200-angular,2500,88.41,15119.4,5241944208
glove-200-angular,3000,88.67,17578.3,5937840288
glove-200-angular,3500,88.96,20102.8,6576911528
glove-200-angular,4000,89.12,22458.8,7171917976
glove-200-angular,5000,89.38,26878.3,8251361200
glove-200-angular,6000,89.62,30948.4,9215544760
glove-200-angular,7000,89.83,34669.9,10090126704
