dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,5,84.08,8364.68,4831869696
contriever-768,10,90.9,14571.4,9534525696
contriever-768,20,94.88,26811.5,18814036992
contriever-768,30,96.26,39615.7,28285729536
contriever-768,40,97.16,51337.3,37763650560
contriever-768,50,97.69,63674.7,47236796928
contriever-768,60,97.96,76064.6,56722052352
contriever-768,70,98.17,88413.6,66175998720
contriever-768,80,98.35,100797.0,75660467712
contriever-768,90,98.52,113113.0,85080691968
contriever-768,100,98.68,125332.0,94451353344
contriever-768,110,98.85,137621.0,103832279040
contriever-768,120,98.94,149921.0,113236948992
contriever-768,130,99.08,162299.0,122659167744
contriever-768,140,99.18,174410.0,131978652672
contriever-768,150,99.24,186942.0,141362102784
contriever-768,160,99.29,198833.0,150668163840
contriever-768,170,99.35,210909.0,159928147200
contriever-768,180,99.4,223077.0,169233020160
contriever-768,190,99.43,235073.0,178417264128
contriever-768,200,99.44,246965.0,187518467328
contriever-768,240,99.55,294474.0,223898193408
deep-image-96-angular,5,65.16,1450.89,475339296
deep-image-96-angular,10,78.25,1865.1,938481984
deep-image-96-angular,20,88.05,2665.0,1828897536
deep-image-96-angular,30,91.97,3445.71,2700314496
deep-image-96-angular,40,94.17,4225.89,3556353312
deep-image-96-angular,50,95.45,4995.68,4405593024
deep-image-96-angular,60,96.38,5757.69,5238955968
deep-image-96-angular,70,97.03,6504.35,6066485376
deep-image-96-angular,80,97.48,7257.07,6888482784
deep-image-96-angular,90,97.91,8000.62,7699949856
deep-image-96-angular,100,98.23,8741.62,8510590368
deep-image-96-angular,110,98.46,9455.44,9309933408
deep-image-96-angular,120,98.66,10181.4,10110556800
deep-image-96-angular,130,98.78,10906.6,10908627072
deep-image-96-angular,140,98.96,11627.8,11699997696
deep-image-96-angular,150,99.0,12331.4,12483872448
deep-image-96-angular,160,99.07,13051.5,13264562208
deep-image-96-angular,170,99.17,13751.2,14041587744
deep-image-96-angular,180,99.25,14409.8,14812138368
deep-image-96-angular,190,99.3,15085.6,15576755520
deep-image-96-angular,200,99.34,15788.2,16345026048
deep-image-96-angular,240,99.5,18563.5,19386635616
gist-960-euclidean,5,51.3,8391.05,4382047680
gist-960-euclidean,10,66.98,14358.3,8850725760
gist-960-euclidean,20,80.3,26117.7,17670822720
gist-960-euclidean,30,86.79,37638.7,26303573760
gist-960-euclidean,40,90.26,49056.3,34855542720
gist-960-euclidean,50,92.71,60306.7,43288382400
gist-960-euclidean,60,94.27,71452.9,51648317760
gist-960-euclidean,70,95.61,82426.4,60004346880
gist-960-euclidean,80,96.62,93332.9,68209276800
gist-960-euclidean,90,97.33,104081.0,76286377920
gist-960-euclidean,100,97.84,114758.0,84295585920
gist-960-euclidean,110,98.16,125339.0,92256559680
gist-960-euclidean,120,98.47,135676.0,100064496960
gist-960-euclidean,130,98.63,146061.0,107844274560
gist-960-euclidean,140,98.79,156274.0,115544636160
gist-960-euclidean,150,98.96,166527.0,123232929600
gist-960-euclidean,160,99.1,176687.0,130898630400
gist-960-euclidean,170,99.2,186848.0,138489806400
gist-960-euclidean,180,99.34,196807.0,145998214080
gist-960-euclidean,190,99.45,206642.0,153539009280
gist-960-euclidean,200,99.55,216587.0,161046960960
glove-200-angular,5,39.01,4110.42,3518560800
glove-200-angular,10,48.61,7890.75,7115707000
glove-200-angular,20,60.36,15563.5,14449061800
glove-200-angular,30,68.67,23248.3,21770840600
glove-200-angular,40,74.66,30982.6,29144926600
glove-200-angular,50,79.85,38304.6,36376668400
glove-200-angular,60,84.2,45786.7,43534371400
glove-200-angular,70,86.86,53043.4,50510910400
glove-200-angular,80,88.96,60175.0,57353923600
glove-200-angular,90,91.25,67127.7,64025959600
glove-200-angular,100,92.99,73984.5,70606911000
glove-200-angular,110,94.37,80678.0,77015790600
glove-200-angular,120,95.77,87148.3,83219408000
glove-200-angular,130,96.61,93530.5,89345731800
glove-200-angular,140,97.38,99725.3,95274424800
glove-200-angular,150,98.11,105750.0,101047615400
glove-200-angular,160,98.47,111710.0,106743748000
glove-200-angular,170,98.82,117379.0,112215459600
glove-200-angular,180,99.2,123025.0,117579781000
glove-200-angular,190,99.4,128450.0,122771939800
glove-200-angular,200,99.58,133735.0,127827920400
instructorxl-arxiv-768,5,76.69,8197.15,3967190016
instructorxl-arxiv-768,10,85.22,13169.7,7760299008
instructorxl-arxiv-768,20,91.66,22887.4,15195727872
instructorxl-arxiv-768,30,94.43,32452.6,22491735552
instructorxl-arxiv-768,40,95.85,41846.7,29669440512
instructorxl-arxiv-768,50,96.89,51370.5,36825385728
instructorxl-arxiv-768,60,97.5,60477.6,43921185792
instructorxl-arxiv-768,70,98.11,69684.1,50979257088
instructorxl-arxiv-768,80,98.33,79089.7,58045012224
instructorxl-arxiv-768,90,98.52,88252.4,65056411392
instructorxl-arxiv-768,100,98.76,97230.4,72097174272
instructorxl-arxiv-768,110,98.89,106135.0,79021012224
instructorxl-arxiv-768,120,98.99,115442.0,86049942528
instructorxl-arxiv-768,130,99.1,124528.0,92988528384
instructorxl-arxiv-768,140,99.29,133791.0,99888290304
instructorxl-arxiv-768,150,99.36,142563.0,106764364800
instructorxl-arxiv-768,160,99.46,151982.0,113692973568
instructorxl-arxiv-768,170,99.51,160983.0,120587739648
msong-420,5,81.11,3176.44,1634786160
msong-420,10,91.94,5111.03,3304266000
msong-420,20,97.38,9138.99,6605317740
msong-420,30,98.79,13047.6,9791685120
msong-420,40,99.27,16916.6,12948360180
msong-420,50,99.53,20724.2,16039716000
openai-1536-angular,5,75.52,10539.1,4699083264
openai-1536-angular,10,81.27,16354.2,8969717760
openai-1536-angular,20,87.05,27750.6,17353313280
openai-1536-angular,30,89.96,39140.5,25720790016
openai-1536-angular,40,91.57,50421.3,34046333952
openai-1536-angular,50,93.02,61783.0,42431175168
openai-1536-angular,60,93.84,72986.0,50706373632
openai-1536-angular,70,94.44,84255.5,59006154240
openai-1536-angular,80,95.02,95592.5,67368491520
openai-1536-angular,90,95.53,106882.0,75707716608
openai-1536-angular,100,95.83,118051.0,83945349120
openai-1536-angular,110,96.22,129347.0,92295410688
openai-1536-angular,120,96.47,140589.0,100596449280
openai-1536-angular,130,96.71,151911.0,108919223808
openai-1536-angular,140,96.97,163141.0,117212401152
openai-1536-angular,150,97.22,174418.0,125458195968
openai-1536-angular,160,97.38,185643.0,133757879808
openai-1536-angular,170,97.55,196731.0,141972943872
openai-1536-angular,180,97.63,207873.0,150207851520
openai-1536-angular,190,97.76,218939.0,158387845632
openai-1536-angular,200,97.9,230062.0,166609755648
openai-1536-angular,240,98.31,274460.0,199367956992
openai-1536-angular,280,98.58,318902.0,232091768832
openai-1536-angular,320,98.81,362919.0,264605758464
openai-1536-angular,360,98.99,406625.0,296909875200
openai-1536-angular,400,99.09,450823.0,329226244608
openai-1536-angular,500,99.37,560342.0,409883853312
openai-1536-angular,600,99.54,669159.0,490367027712
sift-128-euclidean,5,68.91,568.634,385728512
sift-128-euclidean,10,82.16,909.567,764003968
sift-128-euclidean,20,91.62,1581.42,1499213952
sift-128-euclidean,30,95.39,2230.83,2216262272
sift-128-euclidean,40,97.04,2868.39,2919117312
sift-128-euclidean,50,98.13,3503.79,3618352000
sift-128-euclidean,60,98.69,4133.05,4310232704
sift-128-euclidean,70,98.97,4759.35,4994261504
sift-128-euclidean,80,99.31,5378.95,5674439680
sift-128-euclidean,90,99.53,5998.45,6350937216
