dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,5,83.95,1710.69,1238407488
contriever-768,10,91.15,2868.87,2164127648
contriever-768,20,94.98,4977.47,3729834272
contriever-768,30,96.5,6820.61,5059744928
contriever-768,40,97.05,8510.69,6265603776
contriever-768,50,97.51,10083.5,7372405024
contriever-768,60,97.75,11567.2,8425277216
contriever-768,70,97.97,13015.6,9442686240
contriever-768,80,98.21,14392.3,10419578592
contriever-768,90,98.35,15701.8,11359288032
contriever-768,100,98.51,16961.2,12279909696
contriever-768,110,98.62,18106.4,13180626240
contriever-768,120,98.72,19330.2,14071163840
contriever-768,130,98.82,20545.4,14934214688
contriever-768,140,98.88,21708.1,15787525600
contriever-768,150,98.94,22840.4,16624249920
contriever-768,160,98.97,23886.4,17446599904
contriever-768,170,99.04,24988.6,18260465824
contriever-768,180,99.09,26063.4,19059840064
contriever-768,190,99.13,27136.3,19845195712
contriever-768,200,99.15,28165.5,20616620352
contriever-768,240,99.22,32169.6,23625981856
contriever-768,280,99.27,36032.7,26497476992
contriever-768,320,99.33,40165.0,29221696192
contriever-768,360,99.34,43567.4,31815833472
deep-image-96-angular,5,64.57,359.874,190498400
deep-image-96-angular,10,76.66,478.96,353900960
deep-image-96-angular,20,86.38,680.842,664397824
deep-image-96-angular,30,90.57,875.271,958548736
deep-image-96-angular,40,92.66,1047.16,1248917728
deep-image-96-angular,50,94.17,1225.93,1535702912
deep-image-96-angular,60,95.18,1403.93,1818146976
deep-image-96-angular,70,95.85,1562.06,2096270976
deep-image-96-angular,80,96.35,1734.33,2372050336
deep-image-96-angular,90,96.75,1892.75,2646284896
deep-image-96-angular,100,97.1,2048.99,2916561472
deep-image-96-angular,110,97.38,2207.12,3182533664
deep-image-96-angular,120,97.55,2364.52,3450976288
deep-image-96-angular,130,97.78,2526.32,3718274176
deep-image-96-angular,140,97.91,2675.47,3978898016
deep-image-96-angular,150,98.01,2828.12,4239936192
deep-image-96-angular,160,98.12,2976.63,4502090176
deep-image-96-angular,170,98.18,3138.25,4761418944
deep-image-96-angular,180,98.29,3285.54,5017734496
deep-image-96-angular,190,98.33,3432.74,5275678144
deep-image-96-angular,200,98.44,3584.08,5530929664
deep-image-96-angular,240,98.59,4182.94,6544384032
deep-image-96-angular,280,98.69,4810.0,7546419200
deep-image-96-angular,320,98.8,5456.49,8536647232
deep-image-96-angular,360,98.85,6126.12,9515965280
deep-image-96-angular,400,98.92,6682.5,10486931552
deep-image-96-angular,500,99.02,8089.42,12895184896
deep-image-96-angular,600,99.08,9534.56,15265016640
deep-image-96-angular,700,99.13,10884.0,17611609472
deep-image-96-angular,800,99.14,12169.7,19942184768
deep-image-96-angular,900,99.15,13505.0,22252966816
deep-image-96-angular,1000,99.16,14884.7,24554750624
gist-960-euclidean,5,51.8,1341.89,624667488
gist-960-euclidean,10,67.1,2022.6,1078656960
gist-960-euclidean,20,80.33,3193.36,1856353568
gist-960-euclidean,30,86.63,4231.04,2546128960
gist-960-euclidean,40,90.03,5162.36,3184141696
gist-960-euclidean,50,92.72,6010.88,3774825024
gist-960-euclidean,60,94.33,6799.51,4334475328
gist-960-euclidean,70,95.39,7527.7,4864963840
gist-960-euclidean,80,96.26,8219.84,5371882304
gist-960-euclidean,90,96.97,8869.44,5860371936
gist-960-euclidean,100,97.45,9499.53,6331414624
gist-960-euclidean,110,97.83,10082.7,6791716864
gist-960-euclidean,120,98.14,10612.0,7235497696
gist-960-euclidean,130,98.38,11168.1,7666581984
gist-960-euclidean,140,98.62,11684.1,8087778464
gist-960-euclidean,150,98.69,12203.2,8500126016
gist-960-euclidean,160,98.92,12664.2,8897422848
gist-960-euclidean,170,99.03,13070.9,9287838688
gist-960-euclidean,180,99.13,13526.2,9673498752
gist-960-euclidean,190,99.2,13984.5,10051017248
gist-960-euclidean,200,99.26,14415.1,10419616736
gist-960-euclidean,240,99.43,16021.7,11825378656
gist-960-euclidean,280,99.53,17467.5,13137516960
glove-200-angular,5,38.16,1467.04,1548848776
glove-200-angular,10,47.41,2761.01,2860360480
glove-200-angular,20,59.58,5224.69,5324360680
glove-200-angular,30,67.45,7617.01,7650560096
glove-200-angular,40,73.89,9935.06,9864866632
glove-200-angular,50,78.76,12143.3,11998640952
glove-200-angular,60,83.1,14306.2,14064435616
glove-200-angular,70,86.45,16378.4,16040969944
glove-200-angular,80,89.08,18398.4,17955559648
glove-200-angular,90,91.39,20301.8,19772100584
glove-200-angular,100,93.23,22181.8,21541134960
glove-200-angular,110,94.48,23957.8,23232694680
glove-200-angular,120,95.55,25710.6,24847584832
glove-200-angular,130,96.53,27348.4,26412811848
glove-200-angular,140,97.04,28952.5,27930935496
glove-200-angular,150,97.76,30460.7,29393603152
glove-200-angular,160,98.16,31974.0,30806069720
glove-200-angular,170,98.42,33409.5,32170728504
glove-200-angular,180,98.57,34795.9,33475999736
glove-200-angular,190,98.79,36112.0,34748995352
glove-200-angular,200,98.85,37399.8,35949869088
glove-200-angular,240,99.05,42038.2,40350087664
glove-200-angular,280,99.12,46071.7,44210168064
glove-200-angular,320,99.14,49702.2,47489698328
glove-200-angular,360,99.16,52444.5,50266314896
glove-200-angular,400,99.16,54427.0,52540076136
instructorxl-arxiv-768,5,75.97,1061.8,432333920
instructorxl-arxiv-768,10,85.65,1422.71,702197920
instructorxl-arxiv-768,20,92.25,2001.79,1176395296
instructorxl-arxiv-768,30,94.67,2497.11,1605219520
instructorxl-arxiv-768,40,95.79,2953.3,2007678208
instructorxl-arxiv-768,50,96.92,3373.65,2394431872
instructorxl-arxiv-768,60,97.57,3754.24,2763694592
instructorxl-arxiv-768,70,98.02,4127.62,3127279776
instructorxl-arxiv-768,80,98.28,4485.58,3481940992
instructorxl-arxiv-768,90,98.54,4824.26,3834640736
instructorxl-arxiv-768,100,98.72,5163.55,4178514560
instructorxl-arxiv-768,110,98.92,5485.56,4515918112
instructorxl-arxiv-768,120,99.01,5791.61,4852105344
instructorxl-arxiv-768,130,99.1,6098.12,5185043872
instructorxl-arxiv-768,140,99.16,6390.13,5510979360
instructorxl-arxiv-768,150,99.22,6665.6,5829081280
instructorxl-arxiv-768,160,99.31,6973.58,6150673952
instructorxl-arxiv-768,170,99.35,7236.96,6466713472
instructorxl-arxiv-768,180,99.45,7502.84,6782245888
instructorxl-arxiv-768,190,99.53,7769.6,7091482720
msong-420,5,80.72,533.144,301414156
msong-420,10,92.16,837.72,554417004
msong-420,20,97.37,1373.28,1025775044
msong-420,30,98.78,1874.06,1471444848
msong-420,40,99.25,2352.49,1899847576
msong-420,50,99.44,2808.13,2311576548
msong-420,60,99.56,3255.6,2711643796
openai-1536-angular,5,74.76,1655.92,463194176
openai-1536-angular,10,81.49,2035.69,702297216
openai-1536-angular,20,86.65,2665.02,1114328064
openai-1536-angular,30,89.14,3226.27,1489802976
openai-1536-angular,40,91.01,3739.02,1841666240
openai-1536-angular,50,92.46,4227.89,2179772864
openai-1536-angular,60,93.33,4689.41,2503576672
openai-1536-angular,70,94.26,5128.2,2816899904
openai-1536-angular,80,94.74,5554.17,3118021056
openai-1536-angular,90,95.26,5962.72,3411507200
openai-1536-angular,100,95.62,6367.17,3700971104
openai-1536-angular,110,95.92,6755.01,3985099936
openai-1536-angular,120,96.29,7120.63,4261133664
openai-1536-angular,130,96.52,7488.94,4532735040
openai-1536-angular,140,96.77,7843.37,4795394496
openai-1536-angular,150,97.05,8180.16,5055339200
openai-1536-angular,160,97.25,8525.36,5315623136
openai-1536-angular,170,97.48,8851.84,5571630336
openai-1536-angular,180,97.65,9184.55,5824948608
openai-1536-angular,190,97.75,9505.67,6073749440
openai-1536-angular,200,97.91,9817.01,6318977984
openai-1536-angular,240,98.26,11002.5,7270966464
openai-1536-angular,280,98.49,12117.9,8192954848
openai-1536-angular,320,98.73,13155.9,9083722592
openai-1536-angular,360,98.9,14142.5,9953165664
openai-1536-angular,400,98.99,15078.9,10801556768
openai-1536-angular,500,99.23,17213.5,12847111616
