dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,63.96,475.344,0.228784
contriever-768,20,77.39,586.96,0.338065
contriever-768,30,83.4,679.133,0.435178
contriever-768,40,86.96,770.531,0.531824
contriever-768,50,88.76,1036.11,0.826946
contriever-768,60,89.89,1100.51,1.0366
contriever-768,70,91.33,1234.76,1.20563
contriever-768,80,92.44,1301.75,1.32825
contriever-768,90,92.77,1365.21,1.3862
contriever-768,100,93.34,1398.24,1.44125
contriever-768,110,93.8,1315.93,1.44344
contriever-768,120,94.01,1388.4,1.2111
contriever-768,130,94.19,1437.04,1.2256
contriever-768,140,94.43,1492.49,1.28975
contriever-768,150,94.63,1578.31,1.3436
contriever-768,160,94.94,1628.37,1.40574
contriever-768,170,95.0,1698.38,1.4637
contriever-768,180,95.33,1764.09,1.52554
contriever-768,190,95.4,1806.31,1.58348
contriever-768,200,95.52,1872.66,1.65007
contriever-768,240,95.84,2135.17,1.94019
contriever-768,280,95.98,2341.84,2.14699
contriever-768,320,96.13,2539.72,2.35254
contriever-768,360,96.21,2779.6,2.56439
contriever-768,400,96.54,3008.72,2.78965
contriever-768,500,96.74,3527.88,3.31606
contriever-768,600,96.83,4016.83,3.79723
contriever-768,700,96.92,4511.71,4.28775
contriever-768,800,96.98,4965.64,4.73769
contriever-768,900,97.01,5434.08,5.1943
contriever-768,1000,97.02,5883.12,5.64721
contriever-768,1100,97.06,6303.97,6.07586
contriever-768,1200,97.1,6739.13,6.49128
contriever-768,1300,97.12,7155.49,6.92766
contriever-768,1400,97.15,7572.36,7.32844
contriever-768,1500,97.15,7980.39,7.74449
deep-image-96-angular,10,57.19,120.081,0.10521
deep-image-96-angular,20,74.37,186.68,0.159877
deep-image-96-angular,30,81.11,231.585,0.205588
deep-image-96-angular,40,84.93,274.124,0.248255
deep-image-96-angular,50,87.6,320.651,0.294143
deep-image-96-angular,60,89.14,360.128,0.333454
deep-image-96-angular,70,90.54,397.178,0.370595
deep-image-96-angular,80,91.55,440.407,0.413356
deep-image-96-angular,90,92.55,486.589,0.45923
deep-image-96-angular,100,93.26,524.904,0.497422
deep-image-96-angular,110,93.9,556.675,0.529007
deep-image-96-angular,120,94.38,595.765,0.567867
deep-image-96-angular,130,94.79,687.192,0.657909
deep-image-96-angular,140,95.27,682.887,0.654377
deep-image-96-angular,150,95.61,728.114,0.699085
deep-image-96-angular,160,95.93,811.614,0.781694
deep-image-96-angular,170,96.24,799.216,0.77012
deep-image-96-angular,180,96.43,858.115,0.831045
deep-image-96-angular,190,96.71,875.296,0.867513
deep-image-96-angular,200,96.9,914.238,0.886739
deep-image-96-angular,240,97.53,1050.0,1.09021
deep-image-96-angular,280,97.96,1231.91,1.21447
deep-image-96-angular,320,98.19,1341.54,1.34044
deep-image-96-angular,360,98.36,1630.55,1.63086
deep-image-96-angular,400,98.51,1750.79,1.72826
deep-image-96-angular,500,98.9,2166.56,2.27099
deep-image-96-angular,600,99.07,2600.73,2.80215
