dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,63.47,163.267,0.13757
contriever-768,20,76.71,252.844,0.224256
contriever-768,30,82.9,334.278,0.316242
contriever-768,40,86.8,409.772,0.382451
contriever-768,50,88.14,476.575,0.460038
contriever-768,60,89.7,552.033,0.538432
contriever-768,70,90.48,619.713,0.593128
contriever-768,80,91.12,696.479,0.680695
contriever-768,90,92.22,770.591,0.751574
contriever-768,100,92.62,840.633,0.82146
contriever-768,110,92.98,914.594,0.892048
contriever-768,120,93.1,988.918,0.977423
contriever-768,130,93.42,1057.99,1.03362
contriever-768,140,93.79,1125.74,1.10866
contriever-768,150,94.34,1203.55,1.1894
contriever-768,160,94.48,1276.1,1.26526
contriever-768,170,94.63,1347.6,1.32381
contriever-768,180,94.7,1410.05,1.39737
contriever-768,190,94.82,1486.32,1.4769
contriever-768,200,94.85,1557.96,1.54772
contriever-768,240,95.27,1854.08,1.84405
contriever-768,280,95.58,2138.63,2.12957
contriever-768,320,95.85,2430.87,2.42248
contriever-768,360,95.94,2722.32,2.71459
contriever-768,400,96.17,3014.92,3.01585
contriever-768,500,96.55,3747.71,3.75177
contriever-768,600,96.93,4476.14,4.49582
contriever-768,700,97.06,5207.02,5.19975
contriever-768,800,97.23,5939.79,5.97014
contriever-768,900,97.38,6664.88,6.68611
contriever-768,1000,97.4,7391.46,7.40964
contriever-768,1100,97.44,8113.83,8.1352
contriever-768,1200,97.47,8828.4,8.88099
contriever-768,1300,97.47,9546.5,9.59044
deep-image-96-angular,10,60.05,57.902,0.052161
deep-image-96-angular,20,73.84,90.82,0.0757029
deep-image-96-angular,30,80.71,114.428,0.0995817
deep-image-96-angular,40,85.38,141.093,0.125685
deep-image-96-angular,50,87.93,170.528,0.165441
deep-image-96-angular,60,90.06,198.113,0.180561
deep-image-96-angular,70,91.59,221.233,0.203241
deep-image-96-angular,80,92.61,243.609,0.228092
deep-image-96-angular,90,93.52,272.771,0.253236
deep-image-96-angular,100,94.4,298.61,0.27823
deep-image-96-angular,110,94.93,328.425,0.314087
deep-image-96-angular,120,95.41,346.259,0.327931
deep-image-96-angular,130,95.86,375.584,0.352778
deep-image-96-angular,140,96.24,405.083,0.377642
deep-image-96-angular,150,96.49,429.392,0.404858
deep-image-96-angular,160,96.76,451.881,0.428764
deep-image-96-angular,170,96.99,474.506,0.464491
deep-image-96-angular,180,97.28,497.497,0.474685
deep-image-96-angular,190,97.51,529.718,0.509935
deep-image-96-angular,200,97.66,551.693,0.523631
deep-image-96-angular,240,98.23,656.785,0.625637
deep-image-96-angular,280,98.59,746.317,0.712429
deep-image-96-angular,320,98.81,845.985,0.82004
deep-image-96-angular,360,99.13,943.002,0.910568
deep-image-96-angular,400,99.21,1031.86,0.992537
deep-image-96-angular,500,99.45,1275.51,1.23601
deep-image-96-angular,600,99.59,1500.04,1.44907
gist-960-euclidean,10,41.48,203.928,0.169604
gist-960-euclidean,20,56.55,330.952,0.282471
gist-960-euclidean,30,65.02,419.32,0.379797
gist-960-euclidean,40,70.72,509.374,0.477303
gist-960-euclidean,50,74.66,611.227,0.56313
gist-960-euclidean,60,77.83,699.185,0.663312
gist-960-euclidean,70,80.33,788.784,0.757016
gist-960-euclidean,80,82.16,883.756,0.85065
gist-960-euclidean,90,84.02,968.245,0.932509
gist-960-euclidean,100,85.5,1058.3,1.03337
gist-960-euclidean,110,86.68,1151.8,1.12591
gist-960-euclidean,120,87.76,1224.96,1.19926
gist-960-euclidean,130,88.73,1321.9,1.29941
gist-960-euclidean,140,89.68,1404.92,1.37839
gist-960-euclidean,150,90.28,1493.38,1.46229
gist-960-euclidean,160,90.99,1577.9,1.54986
gist-960-euclidean,170,91.46,1667.31,1.64642
gist-960-euclidean,180,92.03,1750.22,1.72446
gist-960-euclidean,190,92.39,1827.78,1.8097
