dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,10,65.22,432.835,0.18
contriever-768,20,78.49,527.562,0.21
contriever-768,30,83.44,605.521,0.21
contriever-768,40,85.95,676.843,0.21
contriever-768,50,88.15,751.114,0.21
contriever-768,60,89.25,809.141,0.21
contriever-768,70,90.6,881.127,0.21
contriever-768,80,91.44,945.23,0.21
contriever-768,90,92.05,1010.96,0.21
contriever-768,100,92.52,1070.62,0.21
contriever-768,110,93.16,1136.77,0.21
contriever-768,120,93.35,1196.37,0.21
contriever-768,130,93.7,1263.72,0.21
contriever-768,140,93.94,1319.73,0.21
contriever-768,150,94.23,1384.85,0.21
contriever-768,160,94.37,1442.81,0.21
contriever-768,170,94.48,1510.92,0.21
contriever-768,180,94.55,1562.26,0.21
contriever-768,190,94.78,1627.28,0.21
contriever-768,200,94.92,1690.04,0.21
contriever-768,240,95.28,1929.71,0.21
contriever-768,280,95.55,2164.95,0.21
contriever-768,320,95.87,2403.31,0.21
contriever-768,360,96.06,2643.39,0.21
contriever-768,400,96.21,2883.75,0.21
contriever-768,500,96.45,3449.98,0.21
contriever-768,600,96.87,4023.55,0.21
contriever-768,700,97.04,4604.07,0.21
contriever-768,800,97.18,5184.23,0.21
contriever-768,900,97.32,5747.59,0.21
contriever-768,1000,97.39,6310.79,0.21
contriever-768,1100,97.42,6831.13,0.21
contriever-768,1200,97.44,7344.06,0.21
contriever-768,1300,97.44,7849.42,0.21
deep-image-96-angular,10,60.63,91.6431,0.27
deep-image-96-angular,20,73.58,120.214,0.27
deep-image-96-angular,30,80.6,163.346,0.28
deep-image-96-angular,40,84.98,200.003,0.28
deep-image-96-angular,50,87.86,238.196,0.28
deep-image-96-angular,60,89.92,274.113,0.28
deep-image-96-angular,70,91.39,307.306,0.28
deep-image-96-angular,80,92.45,343.333,0.28
deep-image-96-angular,90,93.35,380.518,0.28
deep-image-96-angular,100,94.24,414.914,0.28
deep-image-96-angular,110,94.83,561.626,0.28
deep-image-96-angular,120,95.33,641.905,0.28
deep-image-96-angular,130,95.75,686.699,0.28
deep-image-96-angular,140,96.14,738.321,0.28
deep-image-96-angular,150,96.43,777.354,0.28
deep-image-96-angular,160,96.66,815.449,0.28
deep-image-96-angular,170,96.92,868.929,0.28
deep-image-96-angular,180,97.22,912.224,0.28
deep-image-96-angular,190,97.44,953.083,0.28
deep-image-96-angular,200,97.59,997.133,0.28
deep-image-96-angular,240,98.17,1168.89,0.28
deep-image-96-angular,280,98.54,1428.58,0.28
deep-image-96-angular,320,98.8,1517.64,0.28
deep-image-96-angular,360,99.11,1688.32,0.28
deep-image-96-angular,400,99.19,1880.54,0.28
deep-image-96-angular,500,99.44,2223.6,0.28
deep-image-96-angular,600,99.57,2545.98,0.28
gist-960-euclidean,10,42.34,562.843,0.19
gist-960-euclidean,20,56.02,670.363,0.21
gist-960-euclidean,30,64.51,761.003,0.24
gist-960-euclidean,40,70.41,842.725,0.27
gist-960-euclidean,50,74.44,923.728,0.3
gist-960-euclidean,60,77.6,1000.15,0.3
gist-960-euclidean,70,80.0,1073.66,0.31
gist-960-euclidean,80,82.15,1142.05,0.31
gist-960-euclidean,90,83.73,1213.81,0.31
gist-960-euclidean,100,85.29,1271.79,0.31
gist-960-euclidean,110,86.19,1337.71,0.31
gist-960-euclidean,120,87.43,1406.58,0.32
gist-960-euclidean,130,88.29,1473.17,0.32
gist-960-euclidean,140,89.22,1535.55,0.32
gist-960-euclidean,150,89.86,1595.49,0.32
gist-960-euclidean,160,90.53,1656.83,0.32
gist-960-euclidean,170,91.06,1714.68,0.32
gist-960-euclidean,180,91.49,1776.15,0.32
gist-960-euclidean,190,91.92,1840.37,0.32
gist-960-euclidean,200,92.36,1896.55,0.32
gist-960-euclidean,240,93.63,2114.97,0.32
gist-960-euclidean,280,94.61,2342.3,0.32
gist-960-euclidean,320,95.32,2566.39,0.33
gist-960-euclidean,360,95.94,2750.53,0.33
gist-960-euclidean,400,96.38,2954.44,0.33
gist-960-euclidean,500,97.09,3436.42,0.33
gist-960-euclidean,600,97.62,3882.36,0.33
gist-960-euclidean,700,98.03,4308.91,0.33
gist-960-euclidean,800,98.24,4749.2,0.33
gist-960-euclidean,900,98.43,5175.86,0.33
gist-960-euclidean,1000,98.51,5575.68,0.33
gist-960-euclidean,1100,98.64,5964.68,0.33
gist-960-euclidean,1200,98.75,6327.73,0.33
gist-960-euclidean,1300,98.86,6678.31,0.33
gist-960-euclidean,1400,98.94,7030.6,0.33
gist-960-euclidean,1500,98.97,7373.04,0.33
gist-960-euclidean,2000,99.16,9025.16,0.33
gist-960-euclidean,2500,99.25,10583.2,0.33
gist-960-euclidean,3000,99.3,12034.0,0.33
gist-960-euclidean,3500,99.39,13405.9,0.33
gist-960-euclidean,4000,99.47,14724.8,0.33
glove-200-angular,10,38.19,112.976,0.14
glove-200-angular,20,49.72,157.946,0.14
glove-200-angular,30,56.68,202.843,0.14
glove-200-angular,40,60.97,247.156,0.14
glove-200-angular,50,63.74,290.765,0.14
glove-200-angular,60,66.05,328.99,0.14
glove-200-angular,70,67.82,376.566,0.14
glove-200-angular,80,69.39,410.941,0.14
glove-200-angular,90,70.43,458.953,0.14
glove-200-angular,100,71.7,501.721,0.14
glove-200-angular,110,72.7,539.046,0.14
glove-200-angular,120,73.41,584.177,0.14
glove-200-angular,130,74.04,629.491,0.14
glove-200-angular,140,74.74,666.305,0.14
glove-200-angular,150,75.4,706.821,0.14
glove-200-angular,160,75.9,750.362,0.14
glove-200-angular,170,76.4,799.53,0.14
glove-200-angular,180,76.93,839.88,0.14
glove-200-angular,190,77.42,875.256,0.14
glove-200-angular,200,77.85,918.978,0.14
glove-200-angular,240,79.4,1091.29,0.14
glove-200-angular,280,80.44,1244.91,0.14
glove-200-angular,320,81.22,1406.47,0.14
glove-200-angular,360,82.02,1575.34,0.14
glove-200-angular,400,82.57,1729.73,0.14
glove-200-angular,500,83.97,2158.99,0.14
glove-200-angular,600,84.59,2560.38,0.14
glove-200-angular,700,85.24,2973.2,0.14
glove-200-angular,800,85.71,3387.88,0.14
