dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,82.33,3566.47,1.40613
contriever-768,10,89.34,4603.53,2.44931
contriever-768,20,93.12,6421.13,4.2916
contriever-768,30,94.63,8010.85,5.85306
contriever-768,40,95.22,9475.84,7.31915
contriever-768,50,95.69,10863.2,8.74241
contriever-768,60,95.91,12177.7,10.0733
contriever-768,70,96.15,13461.8,11.3912
contriever-768,80,96.4,14697.8,12.6528
contriever-768,90,96.55,15907.1,13.8305
contriever-768,100,96.72,17119.1,15.0464
contriever-768,110,96.86,18544.9,16.4951
contriever-768,120,96.97,19628.3,17.5865
contriever-768,130,97.09,20560.2,18.4766
contriever-768,140,97.17,21700.3,19.6608
contriever-768,150,97.23,22822.6,20.7768
contriever-768,160,97.26,23912.5,21.8518
contriever-768,170,97.34,25013.8,23.0079
contriever-768,180,97.39,26116.2,24.0748
contriever-768,190,97.43,27182.0,25.1245
contriever-768,200,97.46,28283.7,25.9983
contriever-768,240,97.55,32359.0,29.9353
contriever-768,280,97.6,36597.4,34.0927
contriever-768,320,97.67,40623.9,38.0774
contriever-768,360,97.68,44038.5,41.4638
contriever-768,400,97.73,47825.8,45.2033
contriever-768,500,97.81,56562.7,53.8219
contriever-768,600,97.87,64498.7,61.6942
contriever-768,700,97.89,71791.8,68.7602
contriever-768,800,97.9,78759.5,75.4573
deep-image-96-angular,5,63.06,1311.36,0.307051
deep-image-96-angular,10,74.94,1557.48,0.530846
deep-image-96-angular,20,84.54,1993.33,0.989381
deep-image-96-angular,30,88.73,2402.54,1.35792
deep-image-96-angular,40,90.83,2793.56,1.7969
deep-image-96-angular,50,92.35,3169.64,2.10938
deep-image-96-angular,60,93.37,3537.54,2.5166
deep-image-96-angular,70,94.04,3898.14,2.86459
deep-image-96-angular,80,94.54,4242.63,3.18568
deep-image-96-angular,90,94.94,4575.36,3.50202
deep-image-96-angular,100,95.29,4923.03,3.86079
deep-image-96-angular,110,95.56,5234.31,4.20138
deep-image-96-angular,120,95.73,5591.89,4.52548
deep-image-96-angular,130,95.96,5888.85,4.77793
deep-image-96-angular,140,96.09,6192.2,5.07146
deep-image-96-angular,150,96.19,6514.27,5.40861
deep-image-96-angular,160,96.3,6820.62,5.71749
deep-image-96-angular,170,96.36,7226.5,6.09825
deep-image-96-angular,180,96.47,7453.42,6.30414
deep-image-96-angular,190,96.51,7746.45,6.62026
deep-image-96-angular,200,96.62,8034.14,6.88188
deep-image-96-angular,240,96.77,9155.21,7.94977
deep-image-96-angular,280,96.87,10240.2,9.08026
deep-image-96-angular,320,96.98,11390.5,10.1617
deep-image-96-angular,360,97.03,12435.7,11.1669
deep-image-96-angular,400,97.11,13324.8,12.0536
deep-image-96-angular,500,97.21,15769.8,14.3183
deep-image-96-angular,600,97.27,18064.8,16.4482
deep-image-96-angular,700,97.32,20436.2,18.7345
deep-image-96-angular,800,97.33,22580.6,20.7686
gist-960-euclidean,5,51.49,3369.49,0.499815
gist-960-euclidean,10,66.68,3684.66,0.827392
gist-960-euclidean,20,79.92,4191.5,1.34946
gist-960-euclidean,30,86.18,4615.78,1.73155
gist-960-euclidean,40,89.61,5004.2,2.09437
gist-960-euclidean,50,92.28,5354.48,2.47093
gist-960-euclidean,60,93.88,5695.42,2.78889
gist-960-euclidean,70,94.93,6024.29,3.12766
gist-960-euclidean,80,95.8,6334.4,3.42795
gist-960-euclidean,90,96.5,6629.08,3.70191
gist-960-euclidean,100,96.98,6923.76,3.9807
gist-960-euclidean,110,97.36,7204.82,4.26947
gist-960-euclidean,120,97.65,7476.67,4.50811
gist-960-euclidean,130,97.88,7746.24,4.79911
gist-960-euclidean,140,98.12,7996.53,5.00026
gist-960-euclidean,150,98.18,8247.65,5.25539
gist-960-euclidean,160,98.4,8509.12,5.51763
gist-960-euclidean,170,98.51,8773.63,5.76713
gist-960-euclidean,180,98.61,9010.97,5.98001
gist-960-euclidean,190,98.69,9277.16,6.2446
gist-960-euclidean,200,98.75,9512.73,6.4576
gist-960-euclidean,240,98.92,10443.8,7.33296
gist-960-euclidean,280,99.03,11320.3,8.17245
gist-960-euclidean,320,99.11,12147.2,8.96132
gist-960-euclidean,360,99.14,12983.7,9.7583
gist-960-euclidean,400,99.16,13748.8,10.5011
gist-960-euclidean,500,99.19,15632.7,12.2626
gist-960-euclidean,600,99.19,17383.4,13.9163
glove-200-angular,5,37.99,2419.96,1.96481
glove-200-angular,10,47.31,4221.47,3.7718
glove-200-angular,20,59.55,7719.19,7.27296
glove-200-angular,30,67.51,11116.3,10.6596
glove-200-angular,40,74.02,14418.1,13.9332
glove-200-angular,50,78.98,17634.5,17.1405
glove-200-angular,60,83.41,21176.6,20.6655
glove-200-angular,70,86.8,23906.7,23.3872
glove-200-angular,80,89.43,26833.0,26.2807
glove-200-angular,90,91.76,29662.4,29.0898
glove-200-angular,100,93.61,32364.0,31.6161
glove-200-angular,110,94.88,35067.7,34.2085
glove-200-angular,120,95.97,37583.0,36.685
glove-200-angular,130,96.96,40103.3,39.1522
glove-200-angular,140,97.47,42550.1,41.5635
glove-200-angular,150,98.18,45216.0,44.2062
glove-200-angular,160,98.58,47285.8,46.2478
glove-200-angular,170,98.85,49486.3,48.4041
glove-200-angular,180,99.01,51741.4,50.5886
glove-200-angular,190,99.24,53836.0,52.6449
glove-200-angular,200,99.31,55870.7,54.651
glove-200-angular,240,99.51,63385.2,62.0417
instructorxl-arxiv-768,5,75.6,4089.57,0.900636
instructorxl-arxiv-768,10,85.26,4741.71,1.57099
instructorxl-arxiv-768,20,91.84,5890.75,2.6949
instructorxl-arxiv-768,30,94.3,6924.6,3.73987
instructorxl-arxiv-768,40,95.42,7908.85,4.75004
instructorxl-arxiv-768,50,96.55,8833.9,5.68329
instructorxl-arxiv-768,60,97.22,9724.3,6.56231
instructorxl-arxiv-768,70,97.68,10646.3,7.46113
instructorxl-arxiv-768,80,97.96,11449.5,8.30377
instructorxl-arxiv-768,90,98.23,12224.5,9.05526
instructorxl-arxiv-768,100,98.41,13020.7,9.86246
instructorxl-arxiv-768,110,98.62,15109.8,16.5284
instructorxl-arxiv-768,120,98.71,14965.4,11.7238
instructorxl-arxiv-768,130,98.8,15743.8,12.4185
instructorxl-arxiv-768,140,98.88,16494.0,13.1533
instructorxl-arxiv-768,150,98.94,17211.1,13.8546
instructorxl-arxiv-768,160,99.03,17940.1,14.5601
instructorxl-arxiv-768,170,99.07,18641.4,15.2587
instructorxl-arxiv-768,180,99.18,19320.3,15.931
instructorxl-arxiv-768,190,99.26,19973.2,16.584
instructorxl-arxiv-768,200,99.3,20665.3,17.254
instructorxl-arxiv-768,240,99.38,23210.4,19.7628
instructorxl-arxiv-768,280,99.42,25610.2,22.0845
instructorxl-arxiv-768,320,99.44,27931.0,24.3697
instructorxl-arxiv-768,360,99.46,30092.2,26.4578
instructorxl-arxiv-768,400,99.49,32134.3,28.4499
instructorxl-arxiv-768,500,99.52,36923.3,33.0939
msong-420,5,79.42,1507.53,0.441942
msong-420,10,90.71,1838.72,0.767332
msong-420,20,95.86,2397.87,1.32888
msong-420,30,97.26,2864.16,1.78637
msong-420,40,97.73,3274.61,2.19089
msong-420,50,97.9,3653.83,2.56637
msong-420,60,98.01,4000.71,2.91491
msong-420,70,98.07,4325.55,3.24807
msong-420,80,98.16,4632.88,3.56824
msong-420,90,98.21,4935.69,3.84673
