dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,85.21,2031.05,2.07108
contriever-768,10,91.36,3112.44,3.78422
contriever-768,20,94.81,4569.38,4.11275
contriever-768,30,96.37,6329.96,5.79001
contriever-768,40,97.04,7994.5,7.42337
contriever-768,50,97.49,9611.83,9.006
contriever-768,60,97.89,11202.4,10.5547
contriever-768,70,98.07,12694.4,12.0391
contriever-768,80,98.32,14265.6,13.5784
contriever-768,90,98.43,15834.5,15.1342
contriever-768,100,98.61,17364.6,16.6466
contriever-768,110,98.68,18888.0,18.134
contriever-768,120,98.78,20325.6,19.5468
contriever-768,130,98.86,21888.8,21.0889
contriever-768,140,98.95,23413.7,22.5898
contriever-768,150,99.04,24873.0,24.0417
contriever-768,160,99.12,26400.5,25.5386
contriever-768,170,99.2,27853.3,26.9913
contriever-768,180,99.3,29331.5,28.4321
contriever-768,190,99.32,30786.3,29.8714
contriever-768,200,99.38,32205.6,31.2649
contriever-768,240,99.53,37891.8,36.8932
deep-image-96-angular,5,64.5,476.519,0.260877
deep-image-96-angular,10,77.03,710.121,0.495793
deep-image-96-angular,20,87.17,1119.25,0.895043
deep-image-96-angular,30,91.8,1503.07,1.27694
deep-image-96-angular,40,94.06,1866.67,1.61754
deep-image-96-angular,50,95.38,2206.67,1.95063
deep-image-96-angular,60,96.17,2540.23,2.27672
deep-image-96-angular,70,96.81,2874.2,2.60052
deep-image-96-angular,80,97.4,3192.45,2.89082
deep-image-96-angular,90,97.74,3506.64,3.20027
deep-image-96-angular,100,98.13,3816.27,3.49709
deep-image-96-angular,110,98.38,4107.54,3.76206
deep-image-96-angular,120,98.52,4390.08,4.01262
deep-image-96-angular,130,98.69,4665.17,4.27225
deep-image-96-angular,140,98.8,4949.77,4.53662
deep-image-96-angular,150,98.87,5236.69,4.8301
deep-image-96-angular,160,99.07,5508.32,5.08263
deep-image-96-angular,170,99.2,5778.94,5.3311
deep-image-96-angular,180,99.24,6063.8,5.59664
deep-image-96-angular,190,99.27,6342.97,5.83951
deep-image-96-angular,200,99.32,6582.17,6.05988
deep-image-96-angular,240,99.53,7636.34,7.0478
deep-image-96-angular,5,64.5,489.012,0.271933
deep-image-96-angular,10,77.03,718.933,0.497857
deep-image-96-angular,20,87.17,1130.56,0.904727
deep-image-96-angular,30,91.8,1518.86,1.27052
deep-image-96-angular,40,94.06,1877.97,1.63947
deep-image-96-angular,50,95.38,2233.19,1.96832
deep-image-96-angular,60,96.17,2570.23,2.28908
deep-image-96-angular,70,96.81,2896.38,2.62527
deep-image-96-angular,80,97.4,3214.97,2.92073
deep-image-96-angular,90,97.74,3524.73,3.24158
deep-image-96-angular,100,98.13,3822.6,3.54176
deep-image-96-angular,110,98.38,4123.07,3.7961
deep-image-96-angular,120,98.52,4420.82,4.0911
deep-image-96-angular,130,98.69,4706.52,4.3773
deep-image-96-angular,140,98.8,4986.53,4.64969
deep-image-96-angular,150,98.87,5268.29,4.93934
deep-image-96-angular,160,99.07,5560.55,5.20087
deep-image-96-angular,170,99.2,5842.8,5.47175
deep-image-96-angular,180,99.24,6115.54,5.73847
deep-image-96-angular,190,99.27,6396.45,6.01806
deep-image-96-angular,200,99.32,6661.82,6.25671
deep-image-96-angular,240,99.53,7732.73,7.25845
deep-image-96-angular,5,64.5,476.766,0.260397
deep-image-96-angular,10,77.03,710.193,0.49825
deep-image-96-angular,20,87.17,1127.32,0.918061
deep-image-96-angular,30,91.8,1504.75,1.27455
deep-image-96-angular,40,94.06,1870.47,1.62985
deep-image-96-angular,50,95.38,2225.11,1.98242
deep-image-96-angular,60,96.17,2571.23,2.30618
deep-image-96-angular,70,96.81,2894.03,2.61467
deep-image-96-angular,80,97.4,3204.98,2.92083
deep-image-96-angular,90,97.74,3514.92,3.24468
deep-image-96-angular,100,98.13,3830.03,3.54797
deep-image-96-angular,110,98.38,4129.5,3.83952
deep-image-96-angular,120,98.52,4412.45,4.11572
deep-image-96-angular,130,98.69,4699.69,4.37395
deep-image-96-angular,140,98.8,4986.48,4.61715
deep-image-96-angular,150,98.87,5253.14,4.86579
deep-image-96-angular,160,99.07,5543.13,5.1457
deep-image-96-angular,170,99.2,5831.52,5.40296
deep-image-96-angular,180,99.24,6100.86,5.66887
deep-image-96-angular,190,99.27,6371.65,5.92271
deep-image-96-angular,200,99.32,6651.51,6.19438
deep-image-96-angular,240,99.53,7698.47,7.16334
gist-960-euclidean,5,50.5,1583.91,0.957734
gist-960-euclidean,10,65.66,2334.73,1.71773
gist-960-euclidean,20,79.09,3659.5,3.04657
gist-960-euclidean,30,86.01,4868.29,4.25755
gist-960-euclidean,40,90.11,6014.99,5.37945
gist-960-euclidean,50,92.29,7084.1,6.46752
gist-960-euclidean,60,94.08,8081.09,7.44221
gist-960-euclidean,70,95.21,9032.03,8.40204
gist-960-euclidean,80,96.11,9953.78,9.33395
gist-960-euclidean,90,96.8,10862.3,10.2505
gist-960-euclidean,100,97.23,11723.7,11.1077
gist-960-euclidean,110,97.67,12552.1,11.9511
gist-960-euclidean,120,97.97,13370.6,12.7585
gist-960-euclidean,130,98.19,14161.1,13.533
gist-960-euclidean,140,98.37,14974.0,14.3622
gist-960-euclidean,150,98.57,15719.0,15.0972
gist-960-euclidean,160,98.69,16420.5,15.818
gist-960-euclidean,170,98.82,17133.8,16.5247
gist-960-euclidean,180,98.94,17812.5,17.2147
gist-960-euclidean,190,99.05,18537.5,17.9256
gist-960-euclidean,200,99.2,19229.0,18.6288
gist-960-euclidean,240,99.42,22683.2,24.6063
gist-960-euclidean,280,99.56,25138.4,24.134
glove-200-angular,5,38.84,1764.28,1.65485
glove-200-angular,10,49.31,3346.05,3.20166
glove-200-angular,20,62.92,6300.99,6.16427
glove-200-angular,30,71.49,9143.49,8.99449
glove-200-angular,40,78.07,11918.5,11.7464
glove-200-angular,50,82.71,14632.8,14.4388
glove-200-angular,60,86.05,17450.9,17.8531
glove-200-angular,70,89.0,19624.6,19.193
glove-200-angular,80,91.01,22127.7,21.6379
glove-200-angular,90,92.8,24425.1,23.8862
glove-200-angular,100,94.36,26716.2,26.1336
glove-200-angular,110,95.95,28951.7,28.335
glove-200-angular,120,96.97,31115.1,30.4351
glove-200-angular,130,97.95,33281.0,32.5541
glove-200-angular,140,98.46,35334.1,34.5715
glove-200-angular,150,98.94,37312.4,36.5024
glove-200-angular,160,99.29,39256.3,38.3958
glove-200-angular,170,99.5,41064.1,40.1665
instructorxl-arxiv-768,5,76.75,1890.79,1.62715
instructorxl-arxiv-768,10,85.6,2594.48,2.71059
instructorxl-arxiv-768,20,91.77,3259.21,3.12054
instructorxl-arxiv-768,30,94.43,4137.14,3.56895
instructorxl-arxiv-768,40,95.88,5057.31,4.42269
instructorxl-arxiv-768,50,96.71,5918.18,5.24035
instructorxl-arxiv-768,60,97.43,6759.48,6.0691
instructorxl-arxiv-768,70,97.84,7565.65,6.84119
instructorxl-arxiv-768,80,98.29,8367.22,7.62051
instructorxl-arxiv-768,90,98.62,9115.61,8.35193
instructorxl-arxiv-768,100,98.85,9898.34,9.09629
instructorxl-arxiv-768,110,98.97,10637.8,9.80896
instructorxl-arxiv-768,120,99.12,11369.6,10.5146
instructorxl-arxiv-768,130,99.19,12094.4,11.2216
instructorxl-arxiv-768,140,99.27,12773.4,11.8847
instructorxl-arxiv-768,150,99.35,13467.1,12.541
