dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,83.95,2262.46,0.07
contriever-768,10,91.15,3535.9,0.1
contriever-768,20,94.98,5740.32,0.16
contriever-768,30,96.5,7947.85,0.18
contriever-768,40,97.05,10007.6,0.22
contriever-768,50,97.51,11908.2,0.24
contriever-768,60,97.75,13726.9,0.24
contriever-768,70,97.97,15526.3,0.26
contriever-768,80,98.21,17232.3,0.27
contriever-768,90,98.35,18891.5,0.28
contriever-768,100,98.51,20487.7,0.29
contriever-768,110,98.62,22059.2,0.32
contriever-768,120,98.72,23654.4,0.33
contriever-768,130,98.82,25135.7,0.35
contriever-768,140,98.88,26431.8,0.37
contriever-768,150,98.94,27731.8,0.37
contriever-768,160,98.97,29150.5,0.38
contriever-768,170,99.04,30538.6,0.4
contriever-768,180,99.09,31907.1,0.4
contriever-768,190,99.13,33242.2,0.4
contriever-768,200,99.15,34570.6,0.41
contriever-768,240,99.22,39758.2,0.43
contriever-768,280,99.27,44818.1,0.43
contriever-768,320,99.33,49498.9,0.44
contriever-768,360,99.34,53710.0,0.44
deep-image-96-angular,5,64.57,485.197,0.02
deep-image-96-angular,10,76.66,697.601,0.03
deep-image-96-angular,20,86.38,1085.16,0.03
deep-image-96-angular,30,90.57,1452.66,0.05
deep-image-96-angular,40,92.66,1821.81,0.06
deep-image-96-angular,50,94.17,2179.83,0.07
deep-image-96-angular,60,95.18,2530.24,0.08
deep-image-96-angular,70,95.85,2870.26,0.08
deep-image-96-angular,80,96.35,3212.33,0.08
deep-image-96-angular,90,96.75,3558.02,0.08
deep-image-96-angular,100,97.1,3891.18,0.08
deep-image-96-angular,110,97.38,4229.72,0.08
deep-image-96-angular,120,97.55,4538.82,0.08
deep-image-96-angular,130,97.78,4866.24,0.08
deep-image-96-angular,140,97.91,5179.35,0.08
deep-image-96-angular,150,98.01,5495.94,0.08
deep-image-96-angular,160,98.12,5826.31,0.08
deep-image-96-angular,170,98.18,6140.79,0.08
deep-image-96-angular,180,98.29,6464.71,0.08
deep-image-96-angular,190,98.33,6778.27,0.08
deep-image-96-angular,200,98.44,7101.91,0.08
deep-image-96-angular,240,98.59,8348.29,0.08
deep-image-96-angular,280,98.69,9606.95,0.08
deep-image-96-angular,320,98.8,10828.0,0.08
deep-image-96-angular,360,98.85,12036.0,0.08
deep-image-96-angular,400,98.92,13218.4,0.09
deep-image-96-angular,500,99.02,16162.7,0.09
deep-image-96-angular,600,99.08,19124.5,0.09
deep-image-96-angular,700,99.13,22013.1,0.09
deep-image-96-angular,800,99.14,24900.1,0.09
deep-image-96-angular,900,99.15,27729.8,0.09
deep-image-96-angular,1000,99.16,30502.0,0.09
gist-960-euclidean,5,51.8,1538.25,0.0
gist-960-euclidean,10,67.1,2351.23,0.0
gist-960-euclidean,20,80.33,3773.69,0.02
gist-960-euclidean,30,86.63,5021.64,0.04
gist-960-euclidean,40,90.03,6176.08,0.08
gist-960-euclidean,50,92.72,7222.0,0.08
gist-960-euclidean,60,94.33,8195.96,0.08
gist-960-euclidean,70,95.39,9122.17,0.08
gist-960-euclidean,80,96.26,9990.56,0.08
gist-960-euclidean,90,96.97,10817.8,0.08
gist-960-euclidean,100,97.45,11614.4,0.08
gist-960-euclidean,110,97.83,12383.0,0.08
gist-960-euclidean,120,98.14,13122.7,0.08
gist-960-euclidean,130,98.38,13835.6,0.08
gist-960-euclidean,140,98.62,14521.0,0.08
gist-960-euclidean,150,98.69,15205.0,0.08
gist-960-euclidean,160,98.92,15848.0,0.08
gist-960-euclidean,170,99.03,16494.5,0.08
gist-960-euclidean,180,99.13,17106.3,0.08
gist-960-euclidean,190,99.2,17700.3,0.09
gist-960-euclidean,200,99.26,18289.3,0.09
gist-960-euclidean,240,99.43,20505.4,0.09
gist-960-euclidean,280,99.53,22539.9,0.1
glove-200-angular,5,38.16,1779.96,0.16
glove-200-angular,10,47.41,3344.45,0.23
glove-200-angular,20,59.58,6404.94,0.32
glove-200-angular,30,67.45,9355.42,0.41
glove-200-angular,40,73.89,12220.0,0.48
glove-200-angular,50,78.76,14995.9,0.57
glove-200-angular,60,83.1,17711.8,0.66
glove-200-angular,70,86.45,20363.2,0.7
glove-200-angular,80,89.08,22862.8,0.7
glove-200-angular,90,91.39,25290.3,0.72
glove-200-angular,100,93.23,27675.3,0.73
glove-200-angular,110,94.48,29955.7,0.75
glove-200-angular,120,95.55,32135.0,0.77
glove-200-angular,130,96.53,34261.8,0.78
glove-200-angular,140,97.04,36305.1,0.78
glove-200-angular,150,97.76,38338.4,0.78
glove-200-angular,160,98.16,40316.4,0.78
glove-200-angular,170,98.42,42258.6,0.79
glove-200-angular,180,98.57,44077.2,0.8
glove-200-angular,190,98.79,45859.3,0.81
glove-200-angular,200,98.85,47518.1,0.82
glove-200-angular,240,99.05,53590.6,0.82
glove-200-angular,280,99.12,58951.9,0.83
glove-200-angular,320,99.14,63559.1,0.84
glove-200-angular,360,99.16,67502.8,0.84
glove-200-angular,400,99.16,71053.5,0.84
instructorxl-arxiv-768,5,75.97,1582.65,0.02
instructorxl-arxiv-768,10,85.65,2028.97,0.02
instructorxl-arxiv-768,20,92.25,2608.66,0.03
instructorxl-arxiv-768,30,94.67,3179.65,0.07
instructorxl-arxiv-768,40,95.79,3790.47,0.08
instructorxl-arxiv-768,50,96.92,4358.74,0.08
instructorxl-arxiv-768,60,97.57,4937.68,0.1
instructorxl-arxiv-768,70,98.02,5485.5,0.11
instructorxl-arxiv-768,80,98.28,6015.05,0.13
instructorxl-arxiv-768,90,98.54,6553.15,0.14
instructorxl-arxiv-768,100,98.72,7056.42,0.14
instructorxl-arxiv-768,110,98.92,7561.16,0.15
instructorxl-arxiv-768,120,99.01,8053.13,0.15
instructorxl-arxiv-768,130,99.1,8535.3,0.15
instructorxl-arxiv-768,140,99.16,8998.84,0.17
instructorxl-arxiv-768,150,99.22,9437.84,0.17
instructorxl-arxiv-768,160,99.31,9883.01,0.17
instructorxl-arxiv-768,170,99.35,10339.1,0.17
instructorxl-arxiv-768,180,99.45,10777.5,0.18
instructorxl-arxiv-768,190,99.53,11241.8,0.18
msong-420,5,80.72,620.885,0.1
msong-420,10,92.16,991.442,0.12
msong-420,20,97.37,1666.12,0.12
msong-420,30,98.78,2303.67,0.12
msong-420,40,99.25,2913.48,0.12
msong-420,50,99.44,3499.79,0.12
msong-420,60,99.56,4072.06,0.12
openai-1536-angular,5,74.76,1956.32,0.02
