dataset,efsearch,recall,per_query_us,pruing_rate
glove-100-angular_100k,10,49.36,55.6859,0.04674
glove-100-angular_100k,20,63.49,90.1049,0.0761169
glove-100-angular_100k,30,71.19,139.317,0.124119
glove-100-angular_100k,40,75.94,176.585,0.163911
glove-100-angular_100k,50,78.96,181.117,0.166261
glove-100-angular_100k,60,81.51,207.309,0.192316
glove-100-angular_100k,70,83.3,264.907,0.249059
glove-100-angular_100k,80,84.64,287.979,0.273776
glove-100-angular_100k,90,85.88,293.905,0.280103
glove-100-angular_100k,100,86.82,323.878,0.349873
glove-100-angular_100k,110,87.69,307.012,0.29404
glove-100-angular_100k,120,88.41,340.748,0.32506
glove-100-angular_100k,130,89.06,364.188,0.34839
glove-100-angular_100k,140,89.64,391.316,0.379275
glove-100-angular_100k,150,90.22,398.941,0.383124
glove-100-angular_100k,160,90.75,421.547,0.405691
glove-100-angular_100k,170,91.16,439.09,0.427169
glove-100-angular_100k,180,91.53,465.726,0.449768
glove-100-angular_100k,190,91.87,487.789,0.471782
glove-100-angular_100k,200,92.12,519.644,0.503501
glove-100-angular_100k,240,93.02,595.949,0.57982
glove-100-angular_100k,280,93.82,674.68,0.658491
glove-100-angular_100k,320,94.59,756.148,0.739854
glove-100-angular_100k,360,95.06,849.186,0.832787
glove-100-angular_100k,400,95.35,1041.41,1.02772
glove-100-angular_100k,500,96.08,1115.27,1.09873
glove-100-angular_100k,600,96.5,1298.5,1.28963
glove-100-angular_100k,700,96.72,1432.09,1.42349
glove-100-angular_100k,800,97.03,1624.84,1.60805
glove-100-angular_100k,900,97.17,1932.38,1.91489
glove-100-angular_100k,1000,97.36,2020.5,2.0134
glove-100-angular_100k,1100,97.55,2090.84,2.07787
glove-100-angular_100k,1200,97.68,2364.41,2.34688
glove-100-angular_100k,1300,97.82,2493.86,2.47632
glove-100-angular_100k,1400,97.87,2655.04,2.63773
glove-100-angular_100k,1500,97.91,2688.37,2.67122
glove-100-angular_100k,2000,98.19,3328.85,3.31551
glove-100-angular_100k,2500,98.36,3886.36,3.87716
glove-100-angular_100k,3000,98.45,4428.42,4.41526
glove-100-angular_100k,3500,98.55,4957.61,4.94448
glove-100-angular_100k,4000,98.61,5655.92,5.63838
glove-100-angular_100k,6000,98.77,7300.46,7.28382
glove-100-angular_100k,10000,98.86,10164.8,10.1483
glove-100-angular_100k,15000,98.99,13321.2,13.3049
glove-200-angular_100k,10,71.97,90.258,0.0606112
glove-200-angular_100k,20,81.56,124.491,0.0933407
glove-200-angular_100k,30,85.29,160.517,0.128907
glove-200-angular_100k,40,87.55,191.876,0.160078
glove-200-angular_100k,50,89.03,224.34,0.192272
glove-200-angular_100k,60,90.11,255.656,0.225811
glove-200-angular_100k,70,90.96,288.472,0.255888
glove-200-angular_100k,80,91.63,317.459,0.284808
glove-200-angular_100k,90,92.08,342.49,0.313555
glove-200-angular_100k,100,92.52,376.893,0.347799
glove-200-angular_100k,110,92.78,405.439,0.372389
glove-200-angular_100k,120,93.07,432.285,0.399208
glove-200-angular_100k,130,93.24,458.711,0.425558
glove-200-angular_100k,140,93.45,482.708,0.449529
glove-200-angular_100k,150,93.53,506.826,0.473615
glove-200-angular_100k,160,93.69,531.966,0.498749
glove-200-angular_100k,170,93.73,554.873,0.521668
glove-200-angular_100k,180,93.92,581.151,0.547796
glove-200-angular_100k,190,94.08,603.488,0.570083
glove-200-angular_100k,200,94.14,623.163,0.593668
glove-200-angular_100k,240,94.48,715.022,0.681531
glove-200-angular_100k,280,94.69,791.079,0.76156
glove-200-angular_100k,320,94.92,866.242,0.840558
glove-200-angular_100k,360,95.07,944.721,0.911195
glove-200-angular_100k,400,95.26,1016.06,0.982374
glove-200-angular_100k,500,95.5,1187.13,1.15309
glove-200-angular_100k,600,95.71,1329.17,1.29929
glove-200-angular_100k,700,95.76,1465.97,1.43596
glove-200-angular_100k,800,95.8,1603.16,1.573
glove-200-angular_100k,900,95.86,1740.65,1.70633
glove-200-angular_100k,1000,95.89,1850.34,1.81607
glove-200-angular_100k,1100,95.94,1965.59,1.93496
glove-200-angular_100k,1200,95.95,2063.0,2.03654
glove-200-angular_100k,1300,95.97,2174.43,2.13987
glove-200-angular_100k,1400,95.99,2279.44,2.24478
glove-200-angular_100k,1500,95.99,2365.57,2.33109
glove-200-angular_10k,10,87.7,63.7883,0.0401019
glove-200-angular_10k,20,93.13,88.2893,0.0645813
glove-200-angular_10k,30,94.98,109.604,0.0858849
glove-200-angular_10k,40,95.62,128.567,0.104783
glove-200-angular_10k,50,96.05,145.814,0.121987
glove-200-angular_10k,60,96.47,161.741,0.137881
glove-200-angular_10k,70,96.7,176.625,0.152698
glove-200-angular_10k,80,96.98,190.338,0.166377
glove-200-angular_10k,90,97.02,203.496,0.179444
glove-200-angular_10k,100,97.14,215.716,0.191656
glove-200-angular_10k,110,97.2,227.228,0.203108
glove-200-angular_10k,120,97.26,236.173,0.21449
glove-200-angular_10k,130,97.27,249.742,0.225447
glove-200-angular_10k,140,97.34,259.618,0.235297
glove-200-angular_10k,150,97.36,269.189,0.244826
glove-200-angular_10k,160,97.39,278.442,0.254034
glove-200-angular_10k,170,97.42,283.49,0.263032
glove-200-angular_10k,180,97.45,295.723,0.271241
glove-200-angular_10k,190,97.46,303.7,0.279172
glove-200-angular_10k,200,97.47,311.906,0.287349
glove-200-angular_10k,240,97.61,341.084,0.316449
glove-200-angular_10k,280,97.62,367.112,0.34238
glove-200-angular_10k,320,97.66,391.321,0.366518
glove-200-angular_10k,360,97.73,409.354,0.388456
