dataset,efsearch,recall,per_query_us,pruing_rate
glove-100-angular_100k,10,49.35,40.957,0.0323509
glove-100-angular_100k,20,63.48,60.328,0.0506457
glove-100-angular_100k,30,71.16,79.38,0.0695011
glove-100-angular_100k,40,75.95,99.227,0.0891157
glove-100-angular_100k,50,78.97,116.637,0.106403
glove-100-angular_100k,60,81.51,134.644,0.12429
glove-100-angular_100k,70,83.33,151.708,0.141196
glove-100-angular_100k,80,84.64,167.874,0.157298
glove-100-angular_100k,90,85.89,188.319,0.177531
glove-100-angular_100k,100,86.83,201.746,0.190923
glove-100-angular_100k,110,87.7,219.062,0.208137
glove-100-angular_100k,120,88.37,231.278,0.223779
glove-100-angular_100k,130,89.01,253.238,0.242092
glove-100-angular_100k,140,89.64,269.502,0.258287
glove-100-angular_100k,150,90.2,280.621,0.273302
glove-100-angular_100k,160,90.78,301.526,0.290201
glove-100-angular_100k,170,91.16,313.607,0.306196
glove-100-angular_100k,180,91.53,325.425,0.321918
glove-100-angular_100k,190,91.93,351.829,0.340328
glove-100-angular_100k,200,92.14,362.056,0.354483
glove-100-angular_100k,240,93.04,428.417,0.420669
glove-100-angular_100k,280,93.9,492.904,0.481144
glove-100-angular_100k,320,94.61,547.08,0.539259
glove-100-angular_100k,360,95.08,612.711,0.60078
glove-100-angular_100k,400,95.38,728.114,0.758886
glove-100-angular_100k,500,96.05,797.988,0.78742
glove-100-angular_100k,600,96.47,930.579,0.918539
glove-100-angular_100k,700,96.76,1059.75,1.04765
glove-100-angular_100k,800,97.03,1228.9,1.21651
glove-100-angular_100k,900,97.24,1305.3,1.30102
glove-100-angular_100k,1000,97.36,1437.46,1.42921
glove-100-angular_100k,1100,97.55,1553.97,1.54177
glove-100-angular_100k,1200,97.72,1688.46,1.67613
glove-100-angular_100k,1300,97.79,1773.08,1.76887
glove-100-angular_100k,1400,97.91,1904.06,1.89172
glove-100-angular_100k,1500,97.94,2009.03,2.00072
glove-100-angular_100k,2000,98.2,2533.0,2.52066
glove-100-angular_100k,2500,98.35,3038.49,3.02605
glove-100-angular_100k,3000,98.48,3509.03,3.49665
glove-100-angular_100k,3500,98.56,3957.6,3.94542
glove-100-angular_100k,4000,98.64,4393.56,4.38128
glove-100-angular_100k,6000,98.75,6031.1,6.02287
glove-100-angular_100k,10000,98.93,8902.72,8.89088
glove-100-angular_100k,15000,99.04,11967.1,11.9559
glove-200-angular_100k,10,71.92,60.2445,0.0392561
glove-200-angular_100k,20,81.42,83.2015,0.0618375
glove-200-angular_100k,30,85.12,107.782,0.0860058
glove-200-angular_100k,40,87.44,132.852,0.11094
glove-200-angular_100k,50,88.89,157.766,0.135259
glove-200-angular_100k,60,89.92,181.891,0.15899
glove-200-angular_100k,70,90.75,204.394,0.181229
glove-200-angular_100k,80,91.3,228.838,0.205456
glove-200-angular_100k,90,91.75,248.717,0.225418
glove-200-angular_100k,100,92.18,263.467,0.246408
glove-200-angular_100k,110,92.44,287.243,0.267511
