dataset,efsearch,recall,per_query_us,pruing_rate
glove-100-angular_100k,5,67.6,432.005,0.405432
glove-100-angular_100k,10,80.19,835.687,0.80638
glove-100-angular_100k,20,90.47,1635.42,1.59709
glove-100-angular_100k,30,94.96,2413.79,2.37016
glove-100-angular_100k,40,97.38,3148.61,3.10033
glove-100-angular_100k,50,98.6,3844.56,3.79114
glove-100-angular_100k,60,99.26,4505.34,4.44778
glove-100-angular_100k,70,99.66,5133.49,5.07395
glove-200-angular_100k,5,46.37,2006.16,1.93412
glove-200-angular_100k,10,62.91,3896.5,3.82051
glove-200-angular_100k,20,82.07,7783.59,7.74748
glove-200-angular_100k,30,93.06,11228.2,11.131
glove-200-angular_100k,40,98.68,14233.6,14.1221
glove-200-angular_100k,50,99.82,16541.3,16.4208
glove-200-angular_10k,5,66.26,974.393,0.952104
glove-200-angular_10k,10,91.36,1595.19,1.56936
glove-200-angular_10k,20,100.0,2017.68,1.99576
glove-200-angular_1k,5,91.18,167.069,0.162671
glove-200-angular_1k,10,99.99,199.61,0.191888
glove-25-angular_100k,5,80.96,49.266,0.0432379
glove-25-angular_100k,10,90.79,93.152,0.083996
glove-25-angular_100k,20,96.47,172.163,0.16518
glove-25-angular_100k,30,98.28,259.719,0.246693
glove-25-angular_100k,40,98.95,343.397,0.326598
glove-25-angular_100k,50,99.4,427.874,0.403834
glove-25-angular_100k,60,99.65,506.56,0.479586
glove-50-angular_100k,5,73.38,130.841,0.117975
glove-50-angular_100k,10,84.27,241.626,0.225881
glove-50-angular_100k,20,92.37,462.96,0.448886
glove-50-angular_100k,30,95.86,687.384,0.666449
glove-50-angular_100k,40,97.45,894.656,0.874442
glove-50-angular_100k,50,98.36,1108.29,1.07617
glove-50-angular_100k,60,98.92,1305.85,1.27428
glove-50-angular_100k,70,99.26,1498.35,1.46354
glove-50-angular_100k,80,99.46,1683.17,1.6416
glove-50-angular_100k,90,99.68,1862.92,1.81792
glove-200-angula_1000k,5,39.01,4491.1,4.67264
glove-200-angula_1000k,10,48.61,8380.43,7.9634
glove-200-angula_1000k,20,60.36,16593.9,16.1206
glove-200-angula_1000k,30,68.67,24825.0,24.3103
glove-200-angula_1000k,40,74.66,33089.4,32.5557
glove-200-angula_1000k,50,79.85,41185.4,40.6473
glove-200-angula_1000k,60,84.2,49223.3,48.6464
glove-200-angula_1000k,70,86.86,57055.7,56.455
glove-200-angula_1000k,80,88.96,64707.3,64.1063
glove-200-angula_1000k,90,91.25,72213.6,71.5735
glove-200-angula_1000k,100,92.99,79581.4,78.9262
glove-200-angula_1000k,110,94.37,86767.0,86.0989
glove-200-angula_1000k,120,95.77,93733.2,93.0393
glove-200-angula_1000k,130,96.61,100624.0,99.903
glove-200-angula_1000k,140,97.38,107283.0,106.543
glove-200-angula_1000k,150,98.11,113754.0,113.0
glove-200-angula_1000k,160,98.47,120132.0,119.363
glove-200-angula_1000k,170,98.82,126274.0,125.478
glove-200-angula_1000k,180,99.2,132301.0,131.496
glove-200-angula_1000k,190,99.4,138145.0,137.322
glove-200-angula_1000k,200,99.58,143814.0,142.962
