dataset,efsearch,recall,per_query_us,pruing_rate
glove-100-angular_100k,5,45.68,105.789,0.0186997
glove-100-angular_100k,10,56.96,122.31,0.0302454
glove-100-angular_100k,20,68.03,146.342,0.0516042
glove-100-angular_100k,30,74.7,169.942,0.072182
glove-100-angular_100k,40,78.94,191.542,0.0910186
glove-100-angular_100k,50,82.16,212.597,0.109321
glove-100-angular_100k,60,84.61,236.133,0.129019
glove-100-angular_100k,70,86.96,251.949,0.146545
glove-100-angular_100k,80,88.71,278.069,0.166059
glove-100-angular_100k,90,90.23,298.155,0.183306
glove-100-angular_100k,200,96.96,511.746,0.36806
glove-100-angular_100k,240,97.68,582.907,0.43268
glove-100-angular_100k,280,98.23,658.54,0.494603
glove-100-angular_100k,320,98.64,726.962,0.554874
glove-100-angular_100k,360,98.9,791.598,0.611036
glove-100-angular_100k,400,99.16,855.537,0.666448
glove-100-angular_100k,500,99.48,1015.44,0.80311
glove-100-angular_100k,600,99.59,1160.49,0.928487
glove-200-angular_100k,5,52.89,535.083,0.469649
glove-200-angular_100k,10,73.17,976.552,0.910805
glove-200-angular_100k,20,92.16,1762.51,1.69967
glove-200-angular_100k,30,98.29,2388.68,2.31997
glove-200-angular_100k,40,99.58,2859.32,2.79319
glove-200-angular_10k,5,38.91,202.032,0.027392
glove-200-angular_10k,10,60.1,223.448,0.047598
glove-200-angular_10k,20,82.06,257.257,0.0826364
glove-200-angular_10k,30,92.21,292.803,0.110905
glove-200-angular_10k,40,96.42,317.337,0.132553
glove-200-angular_10k,50,97.98,336.84,0.148931
glove-200-angular_10k,60,98.79,351.11,0.16068
glove-200-angular_10k,70,99.17,363.867,0.170426
glove-200-angular_10k,80,99.41,371.027,0.179007
glove-200-angular_10k,90,99.54,380.998,0.186186
glove-200-angular_10k,5,38.91,203.01,0.0275514
glove-200-angular_10k,10,60.1,224.527,0.0479189
glove-200-angular_10k,20,82.06,262.345,0.0833334
glove-200-angular_10k,30,92.21,289.894,0.111452
glove-200-angular_10k,40,96.42,318.21,0.132974
glove-200-angular_10k,50,97.98,337.205,0.148809
glove-200-angular_10k,60,98.79,353.1,0.161059
glove-200-angular_10k,70,99.17,364.646,0.170773
glove-200-angular_10k,80,99.41,371.719,0.178766
glove-200-angular_10k,90,99.54,385.603,0.186251
glove-200-angular_1k,5,91.14,76.8552,0.0307403
glove-200-angular_1k,10,99.88,87.0282,0.0365654
glove-200-angula_1000k,5,35.62,542.006,0.374497
glove-200-angula_1000k,10,44.29,790.78,0.667735
glove-200-angula_1000k,20,55.37,1377.0,1.23313
glove-200-angula_1000k,30,63.93,1919.88,1.83818
glove-200-angula_1000k,40,70.85,2485.41,2.3747
glove-200-angula_1000k,50,75.45,3056.21,2.91682
glove-200-angula_1000k,60,79.74,3620.67,3.46545
glove-200-angula_1000k,70,83.5,4127.92,3.99278
glove-200-angula_1000k,80,85.95,4676.63,4.52008
glove-200-angula_1000k,90,88.4,5209.22,5.03495
glove-200-angula_1000k,100,89.96,5724.53,5.56104
glove-200-angula_1000k,110,91.32,6268.42,6.06859
glove-200-angula_1000k,120,92.54,6793.1,6.5774
glove-200-angula_1000k,130,93.76,7284.88,7.06987
glove-200-angula_1000k,140,94.92,7803.33,7.5716
glove-200-angula_1000k,150,95.55,8305.1,8.06412
glove-200-angula_1000k,160,96.21,8797.71,8.54228
glove-200-angula_1000k,170,96.8,9259.38,9.01743
glove-200-angula_1000k,180,97.32,9748.54,9.49152
glove-200-angula_1000k,190,97.63,10223.3,9.94439
glove-200-angula_1000k,200,97.98,10686.4,10.4053
glove-200-angula_1000k,240,98.96,12478.7,12.1675
glove-200-angula_1000k,280,99.4,14126.9,13.8329
glove-200-angula_1000k,320,99.64,15693.8,15.3707
glove-25-angular_100k,5,60.05,38.9639,0.00656043
glove-25-angular_100k,10,73.51,52.2539,0.0106633
glove-25-angular_100k,20,84.49,63.7149,0.0194076
glove-25-angular_100k,30,89.62,75.4559,0.0280888
glove-25-angular_100k,40,92.44,86.8489,0.0368279
glove-25-angular_100k,50,94.26,98.6069,0.0456762
glove-25-angular_100k,60,95.35,110.45,0.0544366
glove-25-angular_100k,70,96.09,122.055,0.0632246
glove-25-angular_100k,80,96.71,133.538,0.0720233
glove-25-angular_100k,90,97.25,145.064,0.080829
glove-25-angular_100k,200,99.19,269.807,0.176746
glove-25-angular_100k,240,99.37,311.048,0.211206
glove-25-angular_100k,280,99.47,358.25,0.245259
glove-25-angular_100k,320,99.62,400.4,0.2789
glove-50-angular_100k,5,51.15,61.1719,0.0100906
glove-50-angular_100k,10,64.61,69.7789,0.016816
glove-50-angular_100k,20,76.13,88.0629,0.0314193
glove-50-angular_100k,30,81.82,99.9849,0.0436257
glove-50-angular_100k,40,85.4,118.25,0.0545686
glove-50-angular_100k,50,87.86,133.118,0.0661219
glove-50-angular_100k,60,89.67,147.767,0.0775296
glove-50-angular_100k,70,91.12,157.338,0.088211
glove-50-angular_100k,80,92.19,174.992,0.099004
glove-50-angular_100k,90,93.25,188.911,0.10994
glove-50-angular_100k,200,97.96,326.049,0.217985
glove-50-angular_100k,240,98.58,371.602,0.252834
glove-50-angular_100k,280,98.89,416.196,0.287935
glove-50-angular_100k,320,99.09,454.831,0.321426
glove-50-angular_100k,360,99.25,501.909,0.35584
glove-50-angular_100k,400,99.39,538.559,0.387658
glove-50-angular_100k,500,99.66,640.398,0.464055
