dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,10,75.64,521.162,0.389108
instructorxl-arxiv-768_1000k,20,86.12,759.998,0.622698
instructorxl-arxiv-768_1000k,30,90.58,982.267,0.851933
instructorxl-arxiv-768_1000k,40,93.18,1193.29,1.06609
instructorxl-arxiv-768_1000k,50,94.61,1408.33,1.26092
instructorxl-arxiv-768_1000k,60,95.56,1615.49,1.49033
instructorxl-arxiv-768_1000k,70,96.29,1819.35,1.68751
instructorxl-arxiv-768_1000k,80,96.9,2022.02,1.89737
instructorxl-arxiv-768_1000k,90,97.34,2226.11,2.09149
instructorxl-arxiv-768_1000k,100,97.72,2428.54,2.30476
instructorxl-arxiv-768_1000k,110,98.03,2623.62,2.49895
instructorxl-arxiv-768_1000k,120,98.17,2823.5,2.69994
instructorxl-arxiv-768_1000k,130,98.31,3012.35,2.8881
instructorxl-arxiv-768_1000k,140,98.44,3208.22,3.08554
instructorxl-arxiv-768_1000k,150,98.64,3393.88,3.27852
instructorxl-arxiv-768_1000k,160,98.74,3590.61,3.47447
instructorxl-arxiv-768_1000k,170,98.79,3779.37,3.66257
instructorxl-arxiv-768_1000k,180,98.88,3960.77,3.84361
instructorxl-arxiv-768_1000k,190,99.03,4152.27,4.03614
instructorxl-arxiv-768_1000k,200,99.06,4334.23,4.21972
instructorxl-arxiv-768_1000k,240,99.16,5054.12,4.94864
instructorxl-arxiv-768_1000k,280,99.31,5770.5,5.66398
instructorxl-arxiv-768_1000k,320,99.47,6451.36,6.35291
instructorxl-arxiv-768_1000k,360,99.49,7141.05,7.04156
instructorxl-arxiv-768_1000k,400,99.59,7807.9,7.71182
instructorxl-arxiv-768_100k,10,76.6,423.087,0.319859
instructorxl-arxiv-768_100k,20,87.74,622.707,0.518011
instructorxl-arxiv-768_100k,30,92.26,814.295,0.711594
instructorxl-arxiv-768_100k,40,94.6,999.773,0.895028
instructorxl-arxiv-768_100k,50,96.13,1180.93,1.07766
instructorxl-arxiv-768_100k,60,97.11,1361.92,1.2539
instructorxl-arxiv-768_100k,70,97.69,1531.62,1.42294
instructorxl-arxiv-768_100k,80,98.19,1699.24,1.58984
instructorxl-arxiv-768_100k,90,98.52,1863.77,1.75143
instructorxl-arxiv-768_100k,100,98.73,2025.11,1.91425
instructorxl-arxiv-768_100k,110,98.87,2182.24,2.07078
instructorxl-arxiv-768_100k,120,99.1,2337.83,2.22567
instructorxl-arxiv-768_100k,130,99.22,2490.51,2.37535
instructorxl-arxiv-768_100k,140,99.26,2644.51,2.531
instructorxl-arxiv-768_100k,150,99.31,2793.25,2.67903
instructorxl-arxiv-768_100k,160,99.38,2940.76,2.82605
instructorxl-arxiv-768_100k,170,99.42,3080.38,2.9689
instructorxl-arxiv-768_100k,180,99.49,3227.84,3.11171
instructorxl-arxiv-768_100k,190,99.51,3369.6,3.25289
instructorxl-arxiv-768_10k,10,83.96,289.716,0.241415
instructorxl-arxiv-768_10k,20,93.4,451.54,0.393732
instructorxl-arxiv-768_10k,30,96.58,593.608,0.535202
instructorxl-arxiv-768_10k,40,97.92,726.025,0.667179
instructorxl-arxiv-768_10k,50,98.7,849.751,0.790347
instructorxl-arxiv-768_10k,60,99.18,968.268,0.90833
instructorxl-arxiv-768_10k,70,99.42,1078.28,1.0214
instructorxl-arxiv-768_10k,80,99.54,1191.19,1.12996
instructorxl-arxiv-768_1k,10,92.5,192.997,0.164738
instructorxl-arxiv-768_1k,20,98.19,286.841,0.254321
instructorxl-arxiv-768_1k,30,99.46,360.675,0.327747
instructorxl-arxiv-768_1k,40,99.78,423.859,0.390421
