dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,10,74.82,282.273,0.109875
instructorxl-arxiv-768_1000k,20,85.62,331.325,0.153617
instructorxl-arxiv-768_1000k,30,90.2,376.231,0.201966
instructorxl-arxiv-768_1000k,40,92.92,416.493,0.237802
instructorxl-arxiv-768_1000k,50,94.26,452.348,0.277318
instructorxl-arxiv-768_1000k,60,95.35,492.294,0.320473
instructorxl-arxiv-768_1000k,70,96.02,527.989,0.352326
instructorxl-arxiv-768_1000k,80,96.67,562.427,0.386721
instructorxl-arxiv-768_1000k,90,97.12,596.267,0.424156
instructorxl-arxiv-768_1000k,100,97.51,632.03,0.455942
instructorxl-arxiv-768_1000k,110,97.7,665.013,0.488527
instructorxl-arxiv-768_1000k,120,97.82,694.998,0.522792
instructorxl-arxiv-768_1000k,130,98.04,731.774,0.559348
instructorxl-arxiv-768_1000k,140,98.15,763.046,0.586779
instructorxl-arxiv-768_1000k,150,98.26,791.34,0.619041
instructorxl-arxiv-768_1000k,160,98.38,824.591,0.652219
instructorxl-arxiv-768_1000k,170,98.46,854.717,0.678357
instructorxl-arxiv-768_1000k,180,98.55,877.323,0.716622
instructorxl-arxiv-768_1000k,190,98.59,913.924,0.741586
instructorxl-arxiv-768_1000k,200,98.66,940.52,0.772031
instructorxl-arxiv-768_1000k,240,98.85,1059.78,0.891354
instructorxl-arxiv-768_1000k,280,98.97,1189.23,1.01629
instructorxl-arxiv-768_1000k,320,99.09,1289.68,1.12112
instructorxl-arxiv-768_1000k,360,99.16,1401.51,1.23678
instructorxl-arxiv-768_1000k,400,99.25,1503.26,1.33475
instructorxl-arxiv-768_1000k,500,99.37,1761.87,1.59721
instructorxl-arxiv-768_1000k,600,99.42,1995.76,1.83531
instructorxl-arxiv-768_1000k,700,99.52,2223.78,2.06329
instructorxl-arxiv-768_100k,10,76.52,242.096,0.0757004
instructorxl-arxiv-768_100k,20,87.62,275.295,0.111313
instructorxl-arxiv-768_100k,30,91.8,311.213,0.142876
instructorxl-arxiv-768_100k,40,94.47,340.871,0.17212
instructorxl-arxiv-768_100k,50,95.87,368.403,0.199432
instructorxl-arxiv-768_100k,60,96.87,395.95,0.226691
instructorxl-arxiv-768_100k,70,97.47,420.427,0.251075
instructorxl-arxiv-768_100k,80,97.99,445.154,0.275687
instructorxl-arxiv-768_100k,90,98.31,467.787,0.29824
instructorxl-arxiv-768_100k,100,98.52,492.309,0.322536
instructorxl-arxiv-768_100k,110,98.72,513.81,0.344027
instructorxl-arxiv-768_100k,120,98.8,536.311,0.365495
instructorxl-arxiv-768_100k,130,98.88,559.649,0.389585
instructorxl-arxiv-768_100k,140,99.01,577.296,0.407354
instructorxl-arxiv-768_100k,150,99.07,598.452,0.428417
instructorxl-arxiv-768_100k,160,99.14,618.304,0.448221
instructorxl-arxiv-768_100k,170,99.2,639.056,0.469032
instructorxl-arxiv-768_100k,180,99.27,658.068,0.487967
instructorxl-arxiv-768_100k,190,99.3,678.226,0.508073
instructorxl-arxiv-768_100k,200,99.35,699.645,0.529315
instructorxl-arxiv-768_100k,240,99.49,765.257,0.598937
instructorxl-arxiv-768_100k,280,99.54,837.509,0.667207
instructorxl-arxiv-768_10k,10,83.89,197.054,0.0373895
instructorxl-arxiv-768_10k,20,93.18,215.224,0.0553551
instructorxl-arxiv-768_10k,30,96.88,227.484,0.0712495
instructorxl-arxiv-768_10k,40,98.15,245.168,0.0850465
instructorxl-arxiv-768_10k,50,98.68,258.023,0.097822
instructorxl-arxiv-768_10k,60,99.15,270.062,0.109762
instructorxl-arxiv-768_10k,70,99.38,281.403,0.121049
instructorxl-arxiv-768_10k,80,99.53,287.997,0.131463
instructorxl-arxiv-768_1k,10,93.07,176.309,0.0200958
instructorxl-arxiv-768_1k,20,98.23,186.257,0.0299413
instructorxl-arxiv-768_1k,30,99.42,193.889,0.0375799
instructorxl-arxiv-768_1k,40,99.72,196.364,0.0439571
