dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,5,81.03,2548.87,1.33029
instructorxl-arxiv-768_1000k,10,89.69,3436.22,2.22364
instructorxl-arxiv-768_1000k,20,94.89,4944.19,3.72268
instructorxl-arxiv-768_1000k,30,96.93,6297.77,5.06885
instructorxl-arxiv-768_1000k,40,97.92,7565.11,6.34507
instructorxl-arxiv-768_1000k,50,98.52,8755.33,7.52638
instructorxl-arxiv-768_1000k,60,98.8,9907.66,8.6595
instructorxl-arxiv-768_1000k,70,99.09,10996.4,9.74702
instructorxl-arxiv-768_1000k,80,99.28,12089.0,10.8155
instructorxl-arxiv-768_1000k,90,99.46,13113.7,11.8503
instructorxl-arxiv-768_1000k,200,99.93,23019.9,21.6345
instructorxl-arxiv-768_100k,5,82.37,1077.88,0.54222
instructorxl-arxiv-768_100k,10,91.66,1438.53,0.899848
instructorxl-arxiv-768_100k,20,96.85,2013.7,1.46987
instructorxl-arxiv-768_100k,30,98.43,2536.76,1.98869
instructorxl-arxiv-768_100k,40,99.18,2956.8,2.40561
instructorxl-arxiv-768_100k,50,99.51,3363.09,2.80379
instructorxl-arxiv-768_10k,5,85.84,504.307,0.184649
instructorxl-arxiv-768_10k,10,94.87,603.954,0.283219
instructorxl-arxiv-768_10k,20,98.82,755.339,0.432667
instructorxl-arxiv-768_10k,30,99.6,871.375,0.551387
instructorxl-arxiv-768_1k,5,89.54,313.593,0.066941
instructorxl-arxiv-768_1k,10,97.63,348.783,0.0977045
instructorxl-arxiv-768_1k,20,99.82,391.335,0.139708
