dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,5,81.53,962.103,0.690837
instructorxl-arxiv-768_1000k,10,89.48,1457.0,1.17602
instructorxl-arxiv-768_1000k,20,95.04,2297.19,2.02596
instructorxl-arxiv-768_1000k,30,96.9,3067.87,2.78349
instructorxl-arxiv-768_1000k,40,97.89,3767.4,3.47643
instructorxl-arxiv-768_1000k,50,98.29,4417.17,4.12002
instructorxl-arxiv-768_1000k,60,98.7,5045.88,4.74137
instructorxl-arxiv-768_1000k,70,98.96,5620.42,5.30759
instructorxl-arxiv-768_1000k,80,99.19,6164.27,5.82494
instructorxl-arxiv-768_1000k,90,99.32,6709.16,6.32008
instructorxl-arxiv-768_1000k,200,99.68,11691.4,11.101
instructorxl-arxiv-768_100k,5,81.3,419.887,0.225265
instructorxl-arxiv-768_100k,10,90.37,569.904,0.37213
instructorxl-arxiv-768_100k,20,96.24,810.484,0.609362
instructorxl-arxiv-768_100k,30,98.1,1016.34,0.8101
instructorxl-arxiv-768_100k,40,98.84,1202.55,0.995538
instructorxl-arxiv-768_100k,50,99.34,1359.34,1.14917
instructorxl-arxiv-768_100k,60,99.5,1517.05,1.30631
instructorxl-arxiv-768_10k,5,85.09,235.595,0.0684236
instructorxl-arxiv-768_10k,10,94.31,273.061,0.103973
instructorxl-arxiv-768_10k,20,98.66,325.268,0.157985
instructorxl-arxiv-768_10k,30,99.67,372.649,0.199778
instructorxl-arxiv-768_1k,5,89.61,175.829,0.0197293
instructorxl-arxiv-768_1k,10,97.73,186.41,0.0296664
instructorxl-arxiv-768_1k,20,99.93,196.732,0.0433848
