dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
contriever-768,1990,2,7,1.0,0,0,6103,43,0.0215411,0.0009575,0.003637,0.0,1.0004121,6.379955478,0.7100699543952942,0.03182053565979,0,0,0.0
contriever-768,1990,4,7,1.0,0,0,17171,227,0.01148,0.0012317,0.0027071,0.0,1.0005835,10.759381216,0.8172000050544739,0.01615309715271,0,0,0.0
contriever-768,1990,6,7,1.0,0,0,30661,386,0.0078365,0.0014316,0.0019569,0.0,1.0006953,14.697803637,0.8610499501228333,0.0107513666152954,0,0,0.0
contriever-768,1990,8,7,1.0,0,0,45851,727,0.0059681,0.0015782,0.0017741,0.0,1.0007857,20.317240605,0.8854900002479553,0.0081510543823242,0,0,0.0
contriever-768,1990,10,7,1.0,0,0,62279,1061,0.0048267,0.0016939,0.001607,0.0,1.0008578,24.422831926,0.9027499556541444,0.0064815282821655,0,0,0.0
contriever-768,1990,12,7,1.0,0,0,80396,1423,0.0040493,0.0018012,0.0015138,0.0,1.0009251,26.141216542,0.9145399928092957,0.0054309368133545,0,0,0.0
contriever-768,1990,14,7,1.0,0,0,98272,1801,0.0034901,0.001878,0.0014185,0.0,1.0009719,29.882122765,0.923289954662323,0.0046472549438477,0,0,0.0
contriever-768,1990,16,7,1.0,0,0,117135,2269,0.0030666,0.0019495,0.0013762,0.0,1.001016,36.160064593,0.930579960346222,0.0040720701217651,0,0,0.0
contriever-768,1990,18,7,1.0,0,0,135631,2811,0.0027374,0.0020024,0.0013335,0.0,1.001049,38.161082778,0.9367899894714355,0.0036038160324097,0,0,0.0
contriever-768,1990,20,7,1.0,0,0,154764,3395,0.0024716,0.0020537,0.0013041,0.0,1.0010803,41.61799929,0.9412699937820436,0.003268837928772,0,0,0.0
contriever-768,1990,22,7,1.0,0,0,173277,3878,0.0022539,0.0020882,0.0012596,0.0,1.0011017,45.606791738000005,0.9454599618911744,0.0029580593109131,0,0,0.0
contriever-768,1990,24,7,1.0,0,0,191608,4456,0.0020722,0.0021168,0.0012258,0.0,1.0011195,49.735516110000006,0.9490999579429626,0.0027066469192505,0,0,0.0
contriever-768,1990,26,7,1.0,0,0,210393,5154,0.0019164,0.0021439,0.0012036,0.0,1.0011369,53.641201354,0.9521299600601196,0.0024969577789307,0,0,0.0
contriever-768,1990,28,7,1.0,0,0,228236,5825,0.0017828,0.0021621,0.001172,0.0,1.0011475,57.482222534,0.954509973526001,0.0023236274719238,0,0,0.0
contriever-768,1990,32,7,1.0,0,0,263721,7135,0.0015661,0.0021892,0.0011156,0.0,1.0011646,67.295063242,0.9590399861335754,0.0019711256027222,0,0,0.0
contriever-768,1990,40,7,1.0,0,0,331015,10172,0.0012612,0.0022086,0.0010292,0.0,1.0011785,79.531196805,0.9657799601554872,0.0015465021133423,0,0,0.0
contriever-768,1990,48,7,1.0,0,0,391976,13300,0.0010572,0.0021933,0.0009531,0.0,1.0011714,92.908881573,0.9708199501037598,0.001233696937561,0,0,0.0
contriever-768,1990,56,7,1.0,0,0,448720,16837,0.0009103,0.002165,0.0008977,0.0,1.001157,107.641459259,0.9743499755859376,0.0010248422622681,0,0,0.0
contriever-768,1990,64,7,1.0,0,0,501162,20188,0.0007999,0.0021277,0.0008431,0.0,1.0011375,127.118875375,0.9770999550819396,0.0008739233016968,0,0,0.0
contriever-768,1990,80,7,1.0,0,0,598533,27253,0.000644,0.0020556,0.0007613,0.0,1.0010978,153.118304364,0.9807199835777284,0.0006821155548096,0,0,0.0
contriever-768,1990,96,7,1.0,0,0,693034,34714,0.0005391,0.0019979,0.000712,0.0,1.0010678,182.182902536,0.9835799932479858,0.0005438327789307,0,0,0.0
contriever-768,1990,112,7,1.0,0,0,787629,42305,0.0004636,0.0019548,0.0006756,0.0,1.0010465,214.750449839,0.9855499863624572,0.0004605054855347,0,0,0.0
contriever-768,1990,128,7,1.0,0,0,882400,49972,0.0004066,0.0019215,0.0006507,0.0,1.0010306,243.220930054,0.9871399998664856,0.0003905296325684,0,0,0.0
contriever-768,1990,144,7,1.0,0,0,977298,57982,0.0003622,0.0018948,0.0006317,0.0,1.0010188,269.08226000900004,0.9884099960327148,0.0003368854522705,0,0,0.0
contriever-768,1990,160,7,1.0,0,0,1072859,66152,0.0003264,0.0018745,0.0006179,0.0,1.0010098,295.39785953,0.989329993724823,0.0003030300140381,0,0,0.0
deep-image-96-angular,12643,2,7,1.0,33338,13985,181363,197885,0.0245092,0.0124933,0.031966,0.0,1.0242509,2.865808615,0.4860399961471558,0.0793812274932861,0,0,0.0
deep-image-96-angular,12643,4,7,1.0,163990,33716,429631,641337,0.0134763,0.0147247,0.0270378,0.0,1.0365717,3.737915269,0.6334699988365173,0.0467410087585449,0,0,0.0
deep-image-96-angular,12643,6,7,1.0,325168,46488,709342,1196249,0.0093759,0.0163866,0.026272,0.0,1.0441856,4.4233276340000005,0.712689995765686,0.0334155559539795,0,0,0.0
deep-image-96-angular,12643,8,7,1.0,514450,56224,1019042,1842562,0.0072241,0.0179965,0.0267472,0.0,1.0503525,5.240367888000001,0.7645999789237976,0.0257163047790527,0,0,0.0
deep-image-96-angular,12643,10,7,1.0,727984,64642,1346675,2539252,0.0058967,0.0192574,0.0273335,0.0,1.0553608,6.12692187,0.8007000088691711,0.0210283994674683,0,0,0.0
deep-image-96-angular,12643,12,7,1.0,987348,70109,1689647,3283989,0.0049889,0.0204151,0.0280998,0.0,1.0598795,7.059059723000001,0.8275299668312073,0.0177023410797119,0,0,0.0
