dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
contriever-768,1990,2,3,1.0,0,0,6105,0,0.021541,0.0009596,0.0,0.0,1.0004094,6.8279687220000005,0.7100699543952942,0.03182053565979,0,0,0.0
contriever-768,1990,4,3,1.0,0,0,17173,0,0.0114799,0.0012375,0.0,0.0,1.0005759,9.624765461,0.8172000050544739,0.01615309715271,0,0,0.0
contriever-768,1990,6,3,1.0,0,0,30664,0,0.0078365,0.0014386,0.0,0.0,1.0006868,13.004813285,0.8610499501228333,0.0107513666152954,0,0,0.0
contriever-768,1990,8,3,1.0,0,0,45854,0,0.0059681,0.0015881,0.0,0.0,1.0007735,16.451658542,0.8854900002479553,0.0081510543823242,0,0,0.0
contriever-768,1990,10,3,1.0,0,0,62282,0,0.0048266,0.0017057,0.0,0.0,1.0008435,21.671833046,0.9027499556541444,0.0064815282821655,0,0,0.0
contriever-768,1990,12,3,1.0,0,0,80400,0,0.0040492,0.0018148,0.0,0.0,1.000909,23.502924221,0.9145399928092957,0.0054309368133545,0,0,0.0
contriever-768,1990,14,3,1.0,0,0,98289,0,0.0034901,0.0018928,0.0,0.0,1.0009545,26.381053735,0.923289954662323,0.0046472549438477,0,0,0.0
contriever-768,1990,16,3,1.0,0,0,117160,0,0.0030666,0.001966,0.0,0.0,1.0009969,29.823140898,0.930579960346222,0.0040720701217651,0,0,0.0
contriever-768,1990,18,3,1.0,0,0,135696,0,0.0027374,0.0020207,0.0,0.0,1.0010283,33.739782177,0.9367899894714355,0.0036038160324097,0,0,0.0
contriever-768,1990,20,3,1.0,0,0,154839,0,0.0024716,0.0020739,0.0,0.0,1.0010575,37.206819093,0.9412699937820436,0.003268837928772,0,0,0.0
contriever-768,1990,22,3,1.0,0,0,173362,0,0.0022538,0.0021093,0.0,0.0,1.0010781,40.757122622,0.9454599618911744,0.0029580593109131,0,0,0.0
