dataset,k,ef,tri_ef,time,min_time,recall
contriever-768,10,10,9,0.1140472000000000,0.0997350000000000,0.9749900102615356
contriever-768,10,10,8,0.1007958000000000,0.0995070000000000,0.9750099778175354
contriever-768,10,10,7,0.1002918000000000,0.0998730000000000,0.9750099778175354
contriever-768,10,10,6,0.1052868000000000,0.1019790000000000,0.9750499725341797
contriever-768,10,10,5,0.1033322000000000,0.1029100000000000,0.9750400185585022
contriever-768,10,10,4,0.1034918000000000,0.1029610000000000,0.9750199913978577
contriever-768,10,10,3,0.1070108000000000,0.1029360000000000,0.9750199913978577
contriever-768,10,10,2,0.1040052000000000,0.0999670000000000,0.9750099778175354
contriever-768,10,10,1,0.1099106000000000,0.1054720000000000,0.9750199913978577
contriever-768,10,10,0,0.1062620000000000,0.1000770000000000,0.9749900102615356
contriever-768,10,11,10,0.1242676000000000,0.1192330000000000,0.9768599867820740
contriever-768,10,11,9,0.1233070000000000,0.1168070000000000,0.9768599867820740
contriever-768,10,11,8,0.1241938000000000,0.1194180000000000,0.9768599867820740
contriever-768,10,11,7,0.1212614000000000,0.1172640000000000,0.9768800139427185
contriever-768,10,11,6,0.1206166000000000,0.1173680000000000,0.9768999814987183
contriever-768,10,11,5,0.1205906000000000,0.1188780000000000,0.9768900275230408
contriever-768,10,11,4,0.1249968000000000,0.1218680000000000,0.9768800139427185
contriever-768,10,11,3,0.1333722000000000,0.1260490000000000,0.9769099950790405
contriever-768,10,11,2,0.1343540000000000,0.1277950000000000,0.9769099950790405
contriever-768,10,11,1,0.1380128000000000,0.1367790000000000,0.9769099950790405
contriever-768,10,11,0,0.1285732000000000,0.1224530000000000,0.9768599867820740
contriever-768,10,12,11,0.1392948000000000,0.1373680000000000,0.9786900281906128
contriever-768,10,12,10,0.1369224000000000,0.1275040000000000,0.9786900281906128
contriever-768,10,12,9,0.1478952000000000,0.1452400000000000,0.9786900281906128
contriever-768,10,12,8,0.1491202000000000,0.1473320000000000,0.9786900281906128
contriever-768,10,12,7,0.1466532000000000,0.1438110000000000,0.9786900281906128
contriever-768,10,12,6,0.1409148000000000,0.1372520000000000,0.9786999821662903
contriever-768,10,12,5,0.1382380000000000,0.1340240000000000,0.9786900281906128
contriever-768,10,12,4,0.1381460000000000,0.1346000000000000,0.9786800146102905
contriever-768,10,12,3,0.1325316000000000,0.1263850000000000,0.9786800146102905
contriever-768,10,12,2,0.1352152000000000,0.1329600000000000,0.9786400198936462
contriever-768,10,12,1,0.1290316000000000,0.1261580000000000,0.9786199927330017
contriever-768,10,12,0,0.1222474000000000,0.1197220000000000,0.9786900281906128
contriever-768,10,13,12,0.1367606000000000,0.1322230000000000,0.9798700213432312
contriever-768,10,13,11,0.1366528000000000,0.1333080000000000,0.9798899888992310
contriever-768,10,13,10,0.1382324000000000,0.1351170000000000,0.9799000024795532
contriever-768,10,13,9,0.1342200000000000,0.1320010000000000,0.9799100160598755
contriever-768,10,13,8,0.1356314000000000,0.1316770000000000,0.9799200296401978
contriever-768,10,13,7,0.1362800000000000,0.1301430000000000,0.9799200296401978
contriever-768,10,13,6,0.1343018000000000,0.1303560000000000,0.9799299836158752
contriever-768,10,13,5,0.1341004000000000,0.1304840000000000,0.9799000024795532
contriever-768,10,13,4,0.1375340000000000,0.1319830000000000,0.9798899888992310
contriever-768,10,13,3,0.1359164000000000,0.1317110000000000,0.9798899888992310
contriever-768,10,13,2,0.1422098000000000,0.1374770000000000,0.9798799753189087
contriever-768,10,13,1,0.1363848000000000,0.1297490000000000,0.9798700213432312
contriever-768,10,13,0,0.1413628000000000,0.1300140000000000,0.9798700213432312
contriever-768,10,14,13,0.1419972000000000,0.1403880000000000,0.9808700084686279
contriever-768,10,14,12,0.1448320000000000,0.1403880000000000,0.9808800220489502
contriever-768,10,14,11,0.1413310000000000,0.1385300000000000,0.9808899760246277
contriever-768,10,14,10,0.1427190000000000,0.1380590000000000,0.9808899760246277
contriever-768,10,14,9,0.1426248000000000,0.1393910000000000,0.9808899760246277
contriever-768,10,14,8,0.1420630000000000,0.1371060000000000,0.9808899760246277
contriever-768,10,14,7,0.1513774000000000,0.1414120000000000,0.9808999896049500
contriever-768,10,14,6,0.1540874000000000,0.1498030000000000,0.9808999896049500
contriever-768,10,14,5,0.1421496000000000,0.1371840000000000,0.9808700084686279
contriever-768,10,14,4,0.1469504000000000,0.1445330000000000,0.9808599948883057
contriever-768,10,14,3,0.1405260000000000,0.1368700000000000,0.9808599948883057
contriever-768,10,14,2,0.1431548000000000,0.1362140000000000,0.9808499813079834
contriever-768,10,14,1,0.1444614000000000,0.1397660000000000,0.9808400273323059
contriever-768,10,14,0,0.1434658000000000,0.1407560000000000,0.9808700084686279
contriever-768,10,15,14,0.1540386000000000,0.1506250000000000,0.9818999767303467
contriever-768,10,15,13,0.1549398000000000,0.1501190000000000,0.9818900227546692
contriever-768,10,15,12,0.1584242000000000,0.1517150000000000,0.9818900227546692
contriever-768,10,15,11,0.1628704000000000,0.1592040000000000,0.9818999767303467
contriever-768,10,15,10,0.1617874000000000,0.1536660000000000,0.9818999767303467
contriever-768,10,15,9,0.1608688000000000,0.1563700000000000,0.9818999767303467
contriever-768,10,15,8,0.1532510000000000,0.1487470000000000,0.9819200038909912
contriever-768,10,15,7,0.1526958000000000,0.1487330000000000,0.9819200038909912
contriever-768,10,15,6,0.1532926000000000,0.1515660000000000,0.9819200038909912
contriever-768,10,15,5,0.1534366000000000,0.1506950000000000,0.9818999767303467
contriever-768,10,15,4,0.1519536000000000,0.1501360000000000,0.9818999767303467
contriever-768,10,15,3,0.1477198000000000,0.1438890000000000,0.9818900227546692
contriever-768,10,15,2,0.1544244000000000,0.1431150000000000,0.9818900227546692
contriever-768,10,15,1,0.1547896000000000,0.1476670000000000,0.9819200038909912
contriever-768,10,15,0,0.1486048000000000,0.1457110000000000,0.9818999767303467
contriever-768,10,16,15,0.1590630000000000,0.1470940000000000,0.9829099774360657
contriever-768,10,16,14,0.1614580000000000,0.1559120000000000,0.9829099774360657
contriever-768,10,16,13,0.1615932000000000,0.1575070000000000,0.9829000234603882
contriever-768,10,16,12,0.1585978000000000,0.1549140000000000,0.9829000234603882
contriever-768,10,16,11,0.1635036000000000,0.1588800000000000,0.9829000234603882
contriever-768,10,16,10,0.1583732000000000,0.1539150000000000,0.9829000234603882
contriever-768,10,16,9,0.1596376000000000,0.1518270000000000,0.9829000234603882
contriever-768,10,16,8,0.1653556000000000,0.1566500000000000,0.9829099774360657
contriever-768,10,16,7,0.1599092000000000,0.1548820000000000,0.9829099774360657
contriever-768,10,16,6,0.1660166000000000,0.1626750000000000,0.9829400181770325
contriever-768,10,16,5,0.1583168000000000,0.1541730000000000,0.9829099774360657
contriever-768,10,16,4,0.1630122000000000,0.1539570000000000,0.9829199910163879
contriever-768,10,16,3,0.1626388000000000,0.1564760000000000,0.9829199910163879
contriever-768,10,16,2,0.1563434000000000,0.1540780000000000,0.9829300045967102
contriever-768,10,16,1,0.1638518000000000,0.1571380000000000,0.9829099774360657
contriever-768,10,16,0,0.1542250000000000,0.1448730000000000,0.9829099774360657
contriever-768,10,17,16,0.1665652000000000,0.1573270000000000,0.9835500121116638
contriever-768,10,17,15,0.1640618000000000,0.1589050000000000,0.9835500121116638
contriever-768,10,17,14,0.1666126000000000,0.1607820000000000,0.9835500121116638
contriever-768,10,17,13,0.1704098000000000,0.1575970000000000,0.9835500121116638
contriever-768,10,17,12,0.1635606000000000,0.1574490000000000,0.9835500121116638
contriever-768,10,17,11,0.1652616000000000,0.1586160000000000,0.9835600256919861
contriever-768,10,17,10,0.1617726000000000,0.1552250000000000,0.9835600256919861
contriever-768,10,17,9,0.1606358000000000,0.1575230000000000,0.9835699796676636
contriever-768,10,17,8,0.1658256000000000,0.1593270000000000,0.9835699796676636
contriever-768,10,17,7,0.1664278000000000,0.1620760000000000,0.9835799932479858
contriever-768,10,17,6,0.1662730000000000,0.1574260000000000,0.9835900068283081
contriever-768,10,17,5,0.1622472000000000,0.1545380000000000,0.9835500121116638
contriever-768,10,17,4,0.1668722000000000,0.1637990000000000,0.9835500121116638
contriever-768,10,17,3,0.1749034000000000,0.1698250000000000,0.9835399985313416
contriever-768,10,17,2,0.1720332000000000,0.1675400000000000,0.9835600256919861
contriever-768,10,17,1,0.1727670000000000,0.1687550000000000,0.9835399985313416
contriever-768,10,17,0,0.1673550000000000,0.1658890000000000,0.9835500121116638
contriever-768,10,18,17,0.1718552000000000,0.1686970000000000,0.9842799901962280
contriever-768,10,18,16,0.1745742000000000,0.1695660000000000,0.9842799901962280
contriever-768,10,18,15,0.1756294000000000,0.1692460000000000,0.9842799901962280
contriever-768,10,18,14,0.1741954000000000,0.1716750000000000,0.9842799901962280
