dataset,k,ef,tri_ef,time,min_time,recall
deep-image-96-angular,10,10,9,0.0758364000000000,0.0292980000000000,0.9974200129508972
deep-image-96-angular,10,10,8,0.0285922000000000,0.0283130000000000,0.9974200129508972
deep-image-96-angular,10,10,7,0.0285188000000000,0.0282770000000000,0.9974200129508972
deep-image-96-angular,10,10,6,0.0319108000000000,0.0291990000000000,0.9974200129508972
deep-image-96-angular,10,10,5,0.0285778000000000,0.0282100000000000,0.9974200129508972
deep-image-96-angular,10,10,4,0.0332866000000000,0.0292730000000000,0.9974200129508972
deep-image-96-angular,10,10,3,0.0283398000000000,0.0281990000000000,0.9974200129508972
deep-image-96-angular,10,10,2,0.0284336000000000,0.0282850000000000,0.9974200129508972
deep-image-96-angular,10,10,1,0.0283216000000000,0.0282440000000000,0.9974200129508972
deep-image-96-angular,10,10,0,0.0258090000000000,0.0254430000000000,0.9974200129508972
deep-image-96-angular,10,11,10,0.0303282000000000,0.0298310000000000,0.9978500008583069
deep-image-96-angular,10,11,9,0.0403866000000000,0.0302500000000000,0.9978500008583069
deep-image-96-angular,10,11,8,0.0361268000000000,0.0300070000000000,0.9978500008583069
deep-image-96-angular,10,11,7,0.0357476000000000,0.0298170000000000,0.9978500008583069
deep-image-96-angular,10,11,6,0.0306964000000000,0.0303400000000000,0.9978500008583069
deep-image-96-angular,10,11,5,0.0395544000000000,0.0314790000000000,0.9978500008583069
deep-image-96-angular,10,11,4,0.0393498000000000,0.0338490000000000,0.9978500008583069
deep-image-96-angular,10,11,3,0.0358722000000000,0.0301140000000000,0.9978500008583069
deep-image-96-angular,10,11,2,0.0308396000000000,0.0303970000000000,0.9978500008583069
deep-image-96-angular,10,11,1,0.0307972000000000,0.0303820000000000,0.9978500008583069
deep-image-96-angular,10,11,0,0.0274712000000000,0.0273540000000000,0.9978500008583069
deep-image-96-angular,10,12,11,0.0327194000000000,0.0320700000000000,0.9981300234794617
deep-image-96-angular,10,12,10,0.0324314000000000,0.0321430000000000,0.9981300234794617
deep-image-96-angular,10,12,9,0.0325158000000000,0.0320900000000000,0.9981300234794617
deep-image-96-angular,10,12,8,0.0321226000000000,0.0319530000000000,0.9981300234794617
deep-image-96-angular,10,12,7,0.0320360000000000,0.0319380000000000,0.9981300234794617
deep-image-96-angular,10,12,6,0.0319996000000000,0.0318540000000000,0.9981300234794617
