dataset,k,ef,tri_ef,time,min_time,recall
fashion-mnist-784-euclidean,10,10,9,0.0481438000000000,0.0439670000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,8,0.0454440000000000,0.0452010000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,7,0.0453522000000000,0.0452330000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,6,0.0454212000000000,0.0452130000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,5,0.0461622000000000,0.0447780000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,4,0.0454364000000000,0.0451650000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,3,0.0454784000000000,0.0452450000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,2,0.0519130000000000,0.0451760000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,1,0.0498266000000000,0.0445230000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,10,0,0.0441330000000000,0.0440440000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,10,0.0482670000000000,0.0479520000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,9,0.0577430000000000,0.0538180000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,8,0.0535102000000000,0.0483380000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,7,0.0489582000000000,0.0486420000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,6,0.0486368000000000,0.0485390000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,5,0.0487130000000000,0.0485230000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,4,0.0486558000000000,0.0485520000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,3,0.0486926000000000,0.0486120000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,2,0.0486608000000000,0.0485780000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,1,0.0486886000000000,0.0485510000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,11,0,0.0472058000000000,0.0470260000000000,0.9998900294303894
fashion-mnist-784-euclidean,10,12,11,0.0524310000000000,0.0510460000000000,0.9998900294303894
