dataset,k,ef,tri_ef,time,min_time,recall
gist-960-euclidean,10,10,9,0.0290552000000000,0.0182070000000000,0.9934999942779541
gist-960-euclidean,10,10,8,0.0185416000000000,0.0181560000000000,0.9934999942779541
gist-960-euclidean,10,10,7,0.0181968000000000,0.0181380000000000,0.9934999942779541
gist-960-euclidean,10,10,6,0.0184032000000000,0.0181480000000000,0.9934999942779541
gist-960-euclidean,10,10,5,0.0181920000000000,0.0180930000000000,0.9933999776840210
gist-960-euclidean,10,10,4,0.0180756000000000,0.0180300000000000,0.9933999776840210
gist-960-euclidean,10,10,3,0.0193868000000000,0.0180740000000000,0.9933999776840210
gist-960-euclidean,10,10,2,0.0217720000000000,0.0179860000000000,0.9933999776840210
gist-960-euclidean,10,10,1,0.0180402000000000,0.0179520000000000,0.9933000206947327
gist-960-euclidean,10,10,0,0.0204958000000000,0.0179150000000000,0.9934999942779541
gist-960-euclidean,10,11,10,0.0226760000000000,0.0201300000000000,0.9940999746322632
gist-960-euclidean,10,11,9,0.0198296000000000,0.0192880000000000,0.9940999746322632
gist-960-euclidean,10,11,8,0.0210632000000000,0.0193840000000000,0.9940999746322632
gist-960-euclidean,10,11,7,0.0195902000000000,0.0194440000000000,0.9940999746322632
gist-960-euclidean,10,11,6,0.0205942000000000,0.0192450000000000,0.9940999746322632
gist-960-euclidean,10,11,5,0.0193074000000000,0.0191950000000000,0.9940000176429749
gist-960-euclidean,10,11,4,0.0192992000000000,0.0191910000000000,0.9940000176429749
gist-960-euclidean,10,11,3,0.0193818000000000,0.0192860000000000,0.9940000176429749
gist-960-euclidean,10,11,2,0.0220588000000000,0.0194760000000000,0.9940000176429749
gist-960-euclidean,10,11,1,0.0194068000000000,0.0192080000000000,0.9939000010490417
gist-960-euclidean,10,11,0,0.0190382000000000,0.0189050000000000,0.9940999746322632
gist-960-euclidean,10,12,11,0.0211136000000000,0.0204650000000000,0.9945999979972839
gist-960-euclidean,10,12,10,0.0225612000000000,0.0204460000000000,0.9945999979972839
gist-960-euclidean,10,12,9,0.0205562000000000,0.0203820000000000,0.9945999979972839
gist-960-euclidean,10,12,8,0.0205092000000000,0.0204620000000000,0.9945999979972839
gist-960-euclidean,10,12,7,0.0206506000000000,0.0205150000000000,0.9945999979972839
gist-960-euclidean,10,12,6,0.0206322000000000,0.0205000000000000,0.9945999979972839
gist-960-euclidean,10,12,5,0.0206036000000000,0.0205030000000000,0.9945999979972839
gist-960-euclidean,10,12,4,0.0206178000000000,0.0205140000000000,0.9945999979972839
gist-960-euclidean,10,12,3,0.0205404000000000,0.0204500000000000,0.9945999979972839
gist-960-euclidean,10,12,2,0.0207320000000000,0.0204800000000000,0.9947000145912170
gist-960-euclidean,10,12,1,0.0205006000000000,0.0204480000000000,0.9945999979972839
gist-960-euclidean,10,12,0,0.0200402000000000,0.0200040000000000,0.9945999979972839
gist-960-euclidean,10,13,12,0.0217268000000000,0.0216020000000000,0.9948999881744385
gist-960-euclidean,10,13,11,0.0216858000000000,0.0216070000000000,0.9948999881744385
gist-960-euclidean,10,13,10,0.0216980000000000,0.0215650000000000,0.9948999881744385
gist-960-euclidean,10,13,9,0.0217142000000000,0.0216190000000000,0.9948999881744385
gist-960-euclidean,10,13,8,0.0217924000000000,0.0216760000000000,0.9948999881744385
gist-960-euclidean,10,13,7,0.0216050000000000,0.0215360000000000,0.9948999881744385
gist-960-euclidean,10,13,6,0.0216280000000000,0.0215420000000000,0.9948999881744385
gist-960-euclidean,10,13,5,0.0215456000000000,0.0214960000000000,0.9948999881744385
gist-960-euclidean,10,13,4,0.0216376000000000,0.0215600000000000,0.9948999881744385
gist-960-euclidean,10,13,3,0.0218052000000000,0.0215720000000000,0.9948999881744385
gist-960-euclidean,10,13,2,0.0218434000000000,0.0217460000000000,0.9950000047683716
gist-960-euclidean,10,13,1,0.0217060000000000,0.0216460000000000,0.9948999881744385
