dataset,k,ef,tri_ef,time,min_time,recall
glove-200-angular,10,10,9,0.0295306000000000,0.0224180000000000,0.9833599925041199
glove-200-angular,10,10,8,0.0236374000000000,0.0225590000000000,0.9833599925041199
glove-200-angular,10,10,7,0.0226022000000000,0.0223990000000000,0.9833599925041199
glove-200-angular,10,10,6,0.0226446000000000,0.0225470000000000,0.9833599925041199
glove-200-angular,10,10,5,0.0225430000000000,0.0224580000000000,0.9833599925041199
glove-200-angular,10,10,4,0.0225374000000000,0.0224440000000000,0.9833599925041199
glove-200-angular,10,10,3,0.0226570000000000,0.0224800000000000,0.9833499789237976
glove-200-angular,10,10,2,0.0224928000000000,0.0224250000000000,0.9833199977874756
glove-200-angular,10,10,1,0.0224256000000000,0.0224100000000000,0.9833400249481201
glove-200-angular,10,10,0,0.0212092000000000,0.0205200000000000,0.9833599925041199
glove-200-angular,10,11,10,0.0331118000000000,0.0259290000000000,0.9841499924659729
glove-200-angular,10,11,9,0.0236648000000000,0.0236070000000000,0.9841499924659729
glove-200-angular,10,11,8,0.0245240000000000,0.0235400000000000,0.9841499924659729
glove-200-angular,10,11,7,0.0243328000000000,0.0242610000000000,0.9841499924659729
glove-200-angular,10,11,6,0.0243086000000000,0.0242430000000000,0.9841499924659729
glove-200-angular,10,11,5,0.0258800000000000,0.0243790000000000,0.9841499924659729
glove-200-angular,10,11,4,0.0260290000000000,0.0237840000000000,0.9841499924659729
glove-200-angular,10,11,3,0.0270224000000000,0.0236100000000000,0.9841399788856506
glove-200-angular,10,11,2,0.0248594000000000,0.0241540000000000,0.9841200113296509
glove-200-angular,10,11,1,0.0247774000000000,0.0241140000000000,0.9841300249099731
glove-200-angular,10,11,0,0.0224412000000000,0.0221960000000000,0.9841499924659729
glove-200-angular,10,12,11,0.0261574000000000,0.0258870000000000,0.9849399924278259
glove-200-angular,10,12,10,0.0286814000000000,0.0258720000000000,0.9849399924278259
glove-200-angular,10,12,9,0.0344414000000000,0.0296880000000000,0.9849399924278259
glove-200-angular,10,12,8,0.0284810000000000,0.0248740000000000,0.9849399924278259
glove-200-angular,10,12,7,0.0257484000000000,0.0252450000000000,0.9849399924278259
glove-200-angular,10,12,6,0.0259060000000000,0.0257890000000000,0.9849399924278259
glove-200-angular,10,12,5,0.0261960000000000,0.0256170000000000,0.9849399924278259
glove-200-angular,10,12,4,0.0258286000000000,0.0255600000000000,0.9849399924278259
glove-200-angular,10,12,3,0.0257406000000000,0.0255480000000000,0.9849299788475037
glove-200-angular,10,12,2,0.0256004000000000,0.0255070000000000,0.9849100112915039
glove-200-angular,10,12,1,0.0257226000000000,0.0256080000000000,0.9849200248718262
glove-200-angular,10,12,0,0.0234390000000000,0.0233340000000000,0.9849399924278259
glove-200-angular,10,13,12,0.0273730000000000,0.0270390000000000,0.9856500029563904
glove-200-angular,10,13,11,0.0271572000000000,0.0270610000000000,0.9856500029563904
glove-200-angular,10,13,10,0.0271808000000000,0.0270470000000000,0.9856500029563904
glove-200-angular,10,13,9,0.0273098000000000,0.0270910000000000,0.9856500029563904
glove-200-angular,10,13,8,0.0285684000000000,0.0265470000000000,0.9856500029563904
glove-200-angular,10,13,7,0.0271508000000000,0.0269030000000000,0.9856500029563904
glove-200-angular,10,13,6,0.0281714000000000,0.0265520000000000,0.9856600165367126
glove-200-angular,10,13,5,0.0271414000000000,0.0269550000000000,0.9856600165367126
glove-200-angular,10,13,4,0.0270996000000000,0.0269360000000000,0.9856699705123901
glove-200-angular,10,13,3,0.0271744000000000,0.0269360000000000,0.9856699705123901
glove-200-angular,10,13,2,0.0273760000000000,0.0268240000000000,0.9856500029563904
glove-200-angular,10,13,1,0.0269582000000000,0.0268410000000000,0.9856500029563904
glove-200-angular,10,13,0,0.0246154000000000,0.0245310000000000,0.9856500029563904
glove-200-angular,10,14,13,0.0288184000000000,0.0285300000000000,0.9863200187683105
glove-200-angular,10,14,12,0.0322730000000000,0.0275610000000000,0.9863200187683105
glove-200-angular,10,14,11,0.0300092000000000,0.0275960000000000,0.9863200187683105
