dataset,k,ef,tri_ef,time,min_time,recall
msong-420,10,10,9,0.0087538000000000,0.0066140000000000,0.9994000196456909
msong-420,10,10,8,0.0105028000000000,0.0066350000000000,0.9994000196456909
msong-420,10,10,7,0.0068440000000000,0.0066070000000000,0.9994000196456909
msong-420,10,10,6,0.0068026000000000,0.0066260000000000,0.9994000196456909
msong-420,10,10,5,0.0067476000000000,0.0066270000000000,0.9994000196456909
msong-420,10,10,4,0.0068144000000000,0.0066490000000000,0.9994000196456909
msong-420,10,10,3,0.0071006000000000,0.0066170000000000,0.9994000196456909
msong-420,10,10,2,0.0069292000000000,0.0065970000000000,0.9994000196456909
msong-420,10,10,1,0.0067708000000000,0.0066300000000000,0.9994000196456909
msong-420,10,10,0,0.0063506000000000,0.0063170000000000,0.9994000196456909
msong-420,10,11,10,0.0070490000000000,0.0070300000000000,0.9994999766349792
msong-420,10,11,9,0.0070512000000000,0.0070010000000000,0.9994999766349792
msong-420,10,11,8,0.0070342000000000,0.0070090000000000,0.9994999766349792
msong-420,10,11,7,0.0070708000000000,0.0070050000000000,0.9994999766349792
msong-420,10,11,6,0.0075342000000000,0.0070140000000000,0.9994999766349792
msong-420,10,11,5,0.0070430000000000,0.0070260000000000,0.9994999766349792
msong-420,10,11,4,0.0074580000000000,0.0070370000000000,0.9994999766349792
msong-420,10,11,3,0.0100270000000000,0.0071070000000000,0.9994999766349792
msong-420,10,11,2,0.0138700000000000,0.0070210000000000,0.9994999766349792
msong-420,10,11,1,0.0070336000000000,0.0070140000000000,0.9994999766349792
msong-420,10,11,0,0.0067426000000000,0.0067050000000000,0.9994999766349792
msong-420,10,12,11,0.0105848000000000,0.0075440000000000,0.9998000264167786
msong-420,10,12,10,0.0075368000000000,0.0074880000000000,0.9998000264167786
msong-420,10,12,9,0.0075460000000000,0.0075300000000000,0.9998000264167786
msong-420,10,12,8,0.0085916000000000,0.0074920000000000,0.9998000264167786
msong-420,10,12,7,0.0139794000000000,0.0075310000000000,0.9998000264167786
msong-420,10,12,6,0.0176726000000000,0.0135070000000000,0.9998000264167786
msong-420,10,12,5,0.0167080000000000,0.0149630000000000,0.9998000264167786
msong-420,10,12,4,0.0160716000000000,0.0122710000000000,0.9998000264167786
msong-420,10,12,3,0.0175690000000000,0.0157770000000000,0.9998000264167786
msong-420,10,12,2,0.0177562000000000,0.0147520000000000,0.9998000264167786
msong-420,10,12,1,0.0172488000000000,0.0131600000000000,0.9998000264167786
msong-420,10,12,0,0.0189328000000000,0.0174290000000000,0.9998000264167786
msong-420,10,13,12,0.0169982000000000,0.0162930000000000,0.9998000264167786
msong-420,10,13,11,0.0174878000000000,0.0136290000000000,0.9998000264167786
msong-420,10,13,10,0.0194724000000000,0.0186460000000000,0.9998000264167786
msong-420,10,13,9,0.0193034000000000,0.0171550000000000,0.9998000264167786
msong-420,10,13,8,0.0175536000000000,0.0121400000000000,0.9998000264167786
msong-420,10,13,7,0.0177738000000000,0.0158820000000000,0.9998000264167786
msong-420,10,13,6,0.0188802000000000,0.0172090000000000,0.9998000264167786
msong-420,10,13,5,0.0185826000000000,0.0178630000000000,0.9998000264167786
msong-420,10,13,4,0.0191524000000000,0.0185170000000000,0.9998000264167786
msong-420,10,13,3,0.0141182000000000,0.0079860000000000,0.9998000264167786
msong-420,10,13,2,0.0177120000000000,0.0143470000000000,0.9998000264167786
msong-420,10,13,1,0.0189188000000000,0.0159830000000000,0.9998000264167786
msong-420,10,13,0,0.0211036000000000,0.0191870000000000,0.9998000264167786
msong-420,10,14,13,0.0205308000000000,0.0158030000000000,0.9998000264167786
msong-420,10,14,12,0.0217002000000000,0.0202860000000000,0.9998000264167786
msong-420,10,14,11,0.0218114000000000,0.0207970000000000,0.9998000264167786
msong-420,10,14,10,0.0232054000000000,0.0189600000000000,0.9998000264167786
msong-420,10,14,9,0.0220496000000000,0.0214210000000000,0.9998000264167786
msong-420,10,14,8,0.0222210000000000,0.0204550000000000,0.9998000264167786
msong-420,10,14,7,0.0234856000000000,0.0173670000000000,0.9998000264167786
msong-420,10,14,6,0.0209030000000000,0.0154040000000000,0.9998000264167786
msong-420,10,14,5,0.0213450000000000,0.0162230000000000,0.9998000264167786
msong-420,10,14,4,0.0227260000000000,0.0186270000000000,0.9998000264167786
msong-420,10,14,3,0.0209852000000000,0.0174120000000000,0.9998000264167786
msong-420,10,14,2,0.0214920000000000,0.0156960000000000,0.9998000264167786
