dataset,k,ef,tri_ef,time,min_time,recall
openai-1536-angular,10,10,9,0.0354834000000000,0.0323320000000000,0.9968000054359436
openai-1536-angular,10,10,8,0.0333432000000000,0.0323020000000000,0.9968000054359436
openai-1536-angular,10,10,7,0.0323882000000000,0.0323090000000000,0.9968000054359436
openai-1536-angular,10,10,6,0.0339848000000000,0.0323250000000000,0.9968000054359436
openai-1536-angular,10,10,5,0.0321654000000000,0.0310370000000000,0.9968000054359436
openai-1536-angular,10,10,4,0.0311072000000000,0.0310390000000000,0.9968000054359436
openai-1536-angular,10,10,3,0.0310608000000000,0.0310170000000000,0.9968000054359436
openai-1536-angular,10,10,2,0.0323318000000000,0.0310500000000000,0.9968000054359436
openai-1536-angular,10,10,1,0.0310658000000000,0.0310340000000000,0.9968000054359436
openai-1536-angular,10,10,0,0.0313198000000000,0.0305580000000000,0.9968000054359436
openai-1536-angular,10,11,10,0.0334026000000000,0.0333560000000000,0.9969999790191650
openai-1536-angular,10,11,9,0.0334392000000000,0.0333550000000000,0.9969999790191650
openai-1536-angular,10,11,8,0.0334102000000000,0.0333510000000000,0.9969999790191650
openai-1536-angular,10,11,7,0.0334080000000000,0.0333540000000000,0.9969999790191650
openai-1536-angular,10,11,6,0.0339056000000000,0.0333110000000000,0.9969999790191650
openai-1536-angular,10,11,5,0.0333700000000000,0.0333370000000000,0.9969999790191650
openai-1536-angular,10,11,4,0.0340658000000000,0.0333680000000000,0.9969999790191650
openai-1536-angular,10,11,3,0.0336988000000000,0.0333970000000000,0.9969999790191650
openai-1536-angular,10,11,2,0.0333902000000000,0.0333480000000000,0.9969999790191650
openai-1536-angular,10,11,1,0.0333628000000000,0.0333310000000000,0.9969999790191650
openai-1536-angular,10,11,0,0.0341860000000000,0.0328430000000000,0.9969999790191650
openai-1536-angular,10,12,11,0.0361470000000000,0.0350820000000000,0.9976000189781189
openai-1536-angular,10,12,10,0.0351130000000000,0.0350470000000000,0.9976000189781189
openai-1536-angular,10,12,9,0.0351032000000000,0.0350270000000000,0.9976000189781189
openai-1536-angular,10,12,8,0.0424992000000000,0.0408060000000000,0.9976000189781189
openai-1536-angular,10,12,7,0.0351756000000000,0.0350320000000000,0.9976000189781189
openai-1536-angular,10,12,6,0.0376516000000000,0.0348640000000000,0.9976000189781189
openai-1536-angular,10,12,5,0.0389232000000000,0.0357670000000000,0.9976000189781189
openai-1536-angular,10,12,4,0.0384890000000000,0.0360930000000000,0.9976000189781189
openai-1536-angular,10,12,3,0.0399470000000000,0.0398430000000000,0.9976000189781189
openai-1536-angular,10,12,2,0.0396072000000000,0.0383770000000000,0.9976000189781189
openai-1536-angular,10,12,1,0.0380554000000000,0.0350250000000000,0.9976000189781189
openai-1536-angular,10,12,0,0.0347046000000000,0.0341580000000000,0.9976000189781189
openai-1536-angular,10,13,12,0.0390528000000000,0.0370290000000000,0.9977999925613403
openai-1536-angular,10,13,11,0.0404692000000000,0.0370430000000000,0.9977999925613403
openai-1536-angular,10,13,10,0.0369680000000000,0.0368380000000000,0.9977999925613403
openai-1536-angular,10,13,9,0.0372940000000000,0.0369600000000000,0.9977999925613403
openai-1536-angular,10,13,8,0.0372644000000000,0.0369030000000000,0.9977999925613403
openai-1536-angular,10,13,7,0.0370006000000000,0.0369280000000000,0.9977999925613403
openai-1536-angular,10,13,6,0.0371224000000000,0.0369050000000000,0.9977999925613403
openai-1536-angular,10,13,5,0.0370600000000000,0.0369560000000000,0.9977999925613403
openai-1536-angular,10,13,4,0.0369120000000000,0.0366070000000000,0.9977999925613403
openai-1536-angular,10,13,3,0.0382646000000000,0.0368450000000000,0.9977999925613403
openai-1536-angular,10,13,2,0.0384906000000000,0.0366400000000000,0.9977999925613403
openai-1536-angular,10,13,1,0.0395376000000000,0.0367400000000000,0.9977999925613403
openai-1536-angular,10,13,0,0.0364130000000000,0.0363020000000000,0.9977999925613403
openai-1536-angular,10,14,13,0.0384304000000000,0.0383800000000000,0.9981999993324280
