dataset,k,ef,tri_ef,time,min_time,recall
sift-128-euclidean,10,10,9,0.0276030000000000,0.0229820000000000,0.9992799758911133
sift-128-euclidean,10,10,8,0.0232760000000000,0.0230610000000000,0.9992799758911133
sift-128-euclidean,10,10,7,0.0243772000000000,0.0229630000000000,0.9992799758911133
sift-128-euclidean,10,10,6,0.0234386000000000,0.0229990000000000,0.9993000030517578
sift-128-euclidean,10,10,5,0.0234170000000000,0.0230230000000000,0.9993000030517578
sift-128-euclidean,10,10,4,0.0232426000000000,0.0230360000000000,0.9993000030517578
sift-128-euclidean,10,10,3,0.0234664000000000,0.0230300000000000,0.9993000030517578
sift-128-euclidean,10,10,2,0.0236782000000000,0.0229590000000000,0.9993199706077576
sift-128-euclidean,10,10,1,0.0264888000000000,0.0232220000000000,0.9993299841880798
sift-128-euclidean,10,10,0,0.0230114000000000,0.0205570000000000,0.9992799758911133
sift-128-euclidean,10,11,10,0.0302082000000000,0.0245110000000000,0.9994699954986572
sift-128-euclidean,10,11,9,0.0349498000000000,0.0340350000000000,0.9994699954986572
sift-128-euclidean,10,11,8,0.0360762000000000,0.0325430000000000,0.9994699954986572
sift-128-euclidean,10,11,7,0.0343104000000000,0.0292670000000000,0.9994699954986572
sift-128-euclidean,10,11,6,0.0250110000000000,0.0246240000000000,0.9994699954986572
sift-128-euclidean,10,11,5,0.0253298000000000,0.0248650000000000,0.9994699954986572
sift-128-euclidean,10,11,4,0.0276510000000000,0.0247930000000000,0.9994699954986572
sift-128-euclidean,10,11,3,0.0253276000000000,0.0247990000000000,0.9994900226593018
sift-128-euclidean,10,11,2,0.0251974000000000,0.0250510000000000,0.9994999766349792
sift-128-euclidean,10,11,1,0.0301492000000000,0.0256040000000000,0.9995099902153015
sift-128-euclidean,10,11,0,0.0338380000000000,0.0319110000000000,0.9994699954986572
sift-128-euclidean,10,12,11,0.0263440000000000,0.0255530000000000,0.9995899796485901
sift-128-euclidean,10,12,10,0.0370364000000000,0.0318270000000000,0.9995899796485901
sift-128-euclidean,10,12,9,0.0258330000000000,0.0254510000000000,0.9995899796485901
sift-128-euclidean,10,12,8,0.0264878000000000,0.0261280000000000,0.9995899796485901
sift-128-euclidean,10,12,7,0.0260960000000000,0.0258800000000000,0.9995899796485901
sift-128-euclidean,10,12,6,0.0266246000000000,0.0260760000000000,0.9995899796485901
sift-128-euclidean,10,12,5,0.0264326000000000,0.0260510000000000,0.9995899796485901
sift-128-euclidean,10,12,4,0.0320692000000000,0.0275060000000000,0.9995899796485901
sift-128-euclidean,10,12,3,0.0386386000000000,0.0319160000000000,0.9995899796485901
sift-128-euclidean,10,12,2,0.0379994000000000,0.0330650000000000,0.9996200203895569
sift-128-euclidean,10,12,1,0.0285990000000000,0.0256480000000000,0.9996200203895569
sift-128-euclidean,10,12,0,0.0263606000000000,0.0231050000000000,0.9995899796485901
sift-128-euclidean,10,13,12,0.0295258000000000,0.0283960000000000,0.9996399879455566
sift-128-euclidean,10,13,11,0.0275006000000000,0.0269180000000000,0.9996399879455566
sift-128-euclidean,10,13,10,0.0276062000000000,0.0272300000000000,0.9996399879455566
sift-128-euclidean,10,13,9,0.0281574000000000,0.0266140000000000,0.9996399879455566
sift-128-euclidean,10,13,8,0.0276306000000000,0.0273650000000000,0.9996399879455566
sift-128-euclidean,10,13,7,0.0309198000000000,0.0273970000000000,0.9996399879455566
sift-128-euclidean,10,13,6,0.0310130000000000,0.0278200000000000,0.9996399879455566
sift-128-euclidean,10,13,5,0.0375678000000000,0.0331560000000000,0.9996399879455566
sift-128-euclidean,10,13,4,0.0399718000000000,0.0357080000000000,0.9996399879455566
sift-128-euclidean,10,13,3,0.0283272000000000,0.0269720000000000,0.9996399879455566
sift-128-euclidean,10,13,2,0.0276206000000000,0.0275920000000000,0.9996500015258789
sift-128-euclidean,10,13,1,0.0277616000000000,0.0275330000000000,0.9996500015258789
sift-128-euclidean,10,13,0,0.0315364000000000,0.0274220000000000,0.9996399879455566
sift-128-euclidean,10,14,13,0.0288762000000000,0.0284120000000000,0.9996799826622009
sift-128-euclidean,10,14,12,0.0292542000000000,0.0288040000000000,0.9996799826622009
sift-128-euclidean,10,14,11,0.0291080000000000,0.0287800000000000,0.9996899962425232
sift-128-euclidean,10,14,10,0.0301082000000000,0.0285500000000000,0.9996899962425232
sift-128-euclidean,10,14,9,0.0307598000000000,0.0285770000000000,0.9996899962425232
sift-128-euclidean,10,14,8,0.0292564000000000,0.0280940000000000,0.9996899962425232
sift-128-euclidean,10,14,7,0.0296088000000000,0.0285580000000000,0.9996899962425232
sift-128-euclidean,10,14,6,0.0329090000000000,0.0282360000000000,0.9996899962425232
sift-128-euclidean,10,14,5,0.0312168000000000,0.0284290000000000,0.9996899962425232
sift-128-euclidean,10,14,4,0.0294604000000000,0.0284710000000000,0.9996899962425232
sift-128-euclidean,10,14,3,0.0287954000000000,0.0284520000000000,0.9997000098228455
sift-128-euclidean,10,14,2,0.0292744000000000,0.0284290000000000,0.9997100234031677
sift-128-euclidean,10,14,1,0.0315884000000000,0.0279390000000000,0.9997100234031677
sift-128-euclidean,10,14,0,0.0271948000000000,0.0253330000000000,0.9996799826622009
sift-128-euclidean,10,15,14,0.0310528000000000,0.0300080000000000,0.9997799992561340
sift-128-euclidean,10,15,13,0.0383788000000000,0.0354540000000000,0.9997799992561340
sift-128-euclidean,10,15,12,0.0365988000000000,0.0328360000000000,0.9997799992561340
sift-128-euclidean,10,15,11,0.0403584000000000,0.0361130000000000,0.9997799992561340
sift-128-euclidean,10,15,10,0.0375428000000000,0.0288760000000000,0.9997799992561340
sift-128-euclidean,10,15,9,0.0313720000000000,0.0296470000000000,0.9997799992561340
sift-128-euclidean,10,15,8,0.0304540000000000,0.0298410000000000,0.9997799992561340
sift-128-euclidean,10,15,7,0.0325666000000000,0.0299850000000000,0.9997799992561340
sift-128-euclidean,10,15,6,0.0379688000000000,0.0328190000000000,0.9997799992561340
sift-128-euclidean,10,15,5,0.0313252000000000,0.0289820000000000,0.9997900128364563
sift-128-euclidean,10,15,4,0.0335288000000000,0.0297530000000000,0.9997900128364563
sift-128-euclidean,10,15,3,0.0304068000000000,0.0290640000000000,0.9997900128364563
sift-128-euclidean,10,15,2,0.0334198000000000,0.0297610000000000,0.9998099803924561
sift-128-euclidean,10,15,1,0.0315142000000000,0.0299160000000000,0.9998099803924561
sift-128-euclidean,10,15,0,0.0271488000000000,0.0268040000000000,0.9997799992561340
sift-128-euclidean,10,16,15,0.0321746000000000,0.0313560000000000,0.9998199939727783
sift-128-euclidean,10,16,14,0.0345368000000000,0.0312990000000000,0.9998199939727783
sift-128-euclidean,10,16,13,0.0316338000000000,0.0312840000000000,0.9998199939727783
