dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
contriever-768,1990,2,3,1.0000000,0,0,6105,0,0.0215410,0.0009596,0.0000000,0.0000000,1.0004094,6.9490391170000008,0.7100699543952942,0.0318205356597900,0,0,0.0000000
contriever-768,1990,4,3,1.0000000,0,0,17173,0,0.0114799,0.0012375,0.0000000,0.0000000,1.0005759,9.8517031100000008,0.8172000050544739,0.0161530971527100,0,0,0.0000000
contriever-768,1990,6,3,1.0000000,0,0,30664,0,0.0078365,0.0014386,0.0000000,0.0000000,1.0006868,13.3816317490000003,0.8610499501228333,0.0107513666152954,0,0,0.0000000
contriever-768,1990,8,3,1.0000000,0,0,45854,0,0.0059681,0.0015881,0.0000000,0.0000000,1.0007735,16.9567150540000000,0.8854900002479553,0.0081510543823242,0,0,0.0000000
contriever-768,1990,10,3,1.0000000,0,0,62282,0,0.0048266,0.0017057,0.0000000,0.0000000,1.0008435,20.1918744120000007,0.9027499556541443,0.0064815282821655,0,0,0.0000000
contriever-768,1990,12,3,1.0000000,0,0,80400,0,0.0040492,0.0018148,0.0000000,0.0000000,1.0009090,23.7887556380000014,0.9145399928092957,0.0054309368133545,0,0,0.0000000
contriever-768,1990,14,3,1.0000000,0,0,98289,0,0.0034901,0.0018928,0.0000000,0.0000000,1.0009545,28.7083306040000004,0.9232899546623230,0.0046472549438477,0,0,0.0000000
contriever-768,1990,16,3,1.0000000,0,0,117160,0,0.0030666,0.0019660,0.0000000,0.0000000,1.0009969,30.7380277150000012,0.9305799603462219,0.0040720701217651,0,0,0.0000000
contriever-768,1990,18,3,1.0000000,0,0,135696,0,0.0027374,0.0020207,0.0000000,0.0000000,1.0010283,34.3337260290000046,0.9367899894714355,0.0036038160324097,0,0,0.0000000
contriever-768,1990,20,3,1.0000000,0,0,154839,0,0.0024716,0.0020739,0.0000000,0.0000000,1.0010575,38.0471454280000003,0.9412699937820435,0.0032688379287720,0,0,0.0000000
contriever-768,1990,22,3,1.0000000,0,0,173362,0,0.0022538,0.0021093,0.0000000,0.0000000,1.0010781,43.1590189019999997,0.9454599618911743,0.0029580593109131,0,0,0.0000000
contriever-768,1990,24,3,1.0000000,0,0,191694,0,0.0020721,0.0021392,0.0000000,0.0000000,1.0010945,44.2708972369999998,0.9490999579429626,0.0027066469192505,0,0,0.0000000
contriever-768,1990,26,3,1.0000000,0,0,210486,0,0.0019163,0.0021679,0.0000000,0.0000000,1.0011102,47.6440524510000003,0.9521299600601196,0.0024969577789307,0,0,0.0000000
contriever-768,1990,28,3,1.0000000,0,0,228329,0,0.0017828,0.0021874,0.0000000,0.0000000,1.0011195,51.0469408550000026,0.9545099735260010,0.0023236274719238,0,0,0.0000000
contriever-768,1990,32,3,1.0000000,0,0,263847,0,0.0015661,0.0022165,0.0000000,0.0000000,1.0011345,57.9514535990000041,0.9590399861335754,0.0019711256027222,0,0,0.0000000
contriever-768,1990,40,3,1.0000000,0,0,331200,0,0.0012612,0.0022405,0.0000000,0.0000000,1.0011439,70.8467083140000113,0.9657799601554871,0.0015465021133423,0,0,0.0000000
contriever-768,1990,48,3,1.0000000,0,0,392213,0,0.0010572,0.0022285,0.0000000,0.0000000,1.0011334,84.3958270390000109,0.9708199501037598,0.0012336969375610,0,0,0.0000000
contriever-768,1990,56,3,1.0000000,0,0,449013,0,0.0009103,0.0022034,0.0000000,0.0000000,1.0011159,97.4871473280000060,0.9743499755859375,0.0010248422622681,0,0,0.0000000
contriever-768,1990,64,3,1.0000000,0,0,501474,0,0.0007999,0.0021682,0.0000000,0.0000000,1.0010941,114.1675910650000105,0.9770999550819397,0.0008739233016968,0,0,0.0000000
contriever-768,1990,80,3,1.0000000,0,0,598886,0,0.0006439,0.0020996,0.0000000,0.0000000,1.0010506,137.6339396420000014,0.9807199835777283,0.0006821155548096,0,0,0.0000000
contriever-768,1990,96,3,1.0000000,0,0,693410,0,0.0005391,0.0020446,0.0000000,0.0000000,1.0010173,163.3810045970000147,0.9835799932479858,0.0005438327789307,0,0,0.0000000
contriever-768,1990,112,3,1.0000000,0,0,788037,0,0.0004636,0.0020036,0.0000000,0.0000000,1.0009936,188.5195127240000090,0.9855499863624573,0.0004605054855347,0,0,0.0000000
contriever-768,1990,128,3,1.0000000,0,0,882836,0,0.0004066,0.0019719,0.0000000,0.0000000,1.0009757,215.6267862460000231,0.9871399998664856,0.0003905296325684,0,0,0.0000000
contriever-768,1990,144,3,1.0000000,0,0,977766,0,0.0003622,0.0019468,0.0000000,0.0000000,1.0009621,244.1720385760000056,0.9884099960327148,0.0003368854522705,0,0,0.0000000
contriever-768,1990,160,3,1.0000000,0,0,1073356,0,0.0003264,0.0019278,0.0000000,0.0000000,1.0009516,270.9427393999999936,0.9893299937248230,0.0003030300140381,0,0,0.0000000
