dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
deep-image-96-angular,12643,2,3,1.0000000,33338,13985,245970,0,0.0243248,0.0165541,0.0000000,0.0000000,1.0165485,2.3246319030000002,0.4860399961471558,0.0793812274932861,0,0,0.0000000
deep-image-96-angular,12643,4,3,1.0000000,163990,33716,619391,0,0.0133031,0.0212622,0.0000000,0.0000000,1.0232515,2.9791734060000001,0.6334699988365173,0.0467410087585449,0,0,0.0000000
deep-image-96-angular,12643,6,3,1.0000000,325168,46488,1043493,0,0.0092217,0.0244484,0.0000000,0.0000000,1.0270065,3.6177013380000003,0.7126899957656860,0.0334155559539795,0,0,0.0000000
deep-image-96-angular,12643,8,3,1.0000000,514450,56224,1516661,0,0.0070843,0.0272858,0.0000000,0.0000000,1.0300293,4.2388619300000006,0.7645999789237976,0.0257163047790527,0,0,0.0000000
deep-image-96-angular,12643,10,3,1.0000000,727984,64642,2014884,0,0.0057690,0.0294767,0.0000000,0.0000000,1.0325013,4.8913205680000003,0.8007000088691711,0.0210283994674683,0,0,0.0000000
deep-image-96-angular,12643,12,3,1.0000000,987348,70109,2535897,0,0.0048711,0.0313950,0.0000000,0.0000000,1.0348334,5.5405231800000001,0.8275299668312073,0.0177023410797119,0,0,0.0000000
deep-image-96-angular,12643,14,3,1.0000000,1234478,75225,3085614,0,0.0042175,0.0331803,0.0000000,0.0000000,1.0366658,8.0419627020000011,0.8478699922561646,0.0152176618576050,0,0,0.0000000
deep-image-96-angular,12643,16,3,1.0000000,1497608,79704,3657047,0,0.0037220,0.0348200,0.0000000,0.0000000,1.0383544,8.6589587039999998,0.8642999529838562,0.0133404731750488,0,0,0.0000000
deep-image-96-angular,12643,18,3,1.0000000,1807673,83552,4242106,0,0.0033333,0.0363722,0.0000000,0.0000000,1.0400951,8.8577320230000005,0.8779799938201904,0.0117444992065430,0,0,0.0000000
deep-image-96-angular,12643,20,3,1.0000000,2114130,87922,4849325,0,0.0030189,0.0378093,0.0000000,0.0000000,1.0416214,10.3517141710000011,0.8894199728965759,0.0104465484619141,0,0,0.0000000
deep-image-96-angular,12643,22,3,1.0000000,2477684,91806,5474679,0,0.0027607,0.0392110,0.0000000,0.0000000,1.0433102,9.9642812880000005,0.8989999890327454,0.0094681978225708,0,0,0.0000000
deep-image-96-angular,12643,24,3,1.0000000,2820409,94961,6117238,0,0.0025448,0.0404532,0.0000000,0.0000000,1.0447346,11.2555977460000012,0.9071199893951416,0.0086259841918945,0,0,0.0000000
deep-image-96-angular,12643,26,3,1.0000000,3177156,97450,6775687,0,0.0023604,0.0417120,0.0000000,0.0000000,1.0460794,12.4061811420000012,0.9148599505424500,0.0078209638595581,0,0,0.0000000
deep-image-96-angular,12643,28,3,1.0000000,3547907,99719,7451699,0,0.0022013,0.0429433,0.0000000,0.0000000,1.0473858,12.1233389380000016,0.9209699630737305,0.0071852207183838,0,0,0.0000000
deep-image-96-angular,12643,32,3,1.0000000,4360385,103846,8791533,0,0.0019407,0.0450129,0.0000000,0.0000000,1.0497717,14.9558923880000005,0.9309499859809875,0.0061334371566772,0,0,0.0000000
deep-image-96-angular,12643,40,3,1.0000000,6166052,109645,11609435,0,0.0015738,0.0488715,0.0000000,0.0000000,1.0542631,16.4130413260000019,0.9454599618911743,0.0047529935836792,0,0,0.0000000
deep-image-96-angular,12643,48,3,1.0000000,8156778,114178,14549891,0,0.0013265,0.0523488,0.0000000,0.0000000,1.0582123,18.8745312980000008,0.9560899734497070,0.0037559270858765,0,0,0.0000000
deep-image-96-angular,12643,56,3,1.0000000,10308832,117455,17612471,0,0.0011474,0.0554925,0.0000000,0.0000000,1.0617640,21.0784047310000027,0.9634099602699280,0.0030941963195801,0,0,0.0000000
deep-image-96-angular,12643,64,3,1.0000000,12573624,120304,20822794,0,0.0010122,0.0584301,0.0000000,0.0000000,1.0650454,23.1354988070000012,0.9694100022315979,0.0025191307067871,0,0,0.0000000
deep-image-96-angular,12643,80,3,1.0000000,17330407,124527,27514157,0,0.0008214,0.0637368,0.0000000,0.0000000,1.0707039,27.8697417630000004,0.9771099686622620,0.0018594264984131,0,0,0.0000000
deep-image-96-angular,12643,96,3,1.0000000,22531649,127023,34585926,0,0.0006928,0.0685672,0.0000000,0.0000000,1.0758322,32.3197634720000053,0.9823599457740784,0.0014128684997559,0,0,0.0000000
deep-image-96-angular,12643,112,3,1.0000000,28144366,128953,41997675,0,0.0006004,0.0729655,0.0000000,0.0000000,1.0806026,36.9171703310000012,0.9860399961471558,0.0010951757431030,0,0,0.0000000
deep-image-96-angular,12643,128,3,1.0000000,33956703,129952,49696851,0,0.0005305,0.0770075,0.0000000,0.0000000,1.0848670,42.1641272350000023,0.9884999990463257,0.0009139776229858,0,0,0.0000000
deep-image-96-angular,12643,144,3,1.0000000,40111369,131089,57680530,0,0.0004758,0.0807498,0.0000000,0.0000000,1.0889275,46.8020918340000023,0.9903199672698975,0.0007659196853638,0,0,0.0000000
deep-image-96-angular,12643,160,3,1.0000000,46483628,131703,65922394,0,0.0004317,0.0842801,0.0000000,0.0000000,1.0927055,51.6728641730000007,0.9919099807739258,0.0006409883499146,0,0,0.0000000
deep-image-96-angular,12643,192,3,1.0000000,59913271,132572,83165204,0,0.0003651,0.0907536,0.0000000,0.0000000,1.0997429,68.2736289099999993,0.9937599897384644,0.0005053281784058,0,0,0.0000000
deep-image-96-angular,12643,224,3,1.0000000,74228594,133151,101149712,0,0.0003172,0.0965313,0.0000000,0.0000000,1.1061507,72.0606809129999988,0.9951599836349487,0.0003896951675415,0,0,0.0000000
deep-image-96-angular,12643,256,3,1.0000000,89367103,133471,119906319,0,0.0002809,0.1018056,0.0000000,0.0000000,1.1121411,80.2011895330000044,0.9961199760437012,0.0003097057342529,0,0,0.0000000
