dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
instructorxl-arxiv-768,3002,2,3,1.0000000,0,0,3599,0,0.0222696,0.0025634,0.0000000,0.0000000,1.0020511,1.2406382090000001,0.6238999962806702,0.0469678640365601,0,0,0.0000000
instructorxl-arxiv-768,3002,4,3,1.0000000,174,0,8427,0,0.0120646,0.0030174,0.0000000,0.0000000,1.0024861,2.0257657120000001,0.7502999901771545,0.0265105962753296,0,0,0.0000000
instructorxl-arxiv-768,3002,6,3,1.0000000,174,0,14060,0,0.0083177,0.0033725,0.0000000,0.0000000,1.0027680,2.7794190760000004,0.8104000091552734,0.0186371803283691,0,0,0.0000000
instructorxl-arxiv-768,3002,8,3,1.0000000,347,0,19823,0,0.0063631,0.0035953,0.0000000,0.0000000,1.0029604,3.2767483390000001,0.8461999893188477,0.0142146348953247,0,0,0.0000000
instructorxl-arxiv-768,3002,10,3,1.0000000,348,0,26092,0,0.0051460,0.0037882,0.0000000,0.0000000,1.0031139,3.4431285930000004,0.8698999881744385,0.0113224983215332,0,0,0.0000000
instructorxl-arxiv-768,3002,12,3,1.0000000,348,0,32626,0,0.0043417,0.0039776,0.0000000,0.0000000,1.0032569,3.8361153110000004,0.8883000016212463,0.0094643831253052,0,0,0.0000000
instructorxl-arxiv-768,3002,14,3,1.0000000,462,0,39578,0,0.0037459,0.0041432,0.0000000,0.0000000,1.0034002,7.7138203720000007,0.8996999859809875,0.0084193944931030,0,0,0.0000000
instructorxl-arxiv-768,3002,16,3,1.0000000,462,0,46670,0,0.0032944,0.0042814,0.0000000,0.0000000,1.0035098,6.8138659460000008,0.9093999862670898,0.0075590610504150,0,0,0.0000000
instructorxl-arxiv-768,3002,18,3,1.0000000,465,0,53772,0,0.0029442,0.0044097,0.0000000,0.0000000,1.0036011,5.2589594590000006,0.9176999926567078,0.0069051980972290,0,0,0.0000000
instructorxl-arxiv-768,3002,20,3,1.0000000,538,0,61587,0,0.0026634,0.0045641,0.0000000,0.0000000,1.0037221,5.6220810980000007,0.9264000058174133,0.0059912204742432,0,0,0.0000000
instructorxl-arxiv-768,3002,22,3,1.0000000,538,0,69364,0,0.0024284,0.0046866,0.0000000,0.0000000,1.0038122,5.8966633050000006,0.9325000047683716,0.0052950382232666,0,0,0.0000000
instructorxl-arxiv-768,3002,24,3,1.0000000,656,0,76940,0,0.0022339,0.0047883,0.0000000,0.0000000,1.0038874,5.9581921710000003,0.9378999471664429,0.0047774314880371,0,0,0.0000000
instructorxl-arxiv-768,3002,26,3,1.0000000,662,0,84709,0,0.0020679,0.0048791,0.0000000,0.0000000,1.0039536,6.5342967140000008,0.9430999755859375,0.0044835805892944,0,0,0.0000000
instructorxl-arxiv-768,3002,28,3,1.0000000,753,0,92794,0,0.0019261,0.0049728,0.0000000,0.0000000,1.0040302,6.8912353850000008,0.9476999640464783,0.0041644573211670,0,0,0.0000000
instructorxl-arxiv-768,3002,32,3,1.0000000,1677,0,109657,0,0.0016895,0.0051614,0.0000000,0.0000000,1.0042006,7.6459917590000002,0.9538999795913696,0.0037558078765869,0,0,0.0000000
instructorxl-arxiv-768,3002,40,3,1.0000000,3866,0,143533,0,0.0013613,0.0054404,0.0000000,0.0000000,1.0044703,9.0177825560000002,0.9623000025749207,0.0030037164688110,0,0,0.0000000
instructorxl-arxiv-768,3002,48,3,1.0000000,6284,0,178942,0,0.0011398,0.0056804,0.0000000,0.0000000,1.0046965,10.8037337560000015,0.9678999781608582,0.0026003122329712,0,0,0.0000000
