dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
sift-128-euclidean,2000,2,3,1.0000000,3440,9167,594117,0,0.0384275,0.0946941,0.0000000,0.0000000,1.0574534,0.8282664370000000,0.4846299886703491,0.0876713991165161,0,0,0.0000000
sift-128-euclidean,2000,4,3,1.0000000,27851,18351,1577353,0,0.0213555,0.1191083,0.0000000,0.0000000,1.0782745,1.4717159720000001,0.6417999863624573,0.0487096309661865,0,0,0.0000000
sift-128-euclidean,2000,6,3,1.0000000,62595,22917,2705958,0,0.0149489,0.1343213,0.0000000,0.0000000,1.0909435,1.9834339370000000,0.7285299897193909,0.0326842069625854,0,0,0.0000000
sift-128-euclidean,2000,8,3,1.0000000,123214,25710,3939032,0,0.0115551,0.1454932,0.0000000,0.0000000,1.1009353,2.3480835460000002,0.7852299809455872,0.0239105224609375,0,0,0.0000000
sift-128-euclidean,2000,10,3,1.0000000,184611,27584,5237834,0,0.0094431,0.1545658,0.0000000,0.0000000,1.1086634,2.9980507490000003,0.8223399519920349,0.0187982320785522,0,0,0.0000000
sift-128-euclidean,2000,12,3,1.0000000,253037,28811,6594671,0,0.0080044,0.1621862,0.0000000,0.0000000,1.1152123,3.5112572390000003,0.8515200018882751,0.0149419307708740,0,0,0.0000000
sift-128-euclidean,2000,14,3,1.0000000,328331,29615,8012375,0,0.0069534,0.1688709,0.0000000,0.0000000,1.1210341,3.9618215300000004,0.8747799992561340,0.0121741294860840,0,0,0.0000000
sift-128-euclidean,2000,16,3,1.0000000,404811,30283,9457978,0,0.0061525,0.1745938,0.0000000,0.0000000,1.1259785,4.8900664580000006,0.8921999931335449,0.0102053880691528,0,0,0.0000000
sift-128-euclidean,2000,18,3,1.0000000,500316,30729,10936014,0,0.0055222,0.1797852,0.0000000,0.0000000,1.1305782,5.2350886390000007,0.9061899781227112,0.0086512565612793,0,0,0.0000000
sift-128-euclidean,2000,20,3,1.0000000,610956,31205,12448167,0,0.0050120,0.1844701,0.0000000,0.0000000,1.1348991,6.8120886700000005,0.9176999926567078,0.0074232816696167,0,0,0.0000000
sift-128-euclidean,2000,22,3,1.0000000,723485,31574,13979995,0,0.0045913,0.1886947,0.0000000,0.0000000,1.1387614,6.3025903780000005,0.9276799559593201,0.0064190626144409,0,0,0.0000000
sift-128-euclidean,2000,24,3,1.0000000,836914,31830,15547143,0,0.0042369,0.1926843,0.0000000,0.0000000,1.1423683,6.7304599200000004,0.9358699917793274,0.0055700540542603,0,0,0.0000000
sift-128-euclidean,2000,26,3,1.0000000,962854,32039,17134490,0,0.0039354,0.1964386,0.0000000,0.0000000,1.1457939,7.0625305520000001,0.9426199793815613,0.0049113035202026,0,0,0.0000000
sift-128-euclidean,2000,28,3,1.0000000,1093825,32374,18736811,0,0.0036748,0.1998035,0.0000000,0.0000000,1.1489376,7.5563418890000005,0.9487499594688416,0.0043177604675293,0,0,0.0000000
sift-128-euclidean,2000,32,3,1.0000000,1399804,32797,22007373,0,0.0032479,0.2061558,0.0000000,0.0000000,1.1550118,8.5163540080000004,0.9576199650764465,0.0034828186035156,0,0,0.0000000
sift-128-euclidean,2000,40,3,1.0000000,2077159,33203,28748764,0,0.0026426,0.2170514,0.0000000,0.0000000,1.1655402,11.3700300330000008,0.9706899523735046,0.0022914409637451,0,0,0.0000000
sift-128-euclidean,2000,48,3,1.0000000,2860967,33397,35733348,0,0.0022325,0.2263784,0.0000000,0.0000000,1.1747417,13.1425381010000013,0.9788099527359009,0.0015947818756104,0,0,0.0000000
sift-128-euclidean,2000,56,3,1.0000000,3736003,33471,42902473,0,0.0019362,0.2345425,0.0000000,0.0000000,1.1828926,15.0069254890000003,0.9840999841690063,0.0011843442916870,0,0,0.0000000
sift-128-euclidean,2000,64,3,1.0000000,4758477,33532,50247792,0,0.0017114,0.2418374,0.0000000,0.0000000,1.1905037,17.0153768080000027,0.9876999855041504,0.0009036064147949,0,0,0.0000000
sift-128-euclidean,2000,80,3,1.0000000,7064328,33614,65335483,0,0.0013938,0.2545636,0.0000000,0.0000000,1.2039822,20.9573092480000014,0.9922099709510803,0.0005524158477783,0,0,0.0000000
sift-128-euclidean,2000,96,3,1.0000000,9780727,33650,80865678,0,0.0011797,0.2654112,0.0000000,0.0000000,1.2160062,26.0474831380000005,0.9949199557304382,0.0003275871276855,0,0,0.0000000
sift-128-euclidean,2000,112,3,1.0000000,12946468,33672,96750046,0,0.0010252,0.2750086,0.0000000,0.0000000,1.2270911,29.3141837050000014,0.9964499473571777,0.0001968145370483,0,0,0.0000000
sift-128-euclidean,2000,128,3,1.0000000,16431404,33683,112994884,0,0.0009085,0.2837523,0.0000000,0.0000000,1.2373685,33.0109707690000036,0.9972499608993530,0.0001443624496460,0,0,0.0000000
