dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
contriever-768,1990,2,7,1.0000000,0,0,6103,43,0.0215411,0.0009575,0.0036370,0.0000000,1.0004121,5.6406478910000004,0.7100699543952942,0.0318205356597900,0,0,0.0000000
contriever-768,1990,4,7,1.0000000,0,0,17171,227,0.0114800,0.0012317,0.0027071,0.0000000,1.0005835,9.4499071309999998,0.8172000050544739,0.0161530971527100,0,0,0.0000000
contriever-768,1990,6,7,1.0000000,0,0,30661,386,0.0078365,0.0014316,0.0019569,0.0000000,1.0006953,14.2893644090000009,0.8610499501228333,0.0107513666152954,0,0,0.0000000
contriever-768,1990,8,7,1.0000000,0,0,45851,727,0.0059681,0.0015782,0.0017741,0.0000000,1.0007857,16.9894342470000019,0.8854900002479553,0.0081510543823242,0,0,0.0000000
contriever-768,1990,10,7,1.0000000,0,0,62279,1061,0.0048267,0.0016939,0.0016070,0.0000000,1.0008578,20.2177062780000014,0.9027499556541443,0.0064815282821655,0,0,0.0000000
contriever-768,1990,12,7,1.0000000,0,0,80396,1423,0.0040493,0.0018012,0.0015138,0.0000000,1.0009251,23.4443526150000032,0.9145399928092957,0.0054309368133545,0,0,0.0000000
contriever-768,1990,14,7,1.0000000,0,0,98272,1801,0.0034901,0.0018780,0.0014185,0.0000000,1.0009719,26.9916422810000007,0.9232899546623230,0.0046472549438477,0,0,0.0000000
contriever-768,1990,16,7,1.0000000,0,0,117135,2269,0.0030666,0.0019495,0.0013762,0.0000000,1.0010160,30.3735697470000012,0.9305799603462219,0.0040720701217651,0,0,0.0000000
contriever-768,1990,18,7,1.0000000,0,0,135631,2811,0.0027374,0.0020024,0.0013335,0.0000000,1.0010490,33.7574970060000012,0.9367899894714355,0.0036038160324097,0,0,0.0000000
contriever-768,1990,20,7,1.0000000,0,0,154764,3395,0.0024716,0.0020537,0.0013041,0.0000000,1.0010803,39.3931525500000035,0.9412699937820435,0.0032688379287720,0,0,0.0000000
contriever-768,1990,22,7,1.0000000,0,0,173277,3878,0.0022539,0.0020882,0.0012596,0.0000000,1.0011017,40.8968024040000060,0.9454599618911743,0.0029580593109131,0,0,0.0000000
contriever-768,1990,24,7,1.0000000,0,0,191608,4456,0.0020722,0.0021168,0.0012258,0.0000000,1.0011195,44.1235624590000057,0.9490999579429626,0.0027066469192505,0,0,0.0000000
contriever-768,1990,26,7,1.0000000,0,0,210393,5154,0.0019164,0.0021439,0.0012036,0.0000000,1.0011369,47.5850578040000016,0.9521299600601196,0.0024969577789307,0,0,0.0000000
contriever-768,1990,28,7,1.0000000,0,0,228236,5825,0.0017828,0.0021621,0.0011720,0.0000000,1.0011475,51.0101469100000031,0.9545099735260010,0.0023236274719238,0,0,0.0000000
contriever-768,1990,32,7,1.0000000,0,0,263721,7135,0.0015661,0.0021892,0.0011156,0.0000000,1.0011646,58.0934100780000051,0.9590399861335754,0.0019711256027222,0,0,0.0000000
contriever-768,1990,40,7,1.0000000,0,0,331015,10172,0.0012612,0.0022086,0.0010292,0.0000000,1.0011785,71.6937613590000069,0.9657799601554871,0.0015465021133423,0,0,0.0000000
contriever-768,1990,48,7,1.0000000,0,0,391976,13300,0.0010572,0.0021933,0.0009531,0.0000000,1.0011714,82.2741980440000020,0.9708199501037598,0.0012336969375610,0,0,0.0000000
contriever-768,1990,56,7,1.0000000,0,0,448720,16837,0.0009103,0.0021650,0.0008977,0.0000000,1.0011570,95.2533262760000099,0.9743499755859375,0.0010248422622681,0,0,0.0000000
contriever-768,1990,64,7,1.0000000,0,0,501162,20188,0.0007999,0.0021277,0.0008431,0.0000000,1.0011375,111.6012536030000035,0.9770999550819397,0.0008739233016968,0,0,0.0000000
contriever-768,1990,80,7,1.0000000,0,0,598533,27253,0.0006440,0.0020556,0.0007613,0.0000000,1.0010978,135.4318594359999963,0.9807199835777283,0.0006821155548096,0,0,0.0000000
contriever-768,1990,96,7,1.0000000,0,0,693034,34714,0.0005391,0.0019979,0.0007120,0.0000000,1.0010678,161.5672824780000099,0.9835799932479858,0.0005438327789307,0,0,0.0000000
contriever-768,1990,112,7,1.0000000,0,0,787629,42305,0.0004636,0.0019548,0.0006756,0.0000000,1.0010465,187.6544396680000091,0.9855499863624573,0.0004605054855347,0,0,0.0000000
contriever-768,1990,128,7,1.0000000,0,0,882400,49972,0.0004066,0.0019215,0.0006507,0.0000000,1.0010306,213.9991001890000177,0.9871399998664856,0.0003905296325684,0,0,0.0000000
contriever-768,1990,144,7,1.0000000,0,0,977298,57982,0.0003622,0.0018948,0.0006317,0.0000000,1.0010188,239.5745565740000131,0.9884099960327148,0.0003368854522705,0,0,0.0000000
contriever-768,1990,160,7,1.0000000,0,0,1072859,66152,0.0003264,0.0018745,0.0006179,0.0000000,1.0010098,266.2116714370000068,0.9893299937248230,0.0003030300140381,0,0,0.0000000
