dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
openai-1536-angular,1999,2,7,1.0000000,0,0,1530,720,0.0359948,0.0012580,0.0262661,0.0000000,1.0018560,2.5475317050000004,0.6523999571800232,0.0543059110641479,0,0,0.0000000
openai-1536-angular,1999,4,7,1.0000000,0,0,4459,1757,0.0193129,0.0014737,0.0139928,0.0000000,1.0026399,2.2522244610000000,0.7394999861717224,0.0367442369461060,0,0,0.0000000
openai-1536-angular,1999,6,7,1.0000000,0,0,6907,2845,0.0133350,0.0016936,0.0116048,0.0000000,1.0028175,3.6157436100000004,0.7805999517440796,0.0292829275131226,0,0,0.0000000
openai-1536-angular,1999,8,7,1.0000000,25,0,10358,4111,0.0102399,0.0018758,0.0102817,0.0000000,1.0031866,3.7580354790000001,0.8055999875068665,0.0250818729400635,0,0,0.0000000
openai-1536-angular,1999,10,7,1.0000000,41,0,13480,5180,0.0083017,0.0019674,0.0092511,0.0000000,1.0033122,4.8388511320000003,0.8258999586105347,0.0214706659317017,0,0,0.0000000
openai-1536-angular,1999,12,7,1.0000000,51,0,15419,6188,0.0070133,0.0019111,0.0081203,0.0000000,1.0032248,4.5611817580000000,0.8422999978065491,0.0188628435134888,0,0,0.0000000
openai-1536-angular,1999,14,7,1.0000000,507,0,18205,7361,0.0060789,0.0019916,0.0076579,0.0000000,1.0033534,5.7663449580000004,0.8534999489784241,0.0172591209411621,0,0,0.0000000
openai-1536-angular,1999,16,7,1.0000000,507,0,21172,8812,0.0053698,0.0021268,0.0075406,0.0000000,1.0034534,6.2327596190000003,0.8641999959945679,0.0153937339782715,0,0,0.0000000
openai-1536-angular,1999,18,7,1.0000000,507,0,22918,9778,0.0047993,0.0020806,0.0068809,0.0000000,1.0033526,6.2653622840000001,0.8728999495506287,0.0141059160232544,0,0,0.0000000
openai-1536-angular,1999,20,7,1.0000000,665,0,26206,10822,0.0043353,0.0021210,0.0065236,0.0000000,1.0034312,6.3297005450000006,0.8797999620437622,0.0130710601806641,0,0,0.0000000
openai-1536-angular,1999,22,7,1.0000000,665,0,29016,12034,0.0039597,0.0021901,0.0063417,0.0000000,1.0034617,7.0337523520000005,0.8867999911308289,0.0120120048522949,0,0,0.0000000
openai-1536-angular,1999,24,7,1.0000000,665,0,31404,13196,0.0036465,0.0022265,0.0061492,0.0000000,1.0034544,7.2919362260000007,0.8921999931335449,0.0113288164138794,0,0,0.0000000
openai-1536-angular,1999,26,7,1.0000000,665,0,34107,14195,0.0033804,0.0022138,0.0058379,0.0000000,1.0034593,7.8194343860000002,0.8977999687194824,0.0106310844421387,0,0,0.0000000
