dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
fashion-mnist-784-euclidean,244,2,0,1.0000000,0,0,0,0,0.0566366,0.0000000,0.0000000,0.0000000,1.0000000,2.7245427150000001,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,1,1.0000000,640,7419,0,0,0.0567136,0.0000000,0.0000000,0.0000000,1.0013596,2.6982223120000000,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,2,1.0000000,0,0,75332,0,0.0573647,0.0278533,0.0000000,0.0000000,1.0128543,2.6355975140000001,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,4,1.0000000,0,0,0,132074,0.0579255,0.0000000,0.0430503,0.0000000,1.0227569,2.5727403590000000,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,3,1.0000000,640,7419,74638,0,0.0574368,0.0277885,0.0000000,0.0000000,1.0141288,2.6236165660000004,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,5,1.0000000,640,7419,0,131556,0.0580009,0.0000000,0.0430765,0.0000000,1.0240875,2.4595433510000002,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,7,1.0000000,640,7419,46709,99326,0.0581461,0.0182929,0.0425176,0.0000000,1.0266522,2.7750464000000004,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,4,0,1.0000000,0,0,0,0,0.0298026,0.0000000,0.0000000,0.0000000,1.0000000,5.5181768090000007,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,1,1.0000000,14383,17133,0,0,0.0298824,0.0000000,0.0000000,0.0000000,1.0026773,5.3729763589999999,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,2,1.0000000,0,0,344776,0,0.0306993,0.0561360,0.0000000,0.0000000,1.0300896,4.7780381390000004,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,4,1.0000000,0,0,0,660201,0.0315683,0.0000000,0.0589149,0.0000000,1.0592487,4.2900849719999998,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,3,1.0000000,14383,17133,333321,0,0.0307532,0.0559196,0.0000000,0.0000000,1.0318962,4.2445665540000004,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,5,1.0000000,14383,17133,0,649860,0.0316284,0.0000000,0.0587474,0.0000000,1.0612655,4.4006421500000004,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,7,1.0000000,14383,17133,195201,482284,0.0317072,0.0344519,0.0580334,0.0000000,1.0639081,4.4997535830000004,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,6,0,1.0000000,0,0,0,0,0.0202449,0.0000000,0.0000000,0.0000000,1.0000000,6.1688841760000006,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,1,1.0000000,63624,23549,0,0,0.0203460,0.0000000,0.0000000,0.0000000,1.0049928,6.1319446220000007,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,2,1.0000000,0,0,783289,0,0.0211909,0.0805183,0.0000000,0.0000000,1.0467260,6.0496198450000005,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,4,1.0000000,0,0,0,1430319,0.0220416,0.0000000,0.0724367,0.0000000,1.0887492,6.0676489930000006,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,3,1.0000000,63624,23549,735979,0,0.0212414,0.0800258,0.0000000,0.0000000,1.0492210,6.0267142180000004,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,5,1.0000000,63624,23549,0,1384857,0.0220988,0.0000000,0.0718958,0.0000000,1.0915743,6.0822707320000005,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,7,1.0000000,63624,23549,441391,995830,0.0221710,0.0510312,0.0707232,0.0000000,1.0951418,6.1736848570000005,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,8,0,1.0000000,0,0,0,0,0.0153360,0.0000000,0.0000000,0.0000000,1.0000000,7.9412374800000007,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,1,1.0000000,176672,27677,0,0,0.0154721,0.0000000,0.0000000,0.0000000,1.0088724,7.8687661910000006,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,2,1.0000000,0,0,1387813,0,0.0163101,0.1034035,0.0000000,0.0000000,1.0635195,7.5919697750000008,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,4,1.0000000,0,0,0,2385133,0.0170903,0.0000000,0.0846112,0.0000000,1.1143878,7.7089088940000003,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,3,1.0000000,176672,27677,1262133,0,0.0163691,0.1024097,0.0000000,0.0000000,1.0673627,7.6384871410000006,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,5,1.0000000,176672,27677,0,2260315,0.0171557,0.0000000,0.0835027,0.0000000,1.1186545,7.6493176680000001,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,7,1.0000000,176672,27677,781629,1574919,0.0172355,0.0683304,0.0818136,0.0000000,1.1238612,8.2565712340000008,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,10,0,1.0000000,0,0,0,0,0.0123780,0.0000000,0.0000000,0.0000000,1.0000000,9.8310014870000000,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,1,1.0000000,368388,30476,0,0,0.0125516,0.0000000,0.0000000,0.0000000,1.0140311,9.7341269420000014,0.9950699806213379,0.0006726980209351
