dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
glove-50-angular,1087,2,0,1.0000000,0,0,0,0,0.0136516,0.0000000,0.0000000,0.0000000,1.0000000,1.6106778270000002,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,1,1.0000000,8481,190732,0,0,0.0137384,0.0000000,0.0000000,0.0000000,1.0063542,1.5924401700000002,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,2,1.0000000,0,0,317435,0,0.0137904,0.0219619,0.0000000,0.0000000,1.0101635,2.2713410920000001,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,4,1.0000000,0,0,0,440316,0.0138449,0.0000000,0.0169725,0.0000000,1.0141536,2.4241033690000000,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,3,1.0000000,8481,190732,306383,0,0.0138740,0.0213336,0.0000000,0.0000000,1.0162863,1.8112638800000000,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,5,1.0000000,8481,190732,0,429223,0.0139291,0.0000000,0.0166864,0.0000000,1.0203235,1.9518852430000002,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,2,7,1.0000000,8481,190732,233588,295090,0.0139740,0.0168074,0.0162357,0.0000000,1.0236158,2.3816356450000002,0.5527499914169312,0.0757418870925903
glove-50-angular,1087,4,0,1.0000000,0,0,0,0,0.0073621,0.0000000,0.0000000,0.0000000,1.0000000,2.2971078730000003,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,1,1.0000000,38464,532226,0,0,0.0074289,0.0000000,0.0000000,0.0000000,1.0090744,2.6175371780000001,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,2,1.0000000,0,0,896604,0,0.0074676,0.0300675,0.0000000,0.0000000,1.0143310,3.3016740630000001,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,4,1.0000000,0,0,0,1579552,0.0075500,0.0000000,0.0207386,0.0000000,1.0255257,3.8006863650000002,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,3,1.0000000,38464,532226,859825,0,0.0075319,0.0292221,0.0000000,0.0000000,1.0230618,3.0973900930000000,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,5,1.0000000,38464,532226,0,1540788,0.0076155,0.0000000,0.0204751,0.0000000,1.0344175,3.8367560620000001,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,4,7,1.0000000,38464,532226,605304,1090143,0.0076347,0.0210838,0.0201114,0.0000000,1.0370319,6.7087426160000003,0.6815899610519409,0.0440945625305176
glove-50-angular,1087,6,0,1.0000000,0,0,0,0,0.0050516,0.0000000,0.0000000,0.0000000,1.0000000,3.8699850050000002,0.7473499774932861,0.0317687988281250
