dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
nytimes-16-angular,538,2,0,1,0,0,0,0,0.0385052,0,0,0,1,0.1857215980000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,1,1,47035,30574,0,0,0.038783,0,0,0,1.0072165,0.1614231320000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,2,1,0,0,1404788,0,0.044243,0.3334582,0,0,1.1490134,0.4622713250000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,4,1,0,0,0,1733443,0.0458411,0,0.2624695,0,1.1905173,0.5876936310000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,3,1,47035,30574,1365057,0,0.0444214,0.3339773,0,0,1.1536486,0.4658473470000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,5,1,47035,30574,0,1674686,0.0459362,0,0.2630843,0,1.1929891,0.5911798390000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,2,7,1,47035,30574,1155467,1114069,0.0491567,0.2752687,0.2415684,0,1.2766259,0.7913593180000000,0.4229499995708466,0.1599057912826538
nytimes-16-angular,538,4,0,1,0,0,0,0,0.0209596,0,0,0,1,0.2558419300000000,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,1,1,167781,76643,0,0,0.0211986,0,0,0,1.0114055,0.2489087120000000,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,2,1,0,0,3349219,0,0.0247902,0.4032209,0,0,1.1827613,0.9163269910000000,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,4,1,0,0,0,6250012,0.0294522,0,0.3721322,0,1.4051912,1.2884564910000000,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,3,1,167781,76643,3228126,0,0.0249582,0.4047197,0,0,1.1907752,0.9193818020000001,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,5,1,167781,76643,0,6069996,0.0295757,0,0.3736145,0,1.4110832,1.2573543540000001,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,4,7,1,167781,76643,2217341,4690106,0.0312812,0.2968056,0.3539008,0,1.4924518,1.5908286300000001,0.5644099712371826,0.0934758186340332
nytimes-16-angular,538,6,0,1,0,0,0,0,0.0145295,0,0,0,1,0.3526558570000000,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,1,1,305873,115241,0,0,0.0147201,0,0,0,1.0131228,0.3479238930000000,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,2,1,0,0,5620006,0,0.017566,0.4471992,0,0,1.20899,1.3661335110000001,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,4,1,0,0,0,11695032,0.0226924,0,0.4317276,0,1.5618225,1.8760091690000000,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,3,1,305873,115241,5415837,0,0.0177088,0.4494535,0,0,1.2188228,1.2323237450000000,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,5,1,305873,115241,0,11391680,0.0228215,0,0.4338637,0,1.5707083,1.7123239580000000,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,6,7,1,305873,115241,3284463,9156424,0.0240401,0.3164491,0.4152278,0,1.6545789,2.0181814630000003,0.6571399569511414,0.0639624595642090
nytimes-16-angular,538,8,0,1,0,0,0,0,0.0111445,0,0,0,1,0.4465837220000000,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,1,1,459175,149769,0,0,0.0113032,0,0,0,1.0142442,0.4314453450000000,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,2,1,0,0,8136275,0,0.0137188,0.4787264,0,0,1.2309945,1.6394396240000002,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,4,1,0,0,0,17596956,0.0187568,0,0.4693852,0,1.683055,2.3019485560000001,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,3,1,459175,149769,7846141,0,0.0138441,0.4815992,0,0,1.2422382,1.6434740450000001,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,5,1,459175,149769,0,17167008,0.018888,0,0.4720657,0,1.6948308,2.2731251380000002,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,8,7,1,459175,149769,4399383,14021224,0.0198612,0.3347198,0.4541027,0,1.7821584,2.7111824720000000,0.7204499840736389,0.0473797321319580
nytimes-16-angular,538,10,0,1,0,0,0,0,0.0090501,0,0,0,1,0.5299336430000000,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,1,1,622117,180432,0,0,0.0091861,0,0,0,1.0150261,0.5151889880000000,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,2,1,0,0,10847773,0,0.011314,0.5028883,0,0,1.2501504,2.1419725430000001,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,4,1,0,0,0,23781499,0.0161226,0,0.494993,0,1.7814827,2.8589955090000001,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,3,1,622117,180432,10468761,0,0.0114256,0.5062738,0,0,1.2624809,2.1042217670000003,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,5,1,622117,180432,0,23221402,0.0162521,0,0.4980404,0,1.7957901,2.8625710870000001,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,10,7,1,622117,180432,5567428,19110792,0.0170761,0.3515211,0.4806097,0,1.8868432,3.3713666550000001,0.7680400013923645,0.0365486145019531
nytimes-16-angular,538,12,0,1,0,0,0,0,0.0076257,0,0,0,1,0.6130282660000000,0.8063499927520752,0.0287132263183594
nytimes-16-angular,538,12,1,1,794744,208209,0,0,0.0077451,0,0,0,1.0156553,0.6084621920000001,0.8063499927520752,0.0287132263183594
