dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
deep-image-96-angular,12643,2,7,1.0000000,33338,13985,181363,197885,0.0245092,0.0124933,0.0319660,0.0000000,1.0242509,2.8658086150000002,0.4860399961471558,0.0793812274932861,0,0,0.0000000
deep-image-96-angular,12643,4,7,1.0000000,163990,33716,429631,641337,0.0134763,0.0147247,0.0270378,0.0000000,1.0365717,3.7379152690000002,0.6334699988365173,0.0467410087585449,0,0,0.0000000
deep-image-96-angular,12643,6,7,1.0000000,325168,46488,709342,1196249,0.0093759,0.0163866,0.0262720,0.0000000,1.0441856,4.4233276340000005,0.7126899957656860,0.0334155559539795,0,0,0.0000000
deep-image-96-angular,12643,8,7,1.0000000,514450,56224,1019042,1842562,0.0072241,0.0179965,0.0267472,0.0000000,1.0503525,5.2403678880000006,0.7645999789237976,0.0257163047790527,0,0,0.0000000
deep-image-96-angular,12643,10,7,1.0000000,727984,64642,1346675,2539252,0.0058967,0.0192574,0.0273335,0.0000000,1.0553608,6.1269218700000003,0.8007000088691711,0.0210283994674683,0,0,0.0000000
deep-image-96-angular,12643,12,7,1.0000000,987348,70109,1689647,3283989,0.0049889,0.0204151,0.0280998,0.0000000,1.0598795,7.0590597230000007,0.8275299668312073,0.0177023410797119,0,0,0.0000000
deep-image-96-angular,12643,14,7,1.0000000,1234478,75225,2050275,4078476,0.0043273,0.0215270,0.0289294,0.0000000,1.0636680,9.4858996250000001,0.8478699922561646,0.0152176618576050,0,0,0.0000000
deep-image-96-angular,12643,16,7,1.0000000,1497608,79704,2424689,4911493,0.0038252,0.0225720,0.0297882,0.0000000,1.0671225,10.3166820179999998,0.8642999529838562,0.0133404731750488,0,0,0.0000000
deep-image-96-angular,12643,18,7,1.0000000,1807673,83552,2809528,5774483,0.0034307,0.0235618,0.0306436,0.0000000,1.0704798,12.0275621690000012,0.8779799938201904,0.0117444992065430,0,0,0.0000000
deep-image-96-angular,12643,20,7,1.0000000,2114130,87922,3206424,6675140,0.0031113,0.0245021,0.0314525,0.0000000,1.0735081,13.0915596690000005,0.8894199728965759,0.0104465484619141,0,0,0.0000000
deep-image-96-angular,12643,22,7,1.0000000,2477684,91806,3616931,7604286,0.0028488,0.0254131,0.0322806,0.0000000,1.0766203,14.4770684970000012,0.8989999890327454,0.0094681978225708,0,0,0.0000000
deep-image-96-angular,12643,24,7,1.0000000,2820409,94961,4038483,8554610,0.0026291,0.0262309,0.0330267,0.0000000,1.0793518,13.4615559410000003,0.9071199893951416,0.0086259841918945,0,0,0.0000000
deep-image-96-angular,12643,26,7,1.0000000,3177156,97450,4471916,9537838,0.0024413,0.0270661,0.0337901,0.0000000,1.0819653,16.5710487340000014,0.9148599505424500,0.0078209638595581,0,0,0.0000000
deep-image-96-angular,12643,28,7,1.0000000,3547907,99719,4916051,10547111,0.0022792,0.0279050,0.0345386,0.0000000,1.0844783,15.2852928940000012,0.9209699630737305,0.0071852207183838,0,0,0.0000000
deep-image-96-angular,12643,32,7,1.0000000,4360385,103846,5797853,12581439,0.0020132,0.0293145,0.0358429,0.0000000,1.0889741,19.4436443640000007,0.9309499859809875,0.0061334371566772,0,0,0.0000000
deep-image-96-angular,12643,40,7,1.0000000,6166052,109645,7664434,16822763,0.0016377,0.0320183,0.0382834,0.0000000,1.0971289,21.0919770890000002,0.9454599618911743,0.0047529935836792,0,0,0.0000000
