dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
instructorxl-arxiv-768,3002,2,7,1.0000000,0,0,3594,34,0.0222700,0.0025504,0.0021664,0.0000000,1.0020676,0.8735651580000000,0.6238999962806702,0.0469678640365601,0,0,0.0000000
instructorxl-arxiv-768,3002,4,7,1.0000000,174,0,8408,139,0.0120650,0.0029938,0.0021238,0.0000000,1.0025209,1.3574920960000001,0.7502999901771545,0.0265105962753296,0,0,0.0000000
instructorxl-arxiv-768,3002,6,7,1.0000000,174,0,14023,330,0.0083182,0.0033315,0.0021697,0.0000000,1.0028253,1.9181234540000001,0.8104000091552734,0.0186371803283691,0,0,0.0000000
instructorxl-arxiv-768,3002,8,7,1.0000000,347,0,19770,579,0.0063636,0.0035413,0.0021970,0.0000000,1.0030379,2.3527869850000003,0.8461999893188477,0.0142146348953247,0,0,0.0000000
instructorxl-arxiv-768,3002,10,7,1.0000000,348,0,26013,919,0.0051465,0.0037238,0.0022414,0.0000000,1.0032130,3.4689664060000003,0.8698999881744385,0.0113224983215332,0,0,0.0000000
instructorxl-arxiv-768,3002,12,7,1.0000000,348,0,32515,1308,0.0043422,0.0038994,0.0023323,0.0000000,1.0033756,4.2301546260000000,0.8883000016212463,0.0094643831253052,0,0,0.0000000
instructorxl-arxiv-768,3002,14,7,1.0000000,462,0,39436,1750,0.0037465,0.0040556,0.0023721,0.0000000,1.0035373,4.5836929580000003,0.8996999859809875,0.0084193944931030,0,0,0.0000000
instructorxl-arxiv-768,3002,16,7,1.0000000,462,0,46500,2265,0.0032949,0.0041803,0.0024228,0.0000000,1.0036664,5.0181619180000006,0.9093999862670898,0.0075590610504150,0,0,0.0000000
instructorxl-arxiv-768,3002,18,7,1.0000000,465,0,53566,2840,0.0029448,0.0042979,0.0024433,0.0000000,1.0037767,5.5785749390000001,0.9176999926567078,0.0069051980972290,0,0,0.0000000
instructorxl-arxiv-768,3002,20,7,1.0000000,538,0,61295,3674,0.0026639,0.0044351,0.0025191,0.0000000,1.0039256,6.5965928200000006,0.9264000058174133,0.0059912204742432,0,0,0.0000000
instructorxl-arxiv-768,3002,22,7,1.0000000,538,0,69002,4503,0.0024289,0.0045433,0.0025748,0.0000000,1.0040389,8.2913932240000001,0.9325000047683716,0.0052950382232666,0,0,0.0000000
instructorxl-arxiv-768,3002,24,7,1.0000000,656,0,76517,5298,0.0022344,0.0046348,0.0026034,0.0000000,1.0041326,7.7823589280000007,0.9378999471664429,0.0047774314880371,0,0,0.0000000
instructorxl-arxiv-768,3002,26,7,1.0000000,662,0,84212,6224,0.0020684,0.0047109,0.0026399,0.0000000,1.0042199,7.7707733300000008,0.9430999755859375,0.0044835805892944,0,0,0.0000000
instructorxl-arxiv-768,3002,28,7,1.0000000,753,0,92205,7295,0.0019266,0.0047900,0.0026947,0.0000000,1.0043204,7.9583860870000001,0.9476999640464783,0.0041644573211670,0,0,0.0000000
instructorxl-arxiv-768,3002,32,7,1.0000000,1677,0,108876,9676,0.0016901,0.0049534,0.0027823,0.0000000,1.0045377,8.5252551070000013,0.9538999795913696,0.0037558078765869,0,0,0.0000000
instructorxl-arxiv-768,3002,40,7,1.0000000,3866,0,142377,14689,0.0013618,0.0051955,0.0029115,0.0000000,1.0048828,10.4424410390000002,0.9623000025749207,0.0030037164688110,0,0,0.0000000
instructorxl-arxiv-768,3002,48,7,1.0000000,6284,0,177350,20500,0.0011404,0.0053999,0.0030290,0.0000000,1.0051783,12.1059588740000006,0.9678999781608582,0.0026003122329712,0,0,0.0000000
instructorxl-arxiv-768,3002,56,7,1.0000000,8051,0,213951,27109,0.0009816,0.0055870,0.0031386,0.0000000,1.0054311,13.7858970890000005,0.9738999605178833,0.0020886659622192,0,0,0.0000000
instructorxl-arxiv-768,3002,64,7,1.0000000,10215,0,251180,34554,0.0008620,0.0057377,0.0032371,0.0000000,1.0056592,15.6765602720000015,0.9781000018119812,0.0017633438110352,0,0,0.0000000
instructorxl-arxiv-768,3002,80,7,1.0000000,16272,0,330174,51643,0.0006930,0.0060205,0.0034387,0.0000000,1.0061108,19.2649415290000015,0.9840999841690063,0.0011339187622070,0,0,0.0000000
instructorxl-arxiv-768,3002,96,7,1.0000000,20909,0,412857,70899,0.0005796,0.0062741,0.0036153,0.0000000,1.0064735,23.0334126130000030,0.9878000020980835,0.0008947849273682,0,0,0.0000000
instructorxl-arxiv-768,3002,112,7,1.0000000,26494,0,498541,92686,0.0004987,0.0065050,0.0037829,0.0000000,1.0068139,26.6721051150000008,0.9898999929428101,0.0007101297378540,0,0,0.0000000
instructorxl-arxiv-768,3002,128,7,1.0000000,33354,0,587518,116299,0.0004378,0.0067146,0.0039393,0.0000000,1.0071353,30.3122019290000004,0.9919999837875366,0.0005503892898560,0,0,0.0000000
instructorxl-arxiv-768,3002,144,7,1.0000000,39004,0,680128,142463,0.0003901,0.0069128,0.0040937,0.0000000,1.0074292,34.0956866240000025,0.9933999776840210,0.0004842281341553,0,0,0.0000000
instructorxl-arxiv-768,3002,160,7,1.0000000,45124,0,775611,170134,0.0003520,0.0071028,0.0042403,0.0000000,1.0077065,37.7781975709999998,0.9944999814033508,0.0003826618194580,0,0,0.0000000
