dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
msong-420,1984,2,7,1.0000000,698,2899,4730,8938,0.0266234,0.0069396,0.0171541,0.0000000,1.0115740,0.3764445990000000,0.6173999905586243,0.0496636629104614,0,0,0.0000000
msong-420,1984,4,7,1.0000000,7652,6788,13587,39300,0.0141738,0.0094330,0.0177353,0.0000000,1.0222723,0.6397011220000001,0.7971999645233154,0.0185445547103882,0,0,0.0000000
msong-420,1984,6,7,1.0000000,22761,10039,27300,83687,0.0095606,0.0123667,0.0188599,0.0000000,1.0312821,0.8477379580000001,0.8754000067710876,0.0105906724929810,0,0,0.0000000
msong-420,1984,8,7,1.0000000,58330,12621,44649,134868,0.0072567,0.0151491,0.0203307,0.0000000,1.0408700,1.0902757130000000,0.9171999692916870,0.0068627595901489,0,0,0.0000000
msong-420,1984,10,7,1.0000000,103731,14723,66033,193156,0.0058439,0.0182669,0.0218247,0.0000000,1.0493033,1.3414210090000001,0.9411000013351440,0.0048668384552002,0,0,0.0000000
msong-420,1984,12,7,1.0000000,153846,16547,88129,256639,0.0049063,0.0206165,0.0231639,0.0000000,1.0562379,1.5823132590000002,0.9556999802589417,0.0036373138427734,0,0,0.0000000
msong-420,1984,14,7,1.0000000,217486,18567,113499,322606,0.0042318,0.0231785,0.0243306,0.0000000,1.0631433,1.8225654760000001,0.9641999602317810,0.0030393600463867,0,0,0.0000000
msong-420,1984,16,7,1.0000000,293179,20201,140772,393447,0.0037313,0.0254935,0.0255902,0.0000000,1.0700636,2.0449651350000000,0.9720000028610229,0.0024436712265015,0,0,0.0000000
msong-420,1984,18,7,1.0000000,378799,21973,169618,466541,0.0033410,0.0278044,0.0267355,0.0000000,1.0766757,2.2803801350000001,0.9753999710083008,0.0020982027053833,0,0,0.0000000
msong-420,1984,20,7,1.0000000,481929,23449,201223,542451,0.0030254,0.0301713,0.0278926,0.0000000,1.0835617,2.5141680740000001,0.9786999821662903,0.0017813444137573,0,0,0.0000000
msong-420,1984,22,7,1.0000000,589496,24690,233569,623710,0.0027699,0.0323174,0.0291013,0.0000000,1.0900501,3.0462932260000004,0.9817999601364136,0.0015270709991455,0,0,0.0000000
msong-420,1984,24,7,1.0000000,694892,26119,268389,709588,0.0025555,0.0343999,0.0302965,0.0000000,1.0958552,3.0685387540000000,0.9846999645233154,0.0012891292572021,0,0,0.0000000
msong-420,1984,26,7,1.0000000,824460,27318,304236,794974,0.0023745,0.0364562,0.0313745,0.0000000,1.1022063,3.2697265930000001,0.9873999953269958,0.0010644197463989,0,0,0.0000000
msong-420,1984,28,7,1.0000000,954247,28467,340791,882297,0.0022179,0.0384188,0.0323388,0.0000000,1.1078829,3.7113258140000003,0.9893999695777893,0.0008502006530762,0,0,0.0000000
msong-420,1984,32,7,1.0000000,1245114,30760,417126,1061090,0.0019649,0.0423118,0.0342441,0.0000000,1.1192775,3.9205905800000003,0.9914999604225159,0.0006690025329590,0,0,0.0000000
msong-420,1984,40,7,1.0000000,1929829,35107,582013,1440329,0.0016098,0.0497619,0.0377123,0.0000000,1.1413680,5.0086010480000001,0.9948999881744385,0.0004599094390869,0,0,0.0000000
msong-420,1984,48,7,1.0000000,2721211,38770,758212,1842319,0.0013746,0.0563657,0.0409515,0.0000000,1.1622231,5.6509030090000003,0.9965999722480774,0.0002684593200684,0,0,0.0000000
msong-420,1984,56,7,1.0000000,3635334,42173,948515,2269367,0.0012051,0.0627423,0.0440724,0.0000000,1.1829073,6.3366537210000002,0.9975999593734741,0.0001605749130249,0,0,0.0000000
