dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
sift-128-euclidean,2000,2,7,1.0000000,3440,9167,542374,153518,0.0388015,0.0874436,0.0855704,0.0000000,1.0677438,0.9342194060000001,0.4846299886703491,0.0876713991165161,0,0,0.0000000
sift-128-euclidean,2000,4,7,1.0000000,27851,18351,1385246,579406,0.0217619,0.1062913,0.0864493,0.0000000,1.0987915,1.7869166020000000,0.6417999863624573,0.0487096309661865,0,0,0.0000000
sift-128-euclidean,2000,6,7,1.0000000,62595,22917,2342360,1116290,0.0153247,0.1180376,0.0889386,0.0000000,1.1183681,2.2216059290000003,0.7285299897193909,0.0326842069625854,0,0,0.0000000
sift-128-euclidean,2000,8,7,1.0000000,123214,25710,3383213,1726226,0.0118990,0.1268459,0.0923169,0.0000000,1.1336974,2.9853357130000000,0.7852299809455872,0.0239105224609375,0,0,0.0000000
sift-128-euclidean,2000,10,7,1.0000000,184611,27584,4474964,2388481,0.0097595,0.1340487,0.0957354,0.0000000,1.1458007,3.4586940000000004,0.8223399519920349,0.0187982320785522,0,0,0.0000000
sift-128-euclidean,2000,12,7,1.0000000,253037,28811,5610444,3095442,0.0082979,0.1401447,0.0990332,0.0000000,1.1561066,4.3457604249999999,0.8515200018882751,0.0149419307708740,0,0,0.0000000
sift-128-euclidean,2000,14,7,1.0000000,328331,29615,6793623,3840988,0.0072274,0.1455786,0.1022234,0.0000000,1.1652161,4.7694260680000005,0.8747799992561340,0.0121741294860840,0,0,0.0000000
sift-128-euclidean,2000,16,7,1.0000000,404811,30283,8000203,4606480,0.0064095,0.1502732,0.1050847,0.0000000,1.1730112,5.6813638950000005,0.8921999931335449,0.0102053880691528,0,0,0.0000000
sift-128-euclidean,2000,18,7,1.0000000,500316,30729,9232828,5395497,0.0057646,0.1545609,0.1077945,0.0000000,1.1802000,6.6918884310000006,0.9061899781227112,0.0086512565612793,0,0,0.0000000
sift-128-euclidean,2000,20,7,1.0000000,610956,31205,10492628,6203501,0.0052415,0.1584793,0.1103386,0.0000000,1.1868554,7.0632445200000005,0.9176999926567078,0.0074232816696167,0,0,0.0000000
sift-128-euclidean,2000,22,7,1.0000000,723485,31574,11766256,7030102,0.0048094,0.1620290,0.1127033,0.0000000,1.1928651,7.4273222040000002,0.9276799559593201,0.0064190626144409,0,0,0.0000000
sift-128-euclidean,2000,24,7,1.0000000,836914,31830,13069439,7874689,0.0044450,0.1654165,0.1149783,0.0000000,1.1984634,8.0357749960000007,0.9358699917793274,0.0055700540542603,0,0,0.0000000
sift-128-euclidean,2000,26,7,1.0000000,962854,32039,14389985,8728875,0.0041344,0.1686323,0.1171481,0.0000000,1.2037237,9.3551678130000013,0.9426199793815613,0.0049113035202026,0,0,0.0000000
sift-128-euclidean,2000,28,7,1.0000000,1093825,32374,15720824,9593308,0.0038654,0.1715362,0.1191086,0.0000000,1.2085408,9.5996543360000004,0.9487499594688416,0.0043177604675293,0,0,0.0000000
sift-128-euclidean,2000,32,7,1.0000000,1399804,32797,18435729,11357826,0.0034242,0.1770584,0.1228653,0.0000000,1.2177131,10.7723276680000009,0.9576199650764465,0.0034828186035156,0,0,0.0000000
sift-128-euclidean,2000,40,7,1.0000000,2077159,33203,24027419,14994424,0.0027967,0.1866778,0.1294290,0.0000000,1.2335179,13.1958725010000002,0.9706899523735046,0.0022914409637451,0,0,0.0000000
sift-128-euclidean,2000,48,7,1.0000000,2860967,33397,29814597,18750005,0.0023701,0.1950567,0.1351009,0.0000000,1.2471318,15.7395947690000018,0.9788099527359009,0.0015947818756104,0,0,0.0000000
sift-128-euclidean,2000,56,7,1.0000000,3736003,33471,35750462,22592537,0.0020609,0.2024659,0.1400801,0.0000000,1.2590748,18.2317078129999999,0.9840999841690063,0.0011843442916870,0,0,0.0000000
sift-128-euclidean,2000,64,7,1.0000000,4758477,33532,41832678,26498924,0.0018257,0.2091797,0.1445290,0.0000000,1.2699949,20.7495056560000002,0.9876999855041504,0.0009036064147949,0,0,0.0000000
sift-128-euclidean,2000,80,7,1.0000000,7064328,33614,54330739,34448721,0.0014924,0.2210445,0.1522598,0.0000000,1.2890898,27.0791388560000001,0.9922099709510803,0.0005524158477783,0,0,0.0000000
sift-128-euclidean,2000,96,7,1.0000000,9780727,33650,67192275,42521913,0.0012667,0.2313544,0.1587930,0.0000000,1.3057353,32.6759996609999988,0.9949199557304382,0.0003275871276855,0,0,0.0000000
sift-128-euclidean,2000,112,7,1.0000000,12946468,33672,80355814,50660991,0.0011035,0.2405909,0.1644986,0.0000000,1.3207544,35.8173240580000041,0.9964499473571777,0.0001968145370483,0,0,0.0000000
sift-128-euclidean,2000,128,7,1.0000000,16431404,33683,93815800,58880695,0.0009798,0.2490966,0.1696612,0.0000000,1.3345132,40.5729980880000056,0.9972499608993530,0.0001443624496460,0,0,0.0000000
