dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
contriever-768,994,2,0,1.0000000,0,0,0,0,0.0123804,0.0000000,0.0000000,0.0000000,1.0000000,1.0557612750000001,0.7211599946022034,0.0305454730987549
contriever-768,994,2,1,1.0000000,0,0,0,0,0.0123804,0.0000000,0.0000000,0.0000000,1.0000000,0.9959958910000001,0.7211599946022034,0.0305454730987549
contriever-768,994,2,7,1.0000000,0,0,12745,234,0.0123859,0.0010620,0.0043638,0.0000000,1.0004498,0.9675731810000001,0.7211599946022034,0.0305454730987549
contriever-768,994,4,0,1.0000000,0,0,0,0,0.0065717,0.0000000,0.0000000,0.0000000,1.0000000,1.7646074910000000,0.8268499970436096,0.0149739980697632
contriever-768,994,4,1,1.0000000,0,0,0,0,0.0065717,0.0000000,0.0000000,0.0000000,1.0000000,1.7260655630000001,0.8268499970436096,0.0149739980697632
contriever-768,994,4,7,1.0000000,0,0,35793,835,0.0065759,0.0014416,0.0029689,0.0000000,1.0006372,1.7882146030000001,0.8268499970436096,0.0149739980697632
contriever-768,994,6,0,1.0000000,0,0,0,0,0.0044757,0.0000000,0.0000000,0.0000000,1.0000000,2.5625042930000004,0.8722499608993530,0.0097228288650513
contriever-768,994,6,1,1.0000000,0,0,0,0,0.0044757,0.0000000,0.0000000,0.0000000,1.0000000,2.5812085390000004,0.8722499608993530,0.0097228288650513
contriever-768,994,6,7,1.0000000,0,0,62230,1354,0.0044790,0.0016574,0.0019669,0.0000000,1.0007389,2.7190617230000003,0.8722499608993530,0.0097228288650513
contriever-768,994,8,0,1.0000000,0,0,0,0,0.0033980,0.0000000,0.0000000,0.0000000,1.0000000,3.4024910940000002,0.8984499573707581,0.0070476531982422
contriever-768,994,8,1,1.0000000,0,0,0,0,0.0033980,0.0000000,0.0000000,0.0000000,1.0000000,3.4684340590000002,0.8984499573707581,0.0070476531982422
contriever-768,994,8,7,1.0000000,0,0,90369,2069,0.0034007,0.0017853,0.0016648,0.0000000,1.0008073,3.5502737380000000,0.8984499573707581,0.0070476531982422
