dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
deep-image-96-angular,3160,2,0,1.0000000,0,0,0,0,0.0078484,0.0000000,0.0000000,0.0000000,1.0000000,0.3611229230000000,0.5910499691963196,0.0581318140029907
deep-image-96-angular,3160,2,1,1.0000000,209645,54649,0,0,0.0078775,0.0000000,0.0000000,0.0000000,1.0037049,0.3408550710000000,0.5910499691963196,0.0581318140029907
deep-image-96-angular,3160,2,7,1.0000000,209645,54649,1226444,1806132,0.0082272,0.0218034,0.0304503,0.0000000,1.0482677,0.4913731750000001,0.5910499691963196,0.0581318140029907
deep-image-96-angular,3160,4,0,1.0000000,0,0,0,0,0.0041704,0.0000000,0.0000000,0.0000000,1.0000000,0.6797265300000001,0.7418400049209595,0.0305966138839722
deep-image-96-angular,3160,4,1,1.0000000,821411,124108,0,0,0.0041983,0.0000000,0.0000000,0.0000000,1.0066911,0.6681256530000000,0.7418400049209595,0.0305966138839722
deep-image-96-angular,3160,4,7,1.0000000,821411,124108,2915899,5709570,0.0044712,0.0257052,0.0336982,0.0000000,1.0721339,1.0273610000000000,0.7418400049209595,0.0305966138839722
deep-image-96-angular,3160,6,0,1.0000000,0,0,0,0,0.0028568,0.0000000,0.0000000,0.0000000,1.0000000,0.9053967810000001,0.8128199577331543,0.0205019712448120
deep-image-96-angular,3160,6,1,1.0000000,1880817,165223,0,0,0.0028846,0.0000000,0.0000000,0.0000000,1.0097542,0.8379896600000001,0.8128199577331543,0.0205019712448120
deep-image-96-angular,3160,6,7,1.0000000,1880817,165223,4784446,10448330,0.0031105,0.0287961,0.0370774,0.0000000,1.0888245,1.4165260210000001,0.8128199577331543,0.0205019712448120
deep-image-96-angular,3160,8,0,1.0000000,0,0,0,0,0.0021802,0.0000000,0.0000000,0.0000000,1.0000000,1.1256592140000001,0.8553999662399292,0.0150172710418701
deep-image-96-angular,3160,8,1,1.0000000,2951943,200478,0,0,0.0022050,0.0000000,0.0000000,0.0000000,1.0113666,1.0744014430000000,0.8553999662399292,0.0150172710418701
deep-image-96-angular,3160,8,7,1.0000000,2951943,200478,6814497,15764954,0.0024004,0.0313666,0.0401199,0.0000000,1.1010039,1.8233494160000001,0.8553999662399292,0.0150172710418701
deep-image-96-angular,3160,10,0,1.0000000,0,0,0,0,0.0017643,0.0000000,0.0000000,0.0000000,1.0000000,1.3342533870000002,0.8837999701499939,0.0117084980010986
deep-image-96-angular,3160,10,1,1.0000000,4187777,225558,0,0,0.0017870,0.0000000,0.0000000,0.0000000,1.0128111,1.4035411760000001,0.8837999701499939,0.0117084980010986
deep-image-96-angular,3160,10,7,1.0000000,4187777,225558,8969032,21545459,0.0019606,0.0337133,0.0429764,0.0000000,1.1112431,2.2749299740000000,0.8837999701499939,0.0117084980010986
deep-image-96-angular,3160,12,0,1.0000000,0,0,0,0,0.0014835,0.0000000,0.0000000,0.0000000,1.0000000,1.5742992090000001,0.9048799872398376,0.0094300508499146
deep-image-96-angular,3160,12,1,1.0000000,5468731,246563,0,0,0.0015041,0.0000000,0.0000000,0.0000000,1.0139012,1.5410808280000001,0.9048799872398376,0.0094300508499146
deep-image-96-angular,3160,12,7,1.0000000,5468731,246563,11214268,27657452,0.0016611,0.0358563,0.0455952,0.0000000,1.1197734,2.6170849530000000,0.9048799872398376,0.0094300508499146
deep-image-96-angular,3160,14,0,1.0000000,0,0,0,0,0.0012808,0.0000000,0.0000000,0.0000000,1.0000000,1.7773510750000001,0.9192699790000916,0.0078272819519043
deep-image-96-angular,3160,14,1,1.0000000,6911483,260885,0,0,0.0013000,0.0000000,0.0000000,0.0000000,1.0150317,1.7648418420000000,0.9192699790000916,0.0078272819519043
deep-image-96-angular,3160,14,7,1.0000000,6911483,260885,13557271,34025196,0.0014440,0.0378431,0.0479802,0.0000000,1.1274651,2.9376223960000001,0.9192699790000916,0.0078272819519043
deep-image-96-angular,3160,16,0,1.0000000,0,0,0,0,0.0011270,0.0000000,0.0000000,0.0000000,1.0000000,2.0171524540000001,0.9297699928283691,0.0067222118377686
deep-image-96-angular,3160,16,1,1.0000000,8468139,274330,0,0,0.0011452,0.0000000,0.0000000,0.0000000,1.0161040,2.0202609410000001,0.9297699928283691,0.0067222118377686
deep-image-96-angular,3160,16,7,1.0000000,8468139,274330,15971557,40630515,0.0012785,0.0397459,0.0501883,0.0000000,1.1343786,3.3003162840000000,0.9297699928283691,0.0067222118377686
deep-image-96-angular,3160,18,0,1.0000000,0,0,0,0,0.0010069,0.0000000,0.0000000,0.0000000,1.0000000,2.2889628730000000,0.9382799863815308,0.0058147907257080
deep-image-96-angular,3160,18,1,1.0000000,10097571,287288,0,0,0.0010241,0.0000000,0.0000000,0.0000000,1.0170770,2.2377824950000003,0.9382799863815308,0.0058147907257080
deep-image-96-angular,3160,18,7,1.0000000,10097571,287288,18516764,47471364,0.0011488,0.0416314,0.0522857,0.0000000,1.1408759,3.6888939120000002,0.9382799863815308,0.0058147907257080
