dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
fashion-mnist-784-euclidean,244,2,0,1.0000000,0,0,0,0,0.0566366,0.0000000,0.0000000,0.0000000,1.0000000,0.1799666600000000,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,1,1.0000000,640,7419,0,0,0.0567136,0.0000000,0.0000000,0.0000000,1.0013596,0.1663995040000000,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,7,1.0000000,640,7419,46709,99326,0.0581461,0.0182929,0.0425176,0.0000000,1.0266522,0.2053268220000000,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,4,0,1.0000000,0,0,0,0,0.0298026,0.0000000,0.0000000,0.0000000,1.0000000,0.3269433520000000,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,1,1.0000000,14383,17133,0,0,0.0298824,0.0000000,0.0000000,0.0000000,1.0026773,0.2710331170000000,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,7,1.0000000,14383,17133,195201,482284,0.0317072,0.0344519,0.0580334,0.0000000,1.0639081,0.2805755860000000,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,6,0,1.0000000,0,0,0,0,0.0202449,0.0000000,0.0000000,0.0000000,1.0000000,0.4036335860000000,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,1,1.0000000,63624,23549,0,0,0.0203460,0.0000000,0.0000000,0.0000000,1.0049928,0.4049814700000000,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,7,1.0000000,63624,23549,441391,995830,0.0221710,0.0510312,0.0707232,0.0000000,1.0951418,0.4070564240000000,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,8,0,1.0000000,0,0,0,0,0.0153360,0.0000000,0.0000000,0.0000000,1.0000000,0.5326003210000000,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,1,1.0000000,176672,27677,0,0,0.0154721,0.0000000,0.0000000,0.0000000,1.0088724,0.5332774830000000,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,7,1.0000000,176672,27677,781629,1574919,0.0172355,0.0683304,0.0818136,0.0000000,1.1238612,0.5704859720000001,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,10,0,1.0000000,0,0,0,0,0.0123780,0.0000000,0.0000000,0.0000000,1.0000000,0.6761737850000000,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,1,1.0000000,368388,30476,0,0,0.0125516,0.0000000,0.0000000,0.0000000,1.0140311,0.6571365570000001,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,7,1.0000000,368388,30476,1195401,2184295,0.0142452,0.0858918,0.0918056,0.0000000,1.1508560,0.6395857760000000,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,12,0,1.0000000,0,0,0,0,0.0104001,0.0000000,0.0000000,0.0000000,1.0000000,0.7988165010000000,0.9970499873161316,0.0004317760467529
fashion-mnist-784-euclidean,244,12,1,1.0000000,652050,32532,0,0,0.0106117,0.0000000,0.0000000,0.0000000,1.0203481,0.7691621830000001,0.9970499873161316,0.0004317760467529
fashion-mnist-784-euclidean,244,12,7,1.0000000,652050,32532,1668561,2804354,0.0122389,0.1030338,0.1008908,0.0000000,1.1768038,0.7354422780000001,0.9970499873161316,0.0004317760467529
fashion-mnist-784-euclidean,244,14,0,1.0000000,0,0,0,0,0.0089730,0.0000000,0.0000000,0.0000000,1.0000000,0.9077806380000001,0.9981899857521057,0.0002832412719727
fashion-mnist-784-euclidean,244,14,1,1.0000000,1065355,34011,0,0,0.0092279,0.0000000,0.0000000,0.0000000,1.0284061,0.9134440780000000,0.9981899857521057,0.0002832412719727
fashion-mnist-784-euclidean,244,14,7,1.0000000,1065355,34011,2183331,3422579,0.0107909,0.1193330,0.1089372,0.0000000,1.2026018,0.8321593130000000,0.9981899857521057,0.0002832412719727
fashion-mnist-784-euclidean,244,16,0,1.0000000,0,0,0,0,0.0079024,0.0000000,0.0000000,0.0000000,1.0000000,1.0327673470000001,0.9987999796867371,0.0002043247222900
fashion-mnist-784-euclidean,244,16,1,1.0000000,1594453,35181,0,0,0.0081980,0.0000000,0.0000000,0.0000000,1.0374012,1.0046161160000000,0.9987999796867371,0.0002043247222900
fashion-mnist-784-euclidean,244,16,7,1.0000000,1594453,35181,2725071,4033976,0.0097032,0.1345607,0.1162483,0.0000000,1.2278750,0.9390732460000001,0.9987999796867371,0.0002043247222900
fashion-mnist-784-euclidean,244,18,0,1.0000000,0,0,0,0,0.0070608,0.0000000,0.0000000,0.0000000,1.0000000,1.1651429360000001,0.9992100000381470,0.0001264810562134
fashion-mnist-784-euclidean,244,18,1,1.0000000,2251158,36052,0,0,0.0073951,0.0000000,0.0000000,0.0000000,1.0473466,1.1886430360000000,0.9992100000381470,0.0001264810562134
fashion-mnist-784-euclidean,244,18,7,1.0000000,2251158,36052,3283933,4640312,0.0088462,0.1490732,0.1229508,0.0000000,1.2528617,1.0195031430000001,0.9992100000381470,0.0001264810562134
fashion-mnist-784-euclidean,244,20,0,1.0000000,0,0,0,0,0.0063865,0.0000000,0.0000000,0.0000000,1.0000000,1.2676940750000001,0.9994199872016907,0.0001087188720703
fashion-mnist-784-euclidean,244,20,1,1.0000000,3016033,36792,0,0,0.0067552,0.0000000,0.0000000,0.0000000,1.0577227,1.2124351380000000,0.9994199872016907,0.0001087188720703
fashion-mnist-784-euclidean,244,20,7,1.0000000,3016033,36792,3857188,5240710,0.0081586,0.1625998,0.1291246,0.0000000,1.2774780,1.0977198920000000,0.9994199872016907,0.0001087188720703
fashion-mnist-784-euclidean,244,22,0,1.0000000,0,0,0,0,0.0058355,0.0000000,0.0000000,0.0000000,1.0000000,1.4256666220000001,0.9996399879455566,0.0000680685043335
fashion-mnist-784-euclidean,244,22,1,1.0000000,3932408,37425,0,0,0.0062401,0.0000000,0.0000000,0.0000000,1.0693334,1.2924077580000002,0.9996399879455566,0.0000680685043335
