dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
fashion-mnist-784-euclidean,244,2,0,1.0000000,0,0,0,0,0.0566366,0.0000000,0.0000000,0.0000000,1.0000000,7.0271974940000002,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,1,1.0000000,640,7419,0,0,0.0567136,0.0000000,0.0000000,0.0000000,1.0013596,7.0425822380000005,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,2,1.0000000,0,0,75332,0,0.0573647,0.0278533,0.0000000,0.0000000,1.0128543,7.1048536840000001,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,4,1.0000000,0,0,0,132074,0.0579255,0.0000000,0.0430505,0.0000000,1.0227569,6.8134664770000004,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,3,1.0000000,640,7419,74638,0,0.0574368,0.0277885,0.0000000,0.0000000,1.0141288,6.8341920580000002,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,5,1.0000000,640,7419,0,131556,0.0580009,0.0000000,0.0430767,0.0000000,1.0240875,6.7734870110000003,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,2,7,1.0000000,640,7419,46709,99326,0.0581461,0.0182929,0.0425178,0.0000000,1.0266522,6.9266780690000003,0.8370099663734436,0.0237858295440674
fashion-mnist-784-euclidean,244,4,0,1.0000000,0,0,0,0,0.0298026,0.0000000,0.0000000,0.0000000,1.0000000,11.6015673250000013,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,1,1.0000000,14383,17133,0,0,0.0298824,0.0000000,0.0000000,0.0000000,1.0026773,11.3103768960000011,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,2,1.0000000,0,0,344776,0,0.0306993,0.0561360,0.0000000,0.0000000,1.0300896,11.4404518280000005,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,4,1.0000000,0,0,0,660201,0.0315683,0.0000000,0.0589150,0.0000000,1.0592487,11.3704451830000011,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,3,1.0000000,14383,17133,333321,0,0.0307532,0.0559196,0.0000000,0.0000000,1.0318962,11.6253969870000002,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,5,1.0000000,14383,17133,0,649860,0.0316284,0.0000000,0.0587474,0.0000000,1.0612655,11.3874953030000015,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,4,7,1.0000000,14383,17133,195201,482284,0.0317072,0.0344519,0.0580334,0.0000000,1.0639081,10.7123760580000003,0.9516399502754211,0.0060963630676270
fashion-mnist-784-euclidean,244,6,0,1.0000000,0,0,0,0,0.0202449,0.0000000,0.0000000,0.0000000,1.0000000,15.4006983670000004,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,1,1.0000000,63624,23549,0,0,0.0203460,0.0000000,0.0000000,0.0000000,1.0049928,15.3970883690000004,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,2,1.0000000,0,0,783289,0,0.0211909,0.0805183,0.0000000,0.0000000,1.0467260,14.9118076660000014,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,4,1.0000000,0,0,0,1430319,0.0220416,0.0000000,0.0724366,0.0000000,1.0887492,13.8193698740000013,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,3,1.0000000,63624,23549,735979,0,0.0212414,0.0800258,0.0000000,0.0000000,1.0492210,14.7808179660000008,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,5,1.0000000,63624,23549,0,1384857,0.0220988,0.0000000,0.0718956,0.0000000,1.0915743,14.6551611590000004,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,6,7,1.0000000,63624,23549,441393,995828,0.0221710,0.0510311,0.0707231,0.0000000,1.0951418,14.6150722700000006,0.9809699654579163,0.0023981332778931
fashion-mnist-784-euclidean,244,8,0,1.0000000,0,0,0,0,0.0153360,0.0000000,0.0000000,0.0000000,1.0000000,20.5130403220000019,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,1,1.0000000,176672,27677,0,0,0.0154721,0.0000000,0.0000000,0.0000000,1.0088724,20.0186600370000001,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,2,1.0000000,0,0,1387813,0,0.0163101,0.1034035,0.0000000,0.0000000,1.0635195,19.6070824730000020,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,4,1.0000000,0,0,0,2385133,0.0170903,0.0000000,0.0846111,0.0000000,1.1143878,17.8460340970000004,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,3,1.0000000,176672,27677,1262133,0,0.0163691,0.1024097,0.0000000,0.0000000,1.0673627,18.8273567240000013,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,5,1.0000000,176672,27677,0,2260315,0.0171557,0.0000000,0.0835026,0.0000000,1.1186545,18.5002026810000011,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,8,7,1.0000000,176672,27677,781631,1574917,0.0172355,0.0683303,0.0818135,0.0000000,1.1238612,18.2770345320000018,0.9909600019454956,0.0011885166168213
fashion-mnist-784-euclidean,244,10,0,1.0000000,0,0,0,0,0.0123780,0.0000000,0.0000000,0.0000000,1.0000000,25.1790150300000022,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,1,1.0000000,368388,30476,0,0,0.0125516,0.0000000,0.0000000,0.0000000,1.0140311,24.9355368640000030,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,2,1.0000000,0,0,2132110,0,0.0133666,0.1252934,0.0000000,0.0000000,1.0798726,23.9251982430000005,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,4,1.0000000,0,0,0,3474064,0.0140741,0.0000000,0.0959414,0.0000000,1.1370335,22.7547334800000023,0.9950699806213379,0.0006726980209351
fashion-mnist-784-euclidean,244,10,3,1.0000000,368388,30476,1876425,0,0.0134387,0.1236166,0.0000000,0.0000000,1.0856960,23.7788599779999998,0.9950699806213379,0.0006726980209351
