dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
gist-960-euclidean,1000,2,0,1.0000000,0,0,0,0,0.0144805,0.0000000,0.0000000,0.0000000,1.0000000,0.1477575300000000,0.3577999770641327,0.0546009540557861
gist-960-euclidean,1000,2,1,1.0000000,724,1095,0,0,0.0144900,0.0000000,0.0000000,0.0000000,1.0006536,0.1260028130000000,0.3577999770641327,0.0546009540557861
gist-960-euclidean,1000,2,7,1.0000000,724,1095,78640,2076,0.0149229,0.0462399,0.0333528,0.0000000,1.0305479,0.1428074540000000,0.3577999770641327,0.0546009540557861
gist-960-euclidean,1000,4,0,1.0000000,0,0,0,0,0.0079750,0.0000000,0.0000000,0.0000000,1.0000000,0.2899458690000000,0.5022000074386597,0.0324746370315552
gist-960-euclidean,1000,4,1,1.0000000,3298,3285,0,0,0.0079843,0.0000000,0.0000000,0.0000000,1.0011684,0.2674621760000000,0.5022000074386597,0.0324746370315552
gist-960-euclidean,1000,4,7,1.0000000,3298,3285,171643,10307,0.0082507,0.0485888,0.0335237,0.0000000,1.0345773,0.2472663160000000,0.5022000074386597,0.0324746370315552
gist-960-euclidean,1000,6,0,1.0000000,0,0,0,0,0.0055534,0.0000000,0.0000000,0.0000000,1.0000000,0.3768820640000000,0.5990999937057495,0.0228208303451538
gist-960-euclidean,1000,6,1,1.0000000,9181,5017,0,0,0.0055627,0.0000000,0.0000000,0.0000000,1.0016738,0.3960239350000000,0.5990999937057495,0.0228208303451538
gist-960-euclidean,1000,6,7,1.0000000,9181,5017,270365,22078,0.0057613,0.0501333,0.0337020,0.0000000,1.0374401,0.3472702270000000,0.5990999937057495,0.0228208303451538
gist-960-euclidean,1000,8,0,1.0000000,0,0,0,0,0.0042777,0.0000000,0.0000000,0.0000000,1.0000000,0.4883870310000000,0.6617999672889709,0.0176131725311279
gist-960-euclidean,1000,8,1,1.0000000,17355,6306,0,0,0.0042866,0.0000000,0.0000000,0.0000000,1.0020900,0.5069037120000001,0.6617999672889709,0.0176131725311279
gist-960-euclidean,1000,8,7,1.0000000,17355,6306,371288,38610,0.0044477,0.0509952,0.0338283,0.0000000,1.0397346,0.4814889860000000,0.6617999672889709,0.0176131725311279
