dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
glove-200-angular,1087,2,0,1.0000000,0,0,0,0,0.0052312,0.0000000,0.0000000,0.0000000,1.0000000,0.5151762480000001,0.3038399815559387,0.0752660036087036
glove-200-angular,1087,2,1,1.0000000,1,148549,0,0,0.0052429,0.0000000,0.0000000,0.0000000,1.0022312,0.5145484120000000,0.3038399815559387,0.0752660036087036
glove-200-angular,1087,2,7,1.0000000,1,148549,37368,17136,0.0052472,0.0009890,0.0065714,0.0000000,1.0030525,0.6195375530000000,0.3038399815559387,0.0752660036087036
glove-200-angular,1087,4,0,1.0000000,0,0,0,0,0.0029448,0.0000000,0.0000000,0.0000000,1.0000000,1.0182695110000000,0.3763899803161621,0.0517301559448242
glove-200-angular,1087,4,1,1.0000000,1813,507133,0,0,0.0029559,0.0000000,0.0000000,0.0000000,1.0037836,0.9923337120000001,0.3763899803161621,0.0517301559448242
glove-200-angular,1087,4,7,1.0000000,1813,507133,74896,39887,0.0029585,0.0009470,0.0041948,0.0000000,1.0046409,1.1048336170000002,0.3763899803161621,0.0517301559448242
glove-200-angular,1087,6,0,1.0000000,0,0,0,0,0.0020757,0.0000000,0.0000000,0.0000000,1.0000000,1.4487498720000000,0.4180199801921844,0.0413935184478760
glove-200-angular,1087,6,1,1.0000000,3522,891476,0,0,0.0020849,0.0000000,0.0000000,0.0000000,1.0044037,1.4317371130000001,0.4180199801921844,0.0413935184478760
glove-200-angular,1087,6,7,1.0000000,3522,891476,110029,62529,0.0020866,0.0009036,0.0029756,0.0000000,1.0052571,1.6934799320000000,0.4180199801921844,0.0413935184478760
glove-200-angular,1087,8,0,1.0000000,0,0,0,0,0.0016160,0.0000000,0.0000000,0.0000000,1.0000000,1.9557251660000001,0.4501099884510040,0.0349637269973755
glove-200-angular,1087,8,1,1.0000000,6638,1270174,0,0,0.0016236,0.0000000,0.0000000,0.0000000,1.0046872,1.9239437720000001,0.4501099884510040,0.0349637269973755
glove-200-angular,1087,8,7,1.0000000,6638,1270174,154698,85076,0.0016250,0.0009418,0.0024295,0.0000000,1.0055724,2.2630854510000002,0.4501099884510040,0.0349637269973755
glove-200-angular,1087,10,0,1.0000000,0,0,0,0,0.0013294,0.0000000,0.0000000,0.0000000,1.0000000,2.4407173780000000,0.4767099916934967,0.0304166078567505
glove-200-angular,1087,10,1,1.0000000,11413,1634359,0,0,0.0013358,0.0000000,0.0000000,0.0000000,1.0048131,2.3904026580000002,0.4767099916934967,0.0304166078567505
glove-200-angular,1087,10,7,1.0000000,11413,1634359,200570,113894,0.0013370,0.0009599,0.0021304,0.0000000,1.0057380,2.8268238980000002,0.4767099916934967,0.0304166078567505
glove-200-angular,1087,12,0,1.0000000,0,0,0,0,0.0011322,0.0000000,0.0000000,0.0000000,1.0000000,2.9172593080000002,0.5005999803543091,0.0269516706466675
glove-200-angular,1087,12,1,1.0000000,14379,2010568,0,0,0.0011378,0.0000000,0.0000000,0.0000000,1.0049157,2.9001315350000003,0.5005999803543091,0.0269516706466675
glove-200-angular,1087,12,7,1.0000000,14379,2010568,246618,139023,0.0011388,0.0009712,0.0018790,0.0000000,1.0058575,3.5919424770000004,0.5005999803543091,0.0269516706466675
glove-200-angular,1087,14,0,1.0000000,0,0,0,0,0.0009895,0.0000000,0.0000000,0.0000000,1.0000000,3.5138268760000004,0.5250299572944641,0.0240370035171509
glove-200-angular,1087,14,1,1.0000000,18596,2395543,0,0,0.0009945,0.0000000,0.0000000,0.0000000,1.0050012,3.3899125690000003,0.5250299572944641,0.0240370035171509
glove-200-angular,1087,14,7,1.0000000,18596,2395543,297646,164318,0.0009954,0.0009920,0.0017054,0.0000000,1.0059639,3.9935407330000001,0.5250299572944641,0.0240370035171509
glove-200-angular,1087,16,0,1.0000000,0,0,0,0,0.0008806,0.0000000,0.0000000,0.0000000,1.0000000,3.9213861990000001,0.5463199615478516,0.0216068029403687
glove-200-angular,1087,16,1,1.0000000,27552,2786476,0,0,0.0008851,0.0000000,0.0000000,0.0000000,1.0050846,3.9233654300000000,0.5463199615478516,0.0216068029403687
glove-200-angular,1087,16,7,1.0000000,27552,2786476,352807,190897,0.0008860,0.0010191,0.0015837,0.0000000,1.0060730,4.6024660840000005,0.5463199615478516,0.0216068029403687
glove-200-angular,1087,18,0,1.0000000,0,0,0,0,0.0007948,0.0000000,0.0000000,0.0000000,1.0000000,4.4193158860000006,0.5655599832534790,0.0196098089218140
glove-200-angular,1087,18,1,1.0000000,29441,3143949,0,0,0.0007989,0.0000000,0.0000000,0.0000000,1.0050874,4.3770226130000003,0.5655599832534790,0.0196098089218140
glove-200-angular,1087,18,7,1.0000000,29441,3143949,409184,217717,0.0007997,0.0010421,0.0014834,0.0000000,1.0060985,5.2169840260000004,0.5655599832534790,0.0196098089218140
glove-200-angular,1087,20,0,1.0000000,0,0,0,0,0.0007244,0.0000000,0.0000000,0.0000000,1.0000000,4.8702305670000001,0.5833199620246887,0.0179327726364136
glove-200-angular,1087,20,1,1.0000000,35132,3523081,0,0,0.0007281,0.0000000,0.0000000,0.0000000,1.0051215,4.8581241940000002,0.5833199620246887,0.0179327726364136
glove-200-angular,1087,20,7,1.0000000,35132,3523081,473342,249300,0.0007289,0.0010803,0.0014257,0.0000000,1.0061680,5.9795328190000001,0.5833199620246887,0.0179327726364136
glove-200-angular,1087,22,0,1.0000000,0,0,0,0,0.0006668,0.0000000,0.0000000,0.0000000,1.0000000,5.5047319610000001,0.6029099822044373,0.0163537263870239
glove-200-angular,1087,22,1,1.0000000,46988,3908451,0,0,0.0006703,0.0000000,0.0000000,0.0000000,1.0051620,5.4175005270000005,0.6029099822044373,0.0163537263870239
glove-200-angular,1087,22,7,1.0000000,46988,3908451,537907,284371,0.0006710,0.0011114,0.0013762,0.0000000,1.0062417,6.4300699980000005,0.6029099822044373,0.0163537263870239
glove-200-angular,1087,24,0,1.0000000,0,0,0,0,0.0006183,0.0000000,0.0000000,0.0000000,1.0000000,6.0358224260000002,0.6211099624633789,0.0149277448654175
glove-200-angular,1087,24,1,1.0000000,50972,4275181,0,0,0.0006215,0.0000000,0.0000000,0.0000000,1.0051612,5.9317977060000002,0.6211099624633789,0.0149277448654175
glove-200-angular,1087,24,7,1.0000000,50972,4275181,600822,314298,0.0006221,0.0011282,0.0013128,0.0000000,1.0062598,7.1094835100000005,0.6211099624633789,0.0149277448654175
glove-200-angular,1087,26,0,1.0000000,0,0,0,0,0.0005763,0.0000000,0.0000000,0.0000000,1.0000000,6.4678432040000002,0.6369799971580505,0.0137754678726196
glove-200-angular,1087,26,1,1.0000000,58611,4670100,0,0,0.0005793,0.0000000,0.0000000,0.0000000,1.0051978,6.3226684220000005,0.6369799971580505,0.0137754678726196
glove-200-angular,1087,26,7,1.0000000,58611,4670100,670434,347240,0.0005799,0.0011592,0.0012734,0.0000000,1.0063235,7.7366127290000009,0.6369799971580505,0.0137754678726196
glove-200-angular,1087,28,0,1.0000000,0,0,0,0,0.0005401,0.0000000,0.0000000,0.0000000,1.0000000,6.9417150900000006,0.6529200077056885,0.0127289295196533
glove-200-angular,1087,28,1,1.0000000,64034,5049476,0,0,0.0005430,0.0000000,0.0000000,0.0000000,1.0052102,6.8207639050000006,0.6529200077056885,0.0127289295196533
glove-200-angular,1087,28,7,1.0000000,64034,5049476,741915,387252,0.0005436,0.0011865,0.0012489,0.0000000,1.0063680,8.3620508040000008,0.6529200077056885,0.0127289295196533
glove-200-angular,1087,32,0,1.0000000,0,0,0,0,0.0004798,0.0000000,0.0000000,0.0000000,1.0000000,7.8526723100000009,0.6806199550628662,0.0110127925872803
glove-200-angular,1087,32,1,1.0000000,75949,5786708,0,0,0.0004823,0.0000000,0.0000000,0.0000000,1.0052099,7.8565717770000001,0.6806199550628662,0.0110127925872803
glove-200-angular,1087,32,7,1.0000000,75949,5786708,877481,454693,0.0004828,0.0012224,0.0011701,0.0000000,1.0064013,9.6019560640000012,0.6806199550628662,0.0110127925872803
