dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
instructorxl-arxiv-768,1500,2,0,1.0000000,0,0,0,0,0.0128959,0.0000000,0.0000000,0.0000000,1.0000000,0.1509463300000000,0.6505999565124512,0.0426282882690430
instructorxl-arxiv-768,1500,2,1,1.0000000,0,0,0,0,0.0128959,0.0000000,0.0000000,0.0000000,1.0000000,0.1394455310000000,0.6505999565124512,0.0426282882690430
instructorxl-arxiv-768,1500,2,7,1.0000000,0,0,8622,194,0.0129288,0.0031083,0.0028231,0.0000000,1.0025529,0.1363440460000000,0.6505999565124512,0.0426282882690430
instructorxl-arxiv-768,1500,4,0,1.0000000,0,0,0,0,0.0069081,0.0000000,0.0000000,0.0000000,1.0000000,0.2533403210000000,0.7843999862670898,0.0228389501571655
instructorxl-arxiv-768,1500,4,1,1.0000000,0,0,0,0,0.0069081,0.0000000,0.0000000,0.0000000,1.0000000,0.2499512530000000,0.7843999862670898,0.0228389501571655
instructorxl-arxiv-768,1500,4,7,1.0000000,0,0,20482,741,0.0069296,0.0036743,0.0025067,0.0000000,1.0031161,0.2624174170000000,0.7843999862670898,0.0228389501571655
instructorxl-arxiv-768,1500,6,0,1.0000000,0,0,0,0,0.0047309,0.0000000,0.0000000,0.0000000,1.0000000,0.3697834760000000,0.8421999812126160,0.0152390003204346
instructorxl-arxiv-768,1500,6,1,1.0000000,0,0,0,0,0.0047309,0.0000000,0.0000000,0.0000000,1.0000000,0.3900160940000000,0.8421999812126160,0.0152390003204346
instructorxl-arxiv-768,1500,6,7,1.0000000,0,0,33772,1648,0.0047474,0.0040689,0.0026038,0.0000000,1.0034912,0.3814387840000000,0.8421999812126160,0.0152390003204346
instructorxl-arxiv-768,1500,8,0,1.0000000,0,0,0,0,0.0036040,0.0000000,0.0000000,0.0000000,1.0000000,0.4758675540000000,0.8751999735832214,0.0117366313934326
instructorxl-arxiv-768,1500,8,1,1.0000000,5,0,0,0,0.0036040,0.0000000,0.0000000,0.0000000,1.0000004,0.4676060860000000,0.8751999735832214,0.0117366313934326
instructorxl-arxiv-768,1500,8,7,1.0000000,5,0,48131,2711,0.0036177,0.0043874,0.0026730,0.0000000,1.0037817,0.4849537700000000,0.8751999735832214,0.0117366313934326
instructorxl-arxiv-768,1500,10,0,1.0000000,0,0,0,0,0.0029107,0.0000000,0.0000000,0.0000000,1.0000000,0.5773268090000000,0.8986999988555908,0.0089700222015381
instructorxl-arxiv-768,1500,10,1,1.0000000,282,0,0,0,0.0029107,0.0000000,0.0000000,0.0000000,1.0000168,0.5707391820000001,0.8986999988555908,0.0089700222015381
instructorxl-arxiv-768,1500,10,7,1.0000000,282,0,63272,4021,0.0029224,0.0046131,0.0027310,0.0000000,1.0040320,0.6054466830000000,0.8986999988555908,0.0089700222015381
instructorxl-arxiv-768,1500,12,0,1.0000000,0,0,0,0,0.0024436,0.0000000,0.0000000,0.0000000,1.0000000,0.6885663990000001,0.9126999974250793,0.0073521137237549
instructorxl-arxiv-768,1500,12,1,1.0000000,285,0,0,0,0.0024437,0.0000000,0.0000000,0.0000000,1.0000142,0.6675210590000000,0.9126999974250793,0.0073521137237549
instructorxl-arxiv-768,1500,12,7,1.0000000,285,0,79517,5730,0.0024541,0.0048443,0.0028361,0.0000000,1.0042683,0.6995489890000001,0.9126999974250793,0.0073521137237549
instructorxl-arxiv-768,1500,14,0,1.0000000,0,0,0,0,0.0021091,0.0000000,0.0000000,0.0000000,1.0000000,0.7878213500000001,0.9253000020980835,0.0062971115112305
