dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
msong-420,991,2,0,1,0,0,0,0,0.0141548,0,0,0,1,0.0913048900000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,1,1,7808,9428,0,0,0.01423,0,0,0,1.0053116,0.0875691030000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,2,1,0,0,29525,0,0.0142841,0.0177614,0,0,1.0091332,0.0883480430000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,4,1,0,0,0,51498,0.0143818,0,0.0196714,0,1.0160394,0.0911471100000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,3,1,7808,9428,25810,0,0.0143441,0.0164633,0,0,1.0133718,0.0999711730000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,5,1,7808,9428,0,46214,0.0144356,0,0.0189732,0,1.0198358,0.0872145560000000,0.6772999763488770,0.0434781312942505
msong-420,991,2,7,1,7808,9428,15922,37931,0.0144701,0.0116928,0.0185484,0,1.022277,0.0779301990000000,0.6772999763488770,0.0434781312942505
msong-420,991,4,0,1,0,0,0,0,0.0072601,0,0,0,1,0.1507403480000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,1,1,50877,24600,0,0,0.0073422,0,0,0,1.0113088,0.1187606200000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,2,1,0,0,111635,0,0.0073822,0.0274183,0,0,1.0168175,0.1289041630000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,4,1,0,0,0,221613,0.0075065,0,0.0243473,0,1.0339478,0.1388295860000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,3,1,50877,24600,87264,0,0.0074394,0.025191,0,0,1.0247067,0.1637524170000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,5,1,50877,24600,0,191700,0.0075593,0,0.0229723,0,1.0412153,0.1637577610000000,0.8474999666213989,0.0195094347000122
msong-420,991,4,7,1,50877,24600,49330,158233,0.0075778,0.0160164,0.0224279,0,1.0437694,0.1695679550000000,0.8474999666213989,0.0195094347000122
msong-420,991,6,0,1,0,0,0,0,0.0048668,0,0,0,1,0.1901357910000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,1,1,130882,34793,0,0,0.0049467,0,0,0,1.0164171,0.1687597690000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,2,1,0,0,235144,0,0.004981,0.0356536,0,0,1.0234625,0.1787448790000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,4,1,0,0,0,469755,0.0051004,0,0.028932,0,1.0479953,0.1836148970000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,3,1,130882,34793,174632,0,0.0050338,0.0331151,0,0,1.0343156,0.1743281680000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,5,1,130882,34793,0,394176,0.0051478,0,0.0270971,0,1.057732,0.1787782690000000,0.9134999513626099,0.0098407268524170
msong-420,991,6,7,1,130882,34793,98239,325229,0.0051634,0.0209699,0.0264337,0,1.0609367,0.1863116610000000,0.9134999513626099,0.0098407268524170
msong-420,991,8,0,1,0,0,0,0,0.003643,0,0,0,1,0.2263058850000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,1,1,258988,43968,0,0,0.0037247,0,0,0,1.0224159,0.2409989310000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,2,1,0,0,394441,0,0.0037501,0.042835,0,0,1.0293838,0.2757519050000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,4,1,0,0,0,773014,0.0038589,0,0.0329067,0,1.0592566,0.2705550820000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,3,1,258988,43968,276568,0,0.0038025,0.0399614,0,0,1.043775,0.2627546100000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,5,1,258988,43968,0,630690,0.003907,0,0.0304532,0,1.0724623,0.2517717560000000,0.9485999941825867,0.0062406063079834
msong-420,991,8,7,1,258988,43968,157730,520884,0.0039216,0.0255087,0.0296725,0,1.0764662,0.2526471310000000,0.9485999941825867,0.0062406063079834
msong-420,991,10,0,1,0,0,0,0,0.0029029,0,0,0,1,0.2871935700000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,1,1,442657,51241,0,0,0.0029876,0,0,0,1.0292022,0.2812882420000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,2,1,0,0,595157,0,0.0030056,0.0496618,0,0,1.0354012,0.3080046650000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,4,1,0,0,0,1139775,0.0031063,0,0.0369213,0,1.0700661,0.3165050940000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,3,1,442657,51241,396117,0,0.0030593,0.0464138,0,0,1.053885,0.2830526280000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,5,1,442657,51241,0,900920,0.0031557,0,0.0337934,0,1.0871102,0.2894574530000000,0.9655999541282654,0.0047415494918823
msong-420,991,10,7,1,442657,51241,229415,743305,0.00317,0.0301005,0.0328967,0,1.0920068,0.2992398510000000,0.9655999541282654,0.0047415494918823
msong-420,991,12,0,1,0,0,0,0,0.0024212,0,0,0,1,0.3522715290000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,1,1,656169,58353,0,0,0.0025068,0,0,0,1.0353581,0.3577368950000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,2,1,0,0,820702,0,0.00252,0.0560959,0,0,1.0408269,0.3573853340000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,4,1,0,0,0,1539876,0.0026136,0,0.0406136,0,1.0794454,0.3465064020000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,3,1,656169,58353,528458,0,0.0025741,0.0525075,0,0,1.0631604,0.3369632410000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,5,1,656169,58353,0,1192239,0.002664,0,0.0368817,0,1.1002718,0.3593874610000000,0.9756999611854553,0.0037385225296021
msong-420,991,12,7,1,656169,58353,310148,981955,0.002678,0.0346439,0.0358802,0,1.1060804,0.3823708230000000,0.9756999611854553,0.0037385225296021
msong-420,991,14,0,1,0,0,0,0,0.0020782,0,0,0,1,0.4005754240000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,1,1,880966,64990,0,0,0.002162,0,0,0,1.0403157,0.4013455730000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,2,1,0,0,1063737,0,0.0021729,0.0621632,0,0,1.0455643,0.4180573380000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,4,1,0,0,0,1970617,0.0022607,0,0.0441448,0,1.0878211,0.4155858340000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,3,1,880966,64990,671699,0,0.0022257,0.0582534,0,0,1.0709748,0.4078896160000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,5,1,880966,64990,0,1506609,0.0023103,0,0.0398733,0,1.1116983,0.3877743100000000,0.9817999601364136,0.0032674074172974
msong-420,991,14,7,1,880966,64990,398977,1239154,0.0023243,0.0389738,0.0387596,0,1.1183975,0.4150100730000000,0.9817999601364136,0.0032674074172974
msong-420,991,16,0,1,0,0,0,0,0.0018231,0,0,0,1,0.4577543630000001,0.9860000014305115,0.0027120113372803
msong-420,991,16,1,1,1155662,70412,0,0,0.001907,0,0,0,1.046051,0.4266269820000000,0.9860000014305115,0.0027120113372803
msong-420,991,16,2,1,0,0,1328184,0,0.0019144,0.067466,0,0,1.0500784,0.4478923700000000,0.9860000014305115,0.0027120113372803
msong-420,991,16,4,1,0,0,0,2442558,0.0019983,0,0.0475405,0,1.0961344,0.4465862430000000,0.9860000014305115,0.0027120113372803
msong-420,991,16,3,1,1155662,70412,818574,0,0.0019675,0.0633888,0,0,1.0792326,0.4311002750000000,0.9860000014305115,0.0027120113372803
msong-420,991,16,5,1,1155662,70412,0,1837430,0.0020484,0,0.0426957,0,1.1235943,0.4576670410000001,0.9860000014305115,0.0027120113372803
msong-420,991,16,7,1,1155662,70412,488106,1511732,0.0020619,0.042694,0.0415052,0,1.1310048,0.4751821020000001,0.9860000014305115,0.0027120113372803
msong-420,991,18,0,1,0,0,0,0,0.0016251,0,0,0,1,0.4976508150000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,1,1,1459456,74750,0,0,0.0017089,0,0,0,1.0515997,0.4817364610000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,2,1,0,0,1619456,0,0.0017138,0.0729256,0,0,1.0546235,0.5097209840000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,4,1,0,0,0,2941462,0.0017938,0,0.0506336,0,1.1038448,0.5102744620000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,3,1,1459456,74750,980503,0,0.0017672,0.0686963,0,0,1.0874611,0.5063818710000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,5,1,1459456,74750,0,2178050,0.001844,0,0.0452399,0,1.1347228,0.5049767490000000,0.9894999861717224,0.0022532939910889
msong-420,991,18,7,1,1459456,74750,589928,1790163,0.0018576,0.0468473,0.0439648,0,1.1431044,0.5164081910000000,0.9894999861717224,0.0022532939910889
msong-420,991,20,0,1,0,0,0,0,0.0014665,0,0,0,1,0.5595435910000001,0.9919999837875366,0.0011616945266724
msong-420,991,20,1,1,1798135,79565,0,0,0.0015504,0,0,0,1.0572656,0.5435694270000000,0.9919999837875366,0.0011616945266724
msong-420,991,20,2,1,0,0,1932401,0,0.001553,0.0780584,0,0,1.0590323,0.6212375620000000,0.9919999837875366,0.0011616945266724
msong-420,991,20,4,1,0,0,0,3479940,0.0016301,0,0.0537166,0,1.1115828,0.5978223240000000,0.9919999837875366,0.0011616945266724
msong-420,991,20,3,1,1798135,79565,1150459,0,0.0016068,0.073733,0,0,1.0957102,0.5993862630000001,0.9919999837875366,0.0011616945266724
msong-420,991,20,5,1,1798135,79565,0,2538774,0.0016806,0,0.0477886,0,1.1459966,0.5499154880000000,0.9919999837875366,0.0011616945266724
msong-420,991,20,7,1,1798135,79565,696555,2084834,0.0016942,0.0508102,0.0464347,0,1.155262,0.5658286040000000,0.9919999837875366,0.0011616945266724
