dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
nytimes-16-angular,538,2,0,1,0,0,0,0,0.038505,0,0,0,1,0.0224350140000000,0.4228999912738800,0.1599156856536865
nytimes-16-angular,538,2,1,1,47035,30574,0,0,0.0387828,0,0,0,1.0072163,0.0055266440000000,0.4228999912738800,0.1599156856536865
nytimes-16-angular,538,2,7,1,47035,30574,1153521,1114975,0.0491503,0.275495,0.2417797,0,1.2764666,0.0260170550000000,0.4228999912738800,0.1599156856536865
nytimes-16-angular,538,4,0,1,0,0,0,0,0.0209597,0,0,0,1,0.0093235730000000,0.5643900036811829,0.0934765338897705
nytimes-16-angular,538,4,1,1,167779,76645,0,0,0.0211987,0,0,0,1.0114053,0.0090851730000000,0.5643900036811829,0.0934765338897705
nytimes-16-angular,538,4,7,1,167779,76645,2214132,4692064,0.0312785,0.2969908,0.3540615,0,1.4923183,0.0481422630000000,0.5643900036811829,0.0934765338897705
nytimes-16-angular,538,6,0,1,0,0,0,0,0.0145296,0,0,0,1,0.0128482450000000,0.6571399569511414,0.0639566183090210
nytimes-16-angular,538,6,1,1,305868,115246,0,0,0.0147203,0,0,0,1.0131228,0.0302966280000000,0.6571399569511414,0.0639566183090210
nytimes-16-angular,538,6,7,1,305868,115246,3280309,9159313,0.0240388,0.316622,0.4153654,0,1.6544665,0.0825218640000000,0.6571399569511414,0.0639566183090210
nytimes-16-angular,538,8,0,1,0,0,0,0,0.0111446,0,0,0,1,0.0203821300000000,0.7204299569129944,0.0473809242248535
nytimes-16-angular,538,8,1,1,459176,149775,0,0,0.0113034,0,0,0,1.0142444,0.0169098950000000,0.7204299569129944,0.0473809242248535
nytimes-16-angular,538,8,7,1,459176,149775,4394297,14024754,0.0198602,0.3348777,0.454226,0,1.7820458,0.1103843980000000,0.7204299569129944,0.0473809242248535
nytimes-16-angular,538,10,0,1,0,0,0,0,0.0090502,0,0,0,1,0.0231556350000000,0.7680199742317200,0.0365508794784546
nytimes-16-angular,538,10,1,1,622127,180437,0,0,0.0091862,0,0,0,1.0150263,0.0207139570000000,0.7680199742317200,0.0365508794784546
nytimes-16-angular,538,10,7,1,622127,180437,5561397,19115085,0.0170753,0.3516782,0.4807371,0,1.8867285,0.1110063770000000,0.7680199742317200,0.0365508794784546
nytimes-16-angular,538,12,0,1,0,0,0,0,0.0076258,0,0,0,1,0.0247245600000000,0.8063399791717529,0.0287162065505981
nytimes-16-angular,538,12,1,1,794754,208214,0,0,0.0077452,0,0,0,1.0156555,0.0286351630000000,0.8063399791717529,0.0287162065505981
nytimes-16-angular,538,12,7,1,794754,208214,6776146,24348924,0.0150637,0.3668624,0.4998338,0,1.975354,0.1274432430000000,0.8063399791717529,0.0287162065505981
nytimes-16-angular,538,14,0,1,0,0,0,0,0.0065868,0,0,0,1,0.0391664510000000,0.8350299596786499,0.0234071016311646
nytimes-16-angular,538,14,1,1,984158,233774,0,0,0.0066942,0,0,0,1.016299,0.0502590190000000,0.8350299596786499,0.0234071016311646
nytimes-16-angular,538,14,7,1,984158,233774,8045272,29679351,0.0135194,0.380884,0.5142791,0,2.0525053,0.1462727510000000,0.8350299596786499,0.0234071016311646
nytimes-16-angular,538,16,0,1,0,0,0,0,0.005798,0,0,0,1,0.0300129960000000,0.8584899902343750,0.0192550420761108
nytimes-16-angular,538,16,1,1,1178464,258360,0,0,0.0058956,0,0,0,1.0168302,0.0298482960000000,0.8584899902343750,0.0192550420761108
nytimes-16-angular,538,16,7,1,1178464,258360,9355247,35076908,0.0122941,0.3937671,0.5254961,0,2.1204093,0.1722332270000000,0.8584899902343750,0.0192550420761108
nytimes-16-angular,538,18,0,1,0,0,0,0,0.0051785,0,0,0,1,0.0336330040000000,0.8778599500656128,0.0160871744155884
nytimes-16-angular,538,18,1,1,1385949,281065,0,0,0.0052684,0,0,0,1.0173612,0.0333618800000000,0.8778599500656128,0.0160871744155884
nytimes-16-angular,538,18,7,1,1385949,281065,10707528,40526265,0.0112952,0.4055473,0.5344034,0,2.1811905,0.1878916880000000,0.8778599500656128,0.0160871744155884
nytimes-16-angular,538,20,0,1,0,0,0,0,0.0046792,0,0,0,1,0.0664506800000000,0.8944399952888489,0.0134096145629883
nytimes-16-angular,538,20,1,1,1598873,302589,0,0,0.0047626,0,0,0,1.0178276,0.0685430250000000,0.8944399952888489,0.0134096145629883
nytimes-16-angular,538,20,7,1,1598873,302589,12101395,46009920,0.0104635,0.4164354,0.5416799,0,2.2361765,0.2044012040000000,0.8944399952888489,0.0134096145629883
nytimes-16-angular,538,22,0,1,0,0,0,0,0.0042666,0,0,0,1,0.0510265060000000,0.9081499576568604,0.0113936662673950
nytimes-16-angular,538,22,1,1,1827585,322635,0,0,0.0043448,0,0,0,1.0183318,0.0400665140000000,0.9081499576568604,0.0113936662673950
nytimes-16-angular,538,22,7,1,1827585,322635,13527982,51528358,0.0097557,0.4265275,0.547676,0,2.2865276,0.2194120210000000,0.9081499576568604,0.0113936662673950
nytimes-16-angular,538,24,0,1,0,0,0,0,0.0039209,0,0,0,1,0.0454781630000000,0.9195199608802795,0.0098299980163574
nytimes-16-angular,538,24,1,1,2063582,342860,0,0,0.0039947,0,0,0,1.018811,0.0462154570000000,0.9195199608802795,0.0098299980163574
nytimes-16-angular,538,24,7,1,2063582,342860,14990353,57067646,0.0091468,0.4358781,0.5526198,0,2.3328278,0.2427049710000000,0.9195199608802795,0.0098299980163574
nytimes-16-angular,538,26,0,1,0,0,0,0,0.0036265,0,0,0,1,0.0499475020000000,0.9285099506378174,0.0086179971694946
nytimes-16-angular,538,26,1,1,2307823,361571,0,0,0.0036963,0,0,0,1.0192666,0.0510114800000000,0.9285099506378174,0.0086179971694946
nytimes-16-angular,538,26,7,1,2307823,361571,16485399,62622317,0.0086155,0.4447235,0.5569486,0,2.3757238,0.2607887980000000,0.9285099506378174,0.0086179971694946
nytimes-16-angular,538,28,0,1,0,0,0,0,0.0033736,0,0,0,1,0.0521651470000000,0.9370699524879456,0.0074326992034912
nytimes-16-angular,538,28,1,1,2565519,379887,0,0,0.0034402,0,0,0,1.0197461,0.0537545540000000,0.9370699524879456,0.0074326992034912
nytimes-16-angular,538,28,7,1,2565519,379887,18010931,68187770,0.0081498,0.4528889,0.5605607,0,2.4157603,0.2816247910000000,0.9370699524879456,0.0074326992034912
nytimes-16-angular,538,32,0,1,0,0,0,0,0.0029601,0,0,0,1,0.0579748900000000,0.9503799676895142,0.0056606531143188
nytimes-16-angular,538,32,1,1,3093672,414780,0,0,0.0030211,0,0,0,1.0205914,0.0605432300000000,0.9503799676895142,0.0056606531143188
nytimes-16-angular,538,32,7,1,3093672,414780,21139381,79360348,0.0073656,0.4679196,0.5664807,0,2.488286,0.3214358910000000,0.9503799676895142,0.0056606531143188
nytimes-16-angular,538,40,0,1,0,0,0,0,0.0023773,0,0,0,1,0.0734900450000000,0.9691999554634094,0.0032701492309570
nytimes-16-angular,538,40,1,1,4241440,478206,0,0,0.00243,0,0,0,1.0221858,0.0754880620000000,0.9691999554634094,0.0032701492309570
nytimes-16-angular,538,40,7,1,4241440,478206,27682107,101778593,0.006208,0.493332,0.5745685,0,2.6113555,0.3849453460000000,0.9691999554634094,0.0032701492309570
nytimes-16-angular,538,48,0,1,0,0,0,0,0.0019851,0,0,0,1,0.0888291230000000,0.9799299836158752,0.0019816160202026
nytimes-16-angular,538,48,1,1,5532179,534238,0,0,0.0020324,0,0,0,1.0237936,0.0905953390000000,0.9799299836158752,0.0019816160202026
nytimes-16-angular,538,48,7,1,5532179,534238,34536051,124235518,0.005387,0.5139119,0.5796966,0,2.7136919,0.4572868930000000,0.9799299836158752,0.0019816160202026
nytimes-16-angular,538,56,0,1,0,0,0,0,0.0017037,0,0,0,1,0.1019197460000000,0.9868299961090088,0.0012012720108032
nytimes-16-angular,538,56,1,1,6991487,585537,0,0,0.0017472,0,0,0,1.0255101,0.1056014000000000,0.9868299961090088,0.0012012720108032
nytimes-16-angular,538,56,7,1,6991487,585537,41618387,146677834,0.0047731,0.5310481,0.5832556,0,2.8015518,0.5481293110000001,0.9868299961090088,0.0012012720108032
nytimes-16-angular,538,64,0,1,0,0,0,0,0.0014923,0,0,0,1,0.1491853380000000,0.9913599491119385,0.0007582902908325
nytimes-16-angular,538,64,1,1,8584488,632606,0,0,0.0015329,0,0,0,1.0271999,0.1140578250000000,0.9913599491119385,0.0007582902908325
nytimes-16-angular,538,64,7,1,8584488,632606,48859075,169075827,0.0042955,0.5454443,0.5857546,0,2.8783853,0.5840357270000001,0.9913599491119385,0.0007582902908325
nytimes-16-angular,538,80,0,1,0,0,0,0,0.0011955,0,0,0,1,0.1503217470000000,0.9962899684906006,0.0002883672714233
nytimes-16-angular,538,80,1,1,12280795,720264,0,0,0.0012323,0,0,0,1.0308093,0.1508569750000000,0.9962899684906006,0.0002883672714233
nytimes-16-angular,538,80,7,1,12280795,720264,63755893,213692350,0.0035978,0.5681139,0.5889632,0,3.0095174,0.7195253470000000,0.9962899684906006,0.0002883672714233
nytimes-16-angular,538,96,0,1,0,0,0,0,0.000997,0,0,0,1,0.1763232630000000,0.9983599781990051,0.0001174211502075
nytimes-16-angular,538,96,1,1,16800289,795315,0,0,0.0010318,0,0,0,1.0348982,0.1817631610000000,0.9983599781990051,0.0001174211502075
nytimes-16-angular,538,96,7,1,16800289,795315,78967576,257991569,0.0031108,0.5848362,0.5908311,0,3.1200459,0.8538377790000000,0.9983599781990051,0.0001174211502075
nytimes-16-angular,538,112,0,1,0,0,0,0,0.0008552,0,0,0,1,0.1999364730000000,0.9992100000381470,0.0000493526458740
nytimes-16-angular,538,112,1,1,22276129,862459,0,0,0.000889,0,0,0,1.0395308,0.2125726180000000,0.9992100000381470,0.0000493526458740
nytimes-16-angular,538,112,7,1,22276129,862459,94318054,301844620,0.0027507,0.5972183,0.5920069,0,3.216548,0.9670128370000001,0.9992100000381470,0.0000493526458740
nytimes-16-angular,538,128,0,1,0,0,0,0,0.0007487,0,0,0,1,0.2469251370000000,0.9996599555015564,0.0000147819519043
nytimes-16-angular,538,128,1,1,28992652,924889,0,0,0.0007823,0,0,0,1.0449772,0.2326463670000000,0.9996599555015564,0.0000147819519043
nytimes-16-angular,538,128,7,1,28992652,924889,109639543,345123283,0.0024732,0.6061078,0.5928206,0,3.3035271,1.1237022100000000,0.9996599555015564,0.0000147819519043
nytimes-16-angular,538,144,0,1,0,0,0,0,0.0006658,0,0,0,1,0.2575876040000000,0.9998599886894226,0.0000058412551880
nytimes-16-angular,538,144,1,1,37188571,982768,0,0,0.0007,0,0,0,1.0513409,0.2721281540000000,0.9998599886894226,0.0000058412551880
nytimes-16-angular,538,144,7,1,37188571,982768,124783270,387693797,0.0022527,0.6123121,0.5933865,0,3.383662,1.2277683270000002,0.9998599886894226,0.0000058412551880
nytimes-16-angular,538,160,0,1,0,0,0,0,0.0005994,0,0,0,1,0.3025397160000000,0.9999499917030334,0.0000022649765015
nytimes-16-angular,538,160,1,1,47083069,1039105,0,0,0.0006346,0,0,0,1.0586796,0.2912201660000000,0.9999499917030334,0.0000022649765015
nytimes-16-angular,538,160,7,1,47083069,1039105,139648580,429431572,0.0020734,0.6162897,0.5937647,0,3.4589522,1.3366826270000001,0.9999499917030334,0.0000022649765015
nytimes-16-angular,538,192,0,1,0,0,0,0,0.0004998,0,0,0,1,0.3623525080000000,0.9999899864196777,0.0000002384185791
nytimes-16-angular,538,192,1,1,72487336,1139787,0,0,0.0005379,0,0,0,1.0760937,0.3487885740000000,0.9999899864196777,0.0000002384185791
nytimes-16-angular,538,192,7,1,72487336,1139787,168242158,510050816,0.0017989,0.618959,0.5944089,0,3.5991757,1.6118809750000000,0.9999899864196777,0.0000002384185791
nytimes-16-angular,538,224,0,1,0,0,0,0,0.0004286,0,0,0,1,0.4116146750000000,1.0000000000000000,0.0000000000000000
nytimes-16-angular,538,224,1,1,106141653,1234953,0,0,0.0004702,0,0,0,1.0970161,0.4012133010000000,1.0000000000000000,0.0000000000000000
