dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
openai-1536-angular,999,2,7,1,0,0,6629,2490,0.0211652,0.0021709,0.0309771,0,1.0037982,0.1953840020000000,0.6741999983787537,0.0507175922393799
openai-1536-angular,999,4,7,1,0,0,17349,6319,0.0113275,0.0025601,0.0181889,0,1.0051055,0.3548624540000000,0.7655000090599060,0.0323662757873535
openai-1536-angular,999,6,7,1,0,0,25605,9928,0.0077928,0.0026184,0.0142066,0,1.0052048,0.5129612760000001,0.8086999654769897,0.0245859622955322
openai-1536-angular,999,8,7,1,0,0,30639,12639,0.0059632,0.0025664,0.0115526,0,1.0048151,0.6766128850000001,0.8364999890327454,0.0201803445816040
openai-1536-angular,999,10,7,1,431,0,36087,15791,0.004833,0.0025174,0.0100445,0,1.0046926,0.8319757850000000,0.8557999730110168,0.0170638561248779
openai-1536-angular,999,12,7,1,431,0,41663,18517,0.0040774,0.0025699,0.0089816,0,1.0045701,0.9902319970000001,0.8698999881744385,0.0149949789047241
openai-1536-angular,999,14,7,1,431,0,47025,21377,0.0035204,0.0025969,0.0082992,0,1.0044672,1.1166430040000002,0.8823999762535095,0.0131590366363525
openai-1536-angular,999,16,7,1,431,0,51422,23644,0.0031001,0.0025658,0.0075605,0,1.0043051,1.1653082520000000,0.8920999765396118,0.0117673873901367
openai-1536-angular,999,18,7,1,431,0,56467,25875,0.0027722,0.0025807,0.0070199,0,1.0042133,1.2129606850000001,0.9004999995231628,0.0107610225677490
openai-1536-angular,999,20,7,1,431,0,64043,28487,0.0025061,0.00264,0.0066641,0,1.0042703,1.3409837260000002,0.9077000021934509,0.0096552371978760
openai-1536-angular,999,22,7,1,431,0,71209,30959,0.0022847,0.0026805,0.0063571,0,1.0042921,1.4578571720000002,0.9122999906539917,0.0090676546096802
openai-1536-angular,999,24,7,1,431,0,77132,33115,0.0020993,0.0026771,0.0060624,0,1.0042505,1.5842347470000000,0.9165999889373779,0.0085325241088867
openai-1536-angular,999,26,7,1,431,0,81909,34971,0.0019462,0.0026347,0.0057227,0,1.0041718,1.8274496040000001,0.9218999743461609,0.0078959465026855
openai-1536-angular,999,28,7,1,431,0,87651,37393,0.0018113,0.0026312,0.0055207,0,1.0041488,2.0911751530000000,0.9264000058174133,0.0073751211166382
openai-1536-angular,999,32,7,1,431,0,97959,42521,0.0015892,0.0026584,0.0052278,0,1.0040836,2.4577218120000000,0.9314000010490417,0.0068033933639526
openai-1536-angular,999,40,7,1,444,0,123959,53132,0.0012835,0.0027629,0.0048604,0,1.0041435,3.1014427330000003,0.9440999627113342,0.0053068399429321
openai-1536-angular,999,48,7,1,444,0,149608,63372,0.0010738,0.0028219,0.004568,0,1.0041605,3.7451214030000002,0.9522999525070190,0.0045413970947266
openai-1536-angular,999,56,7,1,444,0,175114,73316,0.0009248,0.0028875,0.0043701,0,1.0041729,4.5632684399999999,0.9587000012397766,0.0039263963699341
