dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
sift-128-euclidean,1000,2,0,1.0000000,0,0,0,0,0.0209286,0.0000000,0.0000000,0.0000000,1.0000000,0.1295898640000000,0.5403599739074707,0.0729876756668091
sift-128-euclidean,1000,2,1,1.0000000,9601,19547,0,0,0.0209563,0.0000000,0.0000000,0.0000000,1.0013204,0.1056640800000000,0.5403599739074707,0.0729876756668091
sift-128-euclidean,1000,2,7,1.0000000,9601,19547,1379306,441850,0.0228405,0.1100703,0.0856131,0.0000000,1.0913502,0.1513418430000000,0.5403599739074707,0.0729876756668091
sift-128-euclidean,1000,4,0,1.0000000,0,0,0,0,0.0112555,0.0000000,0.0000000,0.0000000,1.0000000,0.2003458970000000,0.7060199975967407,0.0377351045608521
sift-128-euclidean,1000,4,1,1.0000000,62752,38092,0,0,0.0112812,0.0000000,0.0000000,0.0000000,1.0022887,0.1995634140000000,0.7060199975967407,0.0377351045608521
sift-128-euclidean,1000,4,7,1.0000000,62752,38092,3371335,1552822,0.0127006,0.1301546,0.0921162,0.0000000,1.1283904,0.2789846380000000,0.7060199975967407,0.0377351045608521
sift-128-euclidean,1000,6,0,1.0000000,0,0,0,0,0.0077408,0.0000000,0.0000000,0.0000000,1.0000000,0.3114077400000000,0.7907800078392029,0.0239636898040771
sift-128-euclidean,1000,6,1,1.0000000,137282,45596,0,0,0.0077623,0.0000000,0.0000000,0.0000000,1.0027777,0.2996111330000000,0.7907800078392029,0.0239636898040771
sift-128-euclidean,1000,6,7,1.0000000,137282,45596,5597319,2950164,0.0089204,0.1432237,0.0989641,0.0000000,1.1523900,0.3997111760000000,0.7907800078392029,0.0239636898040771
sift-128-euclidean,1000,8,0,1.0000000,0,0,0,0,0.0059092,0.0000000,0.0000000,0.0000000,1.0000000,0.3954560580000000,0.8427699804306030,0.0165944099426270
sift-128-euclidean,1000,8,1,1.0000000,249562,49853,0,0,0.0059294,0.0000000,0.0000000,0.0000000,1.0034225,0.4013739620000000,0.8427699804306030,0.0165944099426270
sift-128-euclidean,1000,8,7,1.0000000,249562,49853,7988850,4543410,0.0069208,0.1532021,0.1052457,0.0000000,1.1712006,0.5545725390000000,0.8427699804306030,0.0165944099426270
