dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
contriever-768,1990,2,7,1,0,0,6103,43,0.0215411,0.0009575,0.003637,0,1.0004121,0.6128824410000000,0.7100699543952942,0.0318205356597900
contriever-768,1990,4,7,1,0,0,17171,227,0.01148,0.0012317,0.0027071,0,1.0005835,1.0917363030000000,0.8172000050544739,0.0161530971527100
contriever-768,1990,6,7,1,0,0,30661,386,0.0078365,0.0014316,0.0019569,0,1.0006953,1.6044802330000001,0.8610499501228333,0.0107513666152954
contriever-768,1990,8,7,1,0,0,45851,727,0.0059681,0.0015782,0.0017741,0,1.0007857,2.0376062690000003,0.8854900002479553,0.0081510543823242
contriever-768,1990,10,7,1,0,0,62279,1061,0.0048267,0.0016939,0.001607,0,1.0008578,2.4917062660000000,0.9027499556541443,0.0064815282821655
contriever-768,1990,12,7,1,0,0,80396,1423,0.0040493,0.0018012,0.0015138,0,1.0009251,2.8725418280000001,0.9145399928092957,0.0054309368133545
contriever-768,1990,14,7,1,0,0,98272,1801,0.0034901,0.001878,0.0014185,0,1.0009719,3.3360208170000001,0.9232899546623230,0.0046472549438477
contriever-768,1990,16,7,1,0,0,117135,2269,0.0030666,0.0019495,0.0013762,0,1.001016,3.7576357920000003,0.9305799603462219,0.0040720701217651
contriever-768,1990,18,7,1,0,0,135631,2811,0.0027374,0.0020024,0.0013335,0,1.001049,4.2075414120000003,0.9367899894714355,0.0036038160324097
contriever-768,1990,20,7,1,0,0,154764,3395,0.0024716,0.0020537,0.0013041,0,1.0010803,4.6886317460000004,0.9412699937820435,0.0032688379287720
contriever-768,1990,22,7,1,0,0,173277,3878,0.0022539,0.0020882,0.0012596,0,1.0011017,5.2899765720000005,0.9454599618911743,0.0029580593109131
contriever-768,1990,24,7,1,0,0,191608,4456,0.0020722,0.0021168,0.0012258,0,1.0011195,5.7221165590000007,0.9490999579429626,0.0027066469192505
contriever-768,1990,26,7,1,0,0,210393,5154,0.0019164,0.0021439,0.0012036,0,1.0011369,6.1670971070000000,0.9521299600601196,0.0024969577789307
contriever-768,1990,28,7,1,0,0,228236,5825,0.0017828,0.0021621,0.001172,0,1.0011475,6.6410822460000007,0.9545099735260010,0.0023236274719238
contriever-768,1990,32,7,1,0,0,263721,7135,0.0015661,0.0021892,0.0011156,0,1.0011646,7.5215859120000008,0.9590399861335754,0.0019711256027222
contriever-768,1990,40,7,1,0,0,331015,10172,0.0012612,0.0022086,0.0010292,0,1.0011785,9.3905934750000011,0.9657799601554871,0.0015465021133423
contriever-768,1990,48,7,1,0,0,391976,13300,0.0010572,0.0021933,0.0009531,0,1.0011714,11.1070801499999998,0.9708199501037598,0.0012336969375610
contriever-768,1990,56,7,1,0,0,448720,16837,0.0009103,0.002165,0.0008977,0,1.001157,12.9560988410000011,0.9743499755859375,0.0010248422622681
contriever-768,1990,64,7,1,0,0,501162,20188,0.0007999,0.0021277,0.0008431,0,1.0011375,14.6959597860000013,0.9770999550819397,0.0008739233016968
contriever-768,1990,80,7,1,0,0,598533,27253,0.000644,0.0020556,0.0007613,0,1.0010978,18.1589717450000023,0.9807199835777283,0.0006821155548096
contriever-768,1990,96,7,1,0,0,693034,34714,0.0005391,0.0019979,0.000712,0,1.0010678,22.9378917100000024,0.9835799932479858,0.0005438327789307
contriever-768,1990,112,7,1,0,0,787629,42305,0.0004636,0.0019548,0.0006756,0,1.0010465,27.6812691270000002,0.9855499863624573,0.0004605054855347
contriever-768,1990,128,7,1,0,0,882400,49972,0.0004066,0.0019215,0.0006507,0,1.0010306,32.2775061110000010,0.9871399998664856,0.0003905296325684
contriever-768,1990,144,7,1,0,0,977298,57982,0.0003622,0.0018948,0.0006317,0,1.0010188,36.6311898920000019,0.9884099960327148,0.0003368854522705
contriever-768,1990,160,7,1,0,0,1072859,66152,0.0003264,0.0018745,0.0006179,0,1.0010098,40.1137713520000005,0.9893299937248230,0.0003030300140381
contriever-768,1990,192,7,1,0,0,1265378,83097,0.0002727,0.001845,0.0005982,0,1.0009981,47.7069516100000044,0.9909799695014954,0.0002427101135254
contriever-768,1990,224,7,1,0,0,1459564,100881,0.0002341,0.0018252,0.0005848,0,1.0009912,55.1162077820000036,0.9923200011253357,0.0002000331878662
contriever-768,1990,256,7,1,0,0,1656131,119816,0.0002052,0.0018124,0.0005765,0,1.0009882,62.7852304360000062,0.9933499693870544,0.0001660585403442
contriever-768,1990,512,7,1,0,0,3238957,282256,0.0001039,0.0017767,0.0005527,0,1.0009909,123.9835394760000042,0.9971899986267090,0.0000573396682739
