dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
glove-200-angular,2176,2,7,1.0000000,3,51400,13640,5710,0.0113785,0.0008190,0.0074061,0.0000000,1.0024725,0.2923134650000000,0.2690399885177612,0.0963021516799927
glove-200-angular,2176,4,7,1.0000000,378,168034,32495,18400,0.0064843,0.0009190,0.0064464,0.0000000,1.0037879,0.5493055660000000,0.3353900015354156,0.0696227550506592
glove-200-angular,2176,6,7,1.0000000,853,303115,48638,28813,0.0046047,0.0009043,0.0047289,0.0000000,1.0043683,0.7447544250000000,0.3744300007820129,0.0574719905853271
glove-200-angular,2176,8,7,1.0000000,1838,446117,64499,39145,0.0036018,0.0009011,0.0037758,0.0000000,1.0047247,0.9568488860000001,0.4025699794292450,0.0499713420867920
glove-200-angular,2176,10,7,1.0000000,4598,587968,82142,49956,0.0029698,0.0009107,0.0031763,0.0000000,1.0049454,1.2163318580000000,0.4261799752712250,0.0444961786270142
glove-200-angular,2176,12,7,1.0000000,7291,730658,99794,60491,0.0025363,0.0009181,0.0027405,0.0000000,1.0050933,1.4819851200000000,0.4469199776649475,0.0401970148086548
glove-200-angular,2176,14,7,1.0000000,8835,874622,118716,69750,0.0022177,0.0009218,0.0024184,0.0000000,1.0051953,1.7318379920000002,0.4648399949073792,0.0368242263793945
glove-200-angular,2176,16,7,1.0000000,11248,1019160,138061,80780,0.0019748,0.0009336,0.0022081,0.0000000,1.0052911,1.9700693820000001,0.4808499813079834,0.0339562892913818
glove-200-angular,2176,18,7,1.0000000,13355,1166736,157300,89645,0.0017838,0.0009324,0.0020059,0.0000000,1.0053607,2.2469305740000003,0.4975499808788300,0.0313268899917603
glove-200-angular,2176,20,7,1.0000000,16898,1307959,178616,99723,0.0016297,0.0009452,0.0018702,0.0000000,1.0054132,2.8534755330000001,0.5122599601745605,0.0290036201477051
glove-200-angular,2176,22,7,1.0000000,21284,1448801,201522,110000,0.0015014,0.0009681,0.0017687,0.0000000,1.0054611,3.1527013240000001,0.5273299813270569,0.0270117521286011
glove-200-angular,2176,24,7,1.0000000,26962,1588467,225080,121276,0.0013920,0.0009895,0.0016811,0.0000000,1.0055019,3.4923058910000000,0.5414400100708008,0.0252296924591064
glove-200-angular,2176,26,7,1.0000000,32018,1730337,248679,132664,0.0012996,0.0010063,0.0016014,0.0000000,1.0055441,3.7779797740000003,0.5546500086784363,0.0235898494720459
glove-200-angular,2176,28,7,1.0000000,35774,1866523,274082,143486,0.0012198,0.0010223,0.0015405,0.0000000,1.0055673,4.0853267000000004,0.5670199990272522,0.0220983028411865
glove-200-angular,2176,32,7,1.0000000,42992,2145550,324187,168589,0.0010868,0.0010507,0.0014392,0.0000000,1.0056221,4.6284832630000006,0.5911299586296082,0.0197010040283203
glove-200-angular,2176,40,7,1.0000000,61562,2691994,423546,215260,0.0008965,0.0010915,0.0012749,0.0000000,1.0056756,5.6961010350000008,0.6336599588394165,0.0157165527343750
glove-200-angular,2176,48,7,1.0000000,75659,3241727,532982,264902,0.0007669,0.0011394,0.0011669,0.0000000,1.0057235,7.1148973050000004,0.6747800111770630,0.0126006603240967
glove-200-angular,2176,56,7,1.0000000,85295,3770651,638624,314555,0.0006702,0.0011681,0.0010775,0.0000000,1.0057267,8.2231561380000002,0.7078799605369568,0.0103986263275146
glove-200-angular,2176,64,7,1.0000000,98957,4319416,743617,363439,0.0005955,0.0011905,0.0010063,0.0000000,1.0057522,9.6234161590000014,0.7359399795532227,0.0087223052978516
glove-200-angular,2176,80,7,1.0000000,127377,5369442,958024,473919,0.0004880,0.0012365,0.0009169,0.0000000,1.0057682,11.7312119200000016,0.7823599576950073,0.0063657760620117
glove-200-angular,2176,96,7,1.0000000,150057,6448893,1169170,584198,0.0004141,0.0012616,0.0008527,0.0000000,1.0058002,13.5488803870000005,0.8200399875640869,0.0048050880432129
glove-200-angular,2176,112,7,1.0000000,168419,7459265,1373865,691933,0.0003598,0.0012758,0.0008088,0.0000000,1.0057830,16.9596779360000021,0.8485099673271179,0.0037318468093872
glove-200-angular,2176,128,7,1.0000000,185645,8448174,1577351,801443,0.0003188,0.0012877,0.0007775,0.0000000,1.0057648,19.5729682530000026,0.8736999630928040,0.0028896331787109
glove-200-angular,2176,144,7,1.0000000,199776,9468142,1784450,912000,0.0002862,0.0013017,0.0007575,0.0000000,1.0057719,21.8111278460000015,0.8947199583053589,0.0022971630096436
glove-200-angular,2176,160,7,1.0000000,216900,10449788,1988916,1022821,0.0002599,0.0013133,0.0007436,0.0000000,1.0057664,24.4415040390000016,0.9135499596595764,0.0018025636672974
glove-200-angular,2176,192,7,1.0000000,250179,12297638,2395134,1263387,0.0002199,0.0013352,0.0007323,0.0000000,1.0057365,28.2520306670000032,0.9420699477195740,0.0011560916900635
glove-200-angular,2176,224,7,1.0000000,280976,14083069,2814212,1510640,0.0001908,0.0013623,0.0007322,0.0000000,1.0057163,30.5355397160000024,0.9617300033569336,0.0007506608963013
glove-200-angular,2176,256,7,1.0000000,311417,15787546,3244054,1778166,0.0001689,0.0013930,0.0007416,0.0000000,1.0057011,34.5209688800000052,0.9757199883460999,0.0004914999008179
glove-200-angular,2176,512,7,1.0000000,597335,26377051,7140947,4690219,0.0000916,0.0017106,0.0009569,0.0000000,1.0056576,70.8299429210000113,0.9991499781608582,0.0000284910202026
