dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
msong-420,1984,2,7,1.0000000,698,2899,4730,8938,0.0266234,0.0069396,0.0171541,0.0000000,1.0115740,0.0535596430000000,0.6173999905586243,0.0496636629104614
msong-420,1984,4,7,1.0000000,7652,6788,13587,39300,0.0141738,0.0094330,0.0177353,0.0000000,1.0222723,0.0720061060000000,0.7971999645233154,0.0185445547103882
msong-420,1984,6,7,1.0000000,22761,10039,27300,83687,0.0095606,0.0123667,0.0188599,0.0000000,1.0312821,0.1247751300000000,0.8754000067710876,0.0105906724929810
msong-420,1984,8,7,1.0000000,58330,12621,44649,134868,0.0072567,0.0151491,0.0203307,0.0000000,1.0408700,0.1608908940000000,0.9171999692916870,0.0068627595901489
msong-420,1984,10,7,1.0000000,103731,14723,66033,193156,0.0058439,0.0182669,0.0218247,0.0000000,1.0493033,0.2037213470000000,0.9411000013351440,0.0048668384552002
msong-420,1984,12,7,1.0000000,153846,16547,88129,256639,0.0049063,0.0206165,0.0231639,0.0000000,1.0562379,0.2048592900000000,0.9556999802589417,0.0036373138427734
msong-420,1984,14,7,1.0000000,217486,18567,113499,322606,0.0042318,0.0231785,0.0243306,0.0000000,1.0631433,0.2313287270000000,0.9641999602317810,0.0030393600463867
msong-420,1984,16,7,1.0000000,293179,20201,140772,393447,0.0037313,0.0254935,0.0255902,0.0000000,1.0700636,0.2459225940000000,0.9720000028610229,0.0024436712265015
msong-420,1984,18,7,1.0000000,378799,21973,169618,466541,0.0033410,0.0278044,0.0267355,0.0000000,1.0766757,0.2818862570000000,0.9753999710083008,0.0020982027053833
msong-420,1984,20,7,1.0000000,481929,23449,201223,542451,0.0030254,0.0301713,0.0278926,0.0000000,1.0835617,0.3093601980000000,0.9786999821662903,0.0017813444137573
msong-420,1984,22,7,1.0000000,589496,24690,233569,623710,0.0027699,0.0323174,0.0291013,0.0000000,1.0900501,0.3410333870000000,0.9817999601364136,0.0015270709991455
msong-420,1984,24,7,1.0000000,694892,26119,268389,709588,0.0025555,0.0343999,0.0302965,0.0000000,1.0958552,0.3424536050000000,0.9846999645233154,0.0012891292572021
msong-420,1984,26,7,1.0000000,824460,27318,304236,794974,0.0023745,0.0364562,0.0313745,0.0000000,1.1022063,0.3736001770000000,0.9873999953269958,0.0010644197463989
msong-420,1984,28,7,1.0000000,954247,28467,340791,882297,0.0022179,0.0384188,0.0323388,0.0000000,1.1078829,0.4037811150000000,0.9893999695777893,0.0008502006530762
msong-420,1984,32,7,1.0000000,1245114,30760,417126,1061090,0.0019649,0.0423118,0.0342441,0.0000000,1.1192775,0.4573286910000000,0.9914999604225159,0.0006690025329590
msong-420,1984,40,7,1.0000000,1929829,35107,582013,1440329,0.0016098,0.0497619,0.0377123,0.0000000,1.1413680,0.5608276400000001,0.9948999881744385,0.0004599094390869
msong-420,1984,48,7,1.0000000,2721211,38770,758212,1842319,0.0013746,0.0563657,0.0409515,0.0000000,1.1622231,0.6448889090000001,0.9965999722480774,0.0002684593200684
msong-420,1984,56,7,1.0000000,3635334,42173,948515,2269367,0.0012051,0.0627423,0.0440724,0.0000000,1.1829073,0.7361187680000001,0.9975999593734741,0.0001605749130249
msong-420,1984,64,7,1.0000000,4597234,45147,1150398,2722886,0.0010761,0.0687420,0.0470953,0.0000000,1.2016869,0.8021431600000001,0.9979999661445618,0.0001161098480225
msong-420,1984,80,7,1.0000000,6736157,50137,1593808,3714703,0.0008949,0.0804161,0.0531623,0.0000000,1.2381630,0.9726210430000001,0.9987999796867371,0.0000853538513184
msong-420,1984,96,7,1.0000000,9195729,54810,2085377,4778171,0.0007737,0.0917256,0.0588463,0.0000000,1.2742999,1.1419588180000000,0.9993000030517578,0.0000367164611816
msong-420,1984,112,7,1.0000000,11930122,58990,2606113,5921354,0.0006870,0.1023633,0.0645190,0.0000000,1.3101077,1.3033566880000000,0.9994999766349792,0.0000152587890625
msong-420,1984,128,7,1.0000000,14930535,62574,3145142,7102652,0.0006215,0.1120577,0.0697946,0.0000000,1.3451345,1.4206215430000000,0.9996999502182007,0.0000073909759521
msong-420,1984,144,7,1.0000000,18209751,66002,3703117,8318182,0.0005706,0.1213374,0.0748148,0.0000000,1.3802931,1.5459464160000000,0.9998999834060669,0.0000011920928955
msong-420,1984,160,7,1.0000000,21651082,69330,4266367,9571588,0.0005299,0.1300341,0.0796966,0.0000000,1.4145297,1.6528477050000001,1.0000000000000000,0.0000000000000000
msong-420,1984,192,7,1.0000000,29331405,74923,5405901,12119582,0.0004690,0.1461329,0.0889582,0.0000000,1.4842621,1.8676595940000000,1.0000000000000000,0.0000000000000000
msong-420,1984,224,7,1.0000000,37819938,80142,6533697,14693347,0.0004260,0.1605933,0.0976266,0.0000000,1.5540733,2.0949795740000003,1.0000000000000000,0.0000000000000000
msong-420,1984,256,7,1.0000000,47036032,85459,7612519,17277775,0.0003940,0.1733124,0.1057272,0.0000000,1.6241801,2.2157489040000002,1.0000000000000000,0.0000000000000000
msong-420,1984,512,7,1.0000000,142664434,125018,13822226,34929911,0.0002889,0.2332690,0.1526261,0.0000000,2.2173193,3.0841272270000002,1.0000000000000000,0.0000000000000000
