dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
openai-1536-angular,1999,2,7,1,0,0,1530,720,0.0359948,0.001258,0.0262661,0,1.001856,0.1651840860000000,0.6523999571800232,0.0543059110641479
openai-1536-angular,1999,4,7,1,0,0,4459,1757,0.0193129,0.0014737,0.0139928,0,1.0026399,0.2846701880000000,0.7394999861717224,0.0367442369461060
openai-1536-angular,1999,6,7,1,0,0,6907,2845,0.013335,0.0016936,0.0116048,0,1.0028175,0.4199363190000000,0.7805999517440796,0.0292829275131226
openai-1536-angular,1999,8,7,1,25,0,10358,4111,0.0102399,0.0018758,0.0102817,0,1.0031866,0.5417286310000000,0.8055999875068665,0.0250818729400635
openai-1536-angular,1999,10,7,1,41,0,13480,5180,0.0083017,0.0019674,0.0092511,0,1.0033122,0.6758919980000000,0.8258999586105347,0.0214706659317017
openai-1536-angular,1999,12,7,1,51,0,15419,6188,0.0070133,0.0019111,0.0081203,0,1.0032248,0.7975642880000000,0.8422999978065491,0.0188628435134888
openai-1536-angular,1999,14,7,1,507,0,18205,7361,0.0060789,0.0019916,0.0076579,0,1.0033534,0.9142221160000000,0.8534999489784241,0.0172591209411621
openai-1536-angular,1999,16,7,1,507,0,21172,8812,0.0053698,0.0021268,0.0075406,0,1.0034534,1.0254728490000000,0.8641999959945679,0.0153937339782715
openai-1536-angular,1999,18,7,1,507,0,22918,9778,0.0047993,0.0020806,0.0068809,0,1.0033526,1.1569657010000001,0.8728999495506287,0.0141059160232544
openai-1536-angular,1999,20,7,1,665,0,26206,10822,0.0043353,0.002121,0.0065236,0,1.0034312,1.2988259680000001,0.8797999620437622,0.0130710601806641
openai-1536-angular,1999,22,7,1,665,0,29016,12034,0.0039597,0.0021901,0.0063417,0,1.0034617,1.3901432490000001,0.8867999911308289,0.0120120048522949
openai-1536-angular,1999,24,7,1,665,0,31404,13196,0.0036465,0.0022265,0.0061492,0,1.0034544,1.5066485360000001,0.8921999931335449,0.0113288164138794
openai-1536-angular,1999,26,7,1,665,0,34107,14195,0.0033804,0.0022138,0.0058379,0,1.0034593,1.5804730750000000,0.8977999687194824,0.0106310844421387
openai-1536-angular,1999,28,7,1,665,0,36844,15210,0.0031482,0.0022646,0.0056895,0,1.0034647,1.7019182130000001,0.9016000032424927,0.0103032588958740
openai-1536-angular,1999,32,7,1,665,0,40172,16753,0.0027678,0.002195,0.0051516,0,1.0033206,1.9266969480000000,0.9092999696731567,0.0091288089752197
openai-1536-angular,1999,40,7,1,665,0,50754,20689,0.0022326,0.0022689,0.0047111,0,1.0033417,2.3615217420000003,0.9235000014305115,0.0075746774673462
openai-1536-angular,1999,48,7,1,670,0,60215,24499,0.0018737,0.0023188,0.0043863,0,1.0033132,2.7646907510000003,0.9332999587059021,0.0065078735351562
openai-1536-angular,1999,56,7,1,670,0,69745,28099,0.0016127,0.0023543,0.0041308,0,1.0032852,3.1643256110000002,0.9391999840736389,0.0058302879333496
openai-1536-angular,1999,64,7,1,670,0,79785,31509,0.0014178,0.00238,0.0039196,0,1.0032767,3.5245838180000004,0.9465000033378601,0.0049494504928589
openai-1536-angular,1999,80,7,1,670,0,102588,39728,0.0011396,0.002488,0.0037095,0,1.0033563,4.3143623810000005,0.9562999606132507,0.0039671659469604
openai-1536-angular,1999,96,7,1,670,0,123832,47073,0.0009536,0.0025319,0.0034942,0,1.003365,5.0996157840000000,0.9630999565124512,0.0032960176467896
openai-1536-angular,1999,112,7,1,670,0,143113,54074,0.0008198,0.002521,0.0032701,0,1.0033325,5.7592111320000008,0.9678999781608582,0.0027868747711182
openai-1536-angular,1999,128,7,1,1038,0,164208,61637,0.0007188,0.0025432,0.0031299,0,1.0033482,6.5517078860000000,0.9705999493598938,0.0025197267532349
openai-1536-angular,1999,144,7,1,1153,0,184406,68664,0.0006402,0.0025485,0.0030019,0,1.0033389,7.2695725190000005,0.9742999672889709,0.0021616220474243
openai-1536-angular,1999,160,7,1,1190,0,204203,75895,0.0005772,0.002542,0.0028855,0,1.0033288,7.9135371900000004,0.9765999913215637,0.0019228458404541
openai-1536-angular,1999,192,7,1,1377,0,247303,90329,0.0004823,0.0025859,0.0027273,0,1.0033488,9.4603979550000012,0.9810999631881714,0.0016034841537476
openai-1536-angular,1999,224,7,1,1382,0,292889,105249,0.0004145,0.0026506,0.0026322,0,1.0033904,10.7109371020000008,0.9831999540328979,0.0013976097106934
openai-1536-angular,1999,256,7,1,1647,0,336848,120220,0.0003636,0.0026874,0.0025512,0,1.0034125,12.0666477980000000,0.9854999780654907,0.0011820793151855
openai-1536-angular,1999,512,7,1,2615,0,723576,243875,0.0001831,0.0029997,0.0022905,0,1.0036286,22.7640987040000020,0.9942999482154846,0.0003876686096191
