dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2
sift-128-euclidean,2000,2,7,1.0000000,3440,9167,542374,153518,0.0388015,0.0874436,0.0855704,0.0000000,1.0677438,0.1034755510000000,0.4846299886703491,0.0876713991165161
sift-128-euclidean,2000,4,7,1.0000000,27851,18351,1385246,579406,0.0217619,0.1062913,0.0864493,0.0000000,1.0987915,0.1838848200000000,0.6417999863624573,0.0487096309661865
sift-128-euclidean,2000,6,7,1.0000000,62595,22917,2342360,1116290,0.0153247,0.1180376,0.0889386,0.0000000,1.1183681,0.2838581540000000,0.7285299897193909,0.0326842069625854
sift-128-euclidean,2000,8,7,1.0000000,123214,25710,3383213,1726226,0.0118990,0.1268459,0.0923169,0.0000000,1.1336974,0.3366486070000000,0.7852299809455872,0.0239105224609375
sift-128-euclidean,2000,10,7,1.0000000,184611,27584,4474964,2388481,0.0097595,0.1340487,0.0957354,0.0000000,1.1458007,0.3886636660000000,0.8223399519920349,0.0187982320785522
sift-128-euclidean,2000,12,7,1.0000000,253037,28811,5610444,3095442,0.0082979,0.1401447,0.0990332,0.0000000,1.1561066,0.4550629940000001,0.8515200018882751,0.0149419307708740
sift-128-euclidean,2000,14,7,1.0000000,328331,29615,6793623,3840988,0.0072274,0.1455786,0.1022234,0.0000000,1.1652161,0.5243448740000001,0.8747799992561340,0.0121741294860840
sift-128-euclidean,2000,16,7,1.0000000,404811,30283,8000203,4606480,0.0064095,0.1502732,0.1050847,0.0000000,1.1730112,0.5961416380000001,0.8921999931335449,0.0102053880691528
sift-128-euclidean,2000,18,7,1.0000000,500316,30729,9232828,5395497,0.0057646,0.1545609,0.1077945,0.0000000,1.1802000,0.6665808130000000,0.9061899781227112,0.0086512565612793
sift-128-euclidean,2000,20,7,1.0000000,610956,31205,10492628,6203501,0.0052415,0.1584793,0.1103386,0.0000000,1.1868554,0.7467955410000000,0.9176999926567078,0.0074232816696167
sift-128-euclidean,2000,22,7,1.0000000,723485,31574,11766256,7030102,0.0048094,0.1620290,0.1127033,0.0000000,1.1928651,0.8027248170000001,0.9276799559593201,0.0064190626144409
