dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
glove-200-angular_100k,317,2,7,1.0000000,0,2653,48,8,0.0187556,0.0000562,0.0008035,0.0000000,1.0018111,0.1097914030000000,0.2435999959707260,0.0973634719848633,0,0,0.0000000
glove-200-angular_100k,317,4,7,1.0000000,0,8742,95,24,0.0110562,0.0000582,0.0003453,0.0000000,1.0029466,0.1993634970000000,0.3191999793052673,0.0680809020996094,0,0,0.0000000
glove-200-angular_100k,317,6,7,1.0000000,0,14331,169,26,0.0079540,0.0000634,0.0002118,0.0000000,1.0032207,0.2843631120000000,0.3633999824523926,0.0541399717330933,0,0,0.0000000
glove-200-angular_100k,317,8,7,1.0000000,0,21187,233,32,0.0062705,0.0000633,0.0001629,0.0000000,1.0035534,0.3699657870000000,0.4078999757766724,0.0447320938110352,0,0,0.0000000
glove-200-angular_100k,317,10,7,1.0000000,0,27008,325,79,0.0052385,0.0000727,0.0001684,0.0000000,1.0036191,0.4482947350000001,0.4528999924659729,0.0368788242340088,0,0,0.0000000
glove-200-angular_100k,317,12,7,1.0000000,0,32684,436,98,0.0045166,0.0000793,0.0001597,0.0000000,1.0036572,0.5367309690000001,0.4939999878406525,0.0313907861709595,0,0,0.0000000
glove-200-angular_100k,317,14,7,1.0000000,0,38483,528,134,0.0039895,0.0000832,0.0001525,0.0000000,1.0037007,0.6231552980000000,0.5333999991416931,0.0265516042709351,0,0,0.0000000
glove-200-angular_100k,317,16,7,1.0000000,21,43522,604,150,0.0035566,0.0000887,0.0001323,0.0000000,1.0036632,0.7097281220000000,0.5629000067710876,0.0233546495437622,0,0,0.0000000
glove-200-angular_100k,317,18,7,1.0000000,25,49789,686,156,0.0032165,0.0000903,0.0001159,0.0000000,1.0037260,0.7981718160000001,0.5893999934196472,0.0207430124282837,0,0,0.0000000
glove-200-angular_100k,317,20,7,1.0000000,25,54616,789,187,0.0029354,0.0000928,0.0001090,0.0000000,1.0036795,0.8882574070000001,0.6129999756813049,0.0186288356781006,0,0,0.0000000
glove-200-angular_100k,317,22,7,1.0000000,25,60956,899,237,0.0027127,0.0000964,0.0001100,0.0000000,1.0037433,0.9794574290000001,0.6376999616622925,0.0163642168045044,0,0,0.0000000
glove-200-angular_100k,317,24,7,1.0000000,25,65022,1005,267,0.0025215,0.0000991,0.0001063,0.0000000,1.0036707,1.0754363810000001,0.6601999998092651,0.0146427154541016,0,0,0.0000000
glove-200-angular_100k,317,26,7,1.0000000,28,68663,1111,288,0.0023599,0.0001006,0.0001009,0.0000000,1.0035876,1.1562023920000000,0.6830999851226807,0.0129641294479370,0,0,0.0000000
glove-200-angular_100k,317,28,7,1.0000000,55,72841,1199,306,0.0022153,0.0001027,0.0000957,0.0000000,1.0035391,1.2510945380000000,0.7048999667167664,0.0115258693695068,0,0,0.0000000
glove-200-angular_100k,317,32,7,1.0000000,88,82655,1395,376,0.0019778,0.0001063,0.0000875,0.0000000,1.0035270,1.4562296330000002,0.7433999776840210,0.0091866254806519,0,0,0.0000000
glove-200-angular_100k,317,40,7,1.0000000,100,98992,1933,503,0.0016344,0.0001165,0.0000812,0.0000000,1.0034204,1.8144624500000002,0.8007000088691711,0.0063275098800659,0,0,0.0000000
glove-200-angular_100k,317,48,7,1.0000000,100,113362,2504,670,0.0014043,0.0001280,0.0000783,0.0000000,1.0033059,2.2451757960000003,0.8576999902725220,0.0039848089218140,0,0,0.0000000
glove-200-angular_100k,317,56,7,1.0000000,120,126695,3082,883,0.0012327,0.0001389,0.0000770,0.0000000,1.0032119,2.6418989930000003,0.8996999859809875,0.0026868581771851,0,0,0.0000000
glove-200-angular_100k,317,64,7,1.0000000,351,138871,3699,1127,0.0011036,0.0001512,0.0000783,0.0000000,1.0031356,2.9660386290000003,0.9343999624252319,0.0016357898712158,0,0,0.0000000
glove-200-angular_100k,317,80,7,1.0000000,451,160897,5179,1733,0.0009146,0.0001781,0.0000844,0.0000000,1.0030049,3.6670886070000002,0.9727999567985535,0.0006639957427979,0,0,0.0000000
glove-200-angular_100k,317,96,7,1.0000000,461,181350,6905,2636,0.0007884,0.0002035,0.0000974,0.0000000,1.0029315,4.3186022309999998,0.9925999641418457,0.0001659393310547,0,0,0.0000000
glove-200-angular_100k,317,112,7,1.0000000,498,197071,8767,3840,0.0006976,0.0002286,0.0001128,0.0000000,1.0028449,4.8804336760000000,0.9985999464988708,0.0000253915786743,0,0,0.0000000
glove-200-angular_100k,317,128,7,1.0000000,560,213029,11344,5630,0.0006307,0.0002678,0.0001388,0.0000000,1.0028208,5.4642195840000003,0.9998999834060669,0.0000066757202148,0,0,0.0000000
glove-200-angular_100k,317,144,7,1.0000000,649,224201,14774,8140,0.0005816,0.0003149,0.0001729,0.0000000,1.0027950,6.0551235400000003,1.0000000000000000,0.0000000000000000,0,0,0.0000000
