dataset,nlist,nprobe,opt_level,simi_ratio,tri,tri_large,subnn_L2,subnn_IP,simi_update_rate,check_L2,check_IP,time_speedup,pruning_speedup,query_time,recall,r2,total_skipped_ids,total_skipped_true_knn,overall_false_pruning_rate
glove-200-angular_10k,100,2,7,1.0000000,0,1241,2,0,0.0366129,0.0000076,0.0000000,0.0000000,1.0018784,0.0461840990000000,0.2483000010251999,0.0929151773452759,0,0,0.0000000
glove-200-angular_10k,100,4,7,1.0000000,0,3987,11,0,0.0218285,0.0000140,0.0000253,0.0000000,1.0029430,0.0744353280000000,0.3919999897480011,0.0526607036590576,0,0,0.0000000
glove-200-angular_10k,100,6,7,1.0000000,0,6721,19,0,0.0157968,0.0000175,0.0000180,0.0000000,1.0032762,0.0988600060000000,0.4986999928951263,0.0345096588134766,0,0,0.0000000
glove-200-angular_10k,100,8,7,1.0000000,0,9075,28,0,0.0125010,0.0000200,0.0000097,0.0000000,1.0033029,0.1183044920000000,0.5873000025749207,0.0242390632629395,0,0,0.0000000
glove-200-angular_10k,100,10,7,1.0000000,0,11299,43,0,0.0105108,0.0000234,0.0000060,0.0000000,1.0033190,0.1432103900000000,0.6667999625205994,0.0173987150192261,0,0,0.0000000
glove-200-angular_10k,100,12,7,1.0000000,0,13580,54,0,0.0091306,0.0000254,0.0000041,0.0000000,1.0033644,0.1642566190000000,0.7376999855041504,0.0125240087509155,0,0,0.0000000
glove-200-angular_10k,100,14,7,1.0000000,0,15615,74,0,0.0081355,0.0000299,0.0000059,0.0000000,1.0033755,0.1991146460000000,0.7960999608039856,0.0089211463928223,0,0,0.0000000
glove-200-angular_10k,100,16,7,1.0000000,0,17493,83,0,0.0073741,0.0000299,0.0000055,0.0000000,1.0033692,0.2146503400000000,0.8445000052452087,0.0062230825424194,0,0,0.0000000
glove-200-angular_10k,100,18,7,1.0000000,0,18881,90,0,0.0067852,0.0000291,0.0000060,0.0000000,1.0033008,0.2321096200000000,0.8867999911308289,0.0040436983108521,0,0,0.0000000
glove-200-angular_10k,100,20,7,1.0000000,0,20115,96,0,0.0063008,0.0000285,0.0000055,0.0000000,1.0032376,0.2915840230000000,0.9159999489784241,0.0027658939361572,0,0,0.0000000
glove-200-angular_10k,100,22,7,1.0000000,0,21400,98,0,0.0058962,0.0000284,0.0000049,0.0000000,1.0031980,0.3146360580000000,0.9429000020027161,0.0017851591110229,0,0,0.0000000
glove-200-angular_10k,100,24,7,1.0000000,0,22422,100,1,0.0055602,0.0000278,0.0000048,0.0000000,1.0031422,0.3366295990000000,0.9623000025749207,0.0010856389999390,0,0,0.0000000
glove-200-angular_10k,100,26,7,1.0000000,0,23330,101,2,0.0052720,0.0000266,0.0000043,0.0000000,1.0030887,0.3666114810000000,0.9756999611854553,0.0006583929061890,0,0,0.0000000
glove-200-angular_10k,100,28,7,1.0000000,1,24248,102,2,0.0050254,0.0000263,0.0000045,0.0000000,1.0030528,0.3373376880000000,0.9840999841690063,0.0004192590713501,0,0,0.0000000
glove-200-angular_10k,100,32,7,1.0000000,1,25448,103,3,0.0046412,0.0000249,0.0000042,0.0000000,1.0029503,0.3497050090000000,0.9951999783515930,0.0001176595687866,0,0,0.0000000
glove-200-angular_10k,100,40,7,1.0000000,1,26456,104,5,0.0042128,0.0000248,0.0000065,0.0000000,1.0027808,0.3994696030000000,0.9998999834060669,0.0000009536743164,0,0,0.0000000
glove-200-angular_10k,100,48,7,1.0000000,5,26667,110,97,0.0040756,0.0000307,0.0000301,0.0000000,1.0027218,0.4133478880000001,1.0000000000000000,0.0000000000000000,0,0,0.0000000
